Exod.1.1 | Ezek pedig az Izráel fiainak nevei, a kik Jákóbbal Égyiptomba menének; kiki az ő házanépével méne:
Exod.1.2 | Rúben, Simeon, Lévi és Júda;
Exod.1.3 | Izsakhár, Zebulon és Benjámin;
Exod.1.4 | Dán és Nafthali, Gád és Áser.
Exod.1.5 | Mindazok a lelkek pedig, a kik Jákób ágyékából származtak vala, hetvenen valának. József pedig Égyiptomban vala.
Exod.1.6 | És meghala József és minden ő atyjafia és az az egész nemzedék.
Exod.1.7 | Izráel fiai pedig szaporák valának, szaporodának és sokasodának és igen-igen elhatalmazának, úgy hogy megtelék velök az ország.
Exod.1.8 | Azonközben új király támada Égyiptomban, a ki Józsefet nem ismerte vala.
Exod.1.9 | És monda az ő népének: Ímé az Izráel fiainak népe több, és hatalmasabb nálunknál.
Exod.1.10 | Nosza bánjunk okosan vele, hogy el ne sokasodjék és az ne legyen, hogy ha háború támad, ő is ellenségünkhöz adja magát és ellenünk harczoljon és az országból kimenjen.
Exod.1.11 | Rendelének azért föléjök robotmestereket, hogy nehéz munkákkal sanyargassák őket. És építe a Faraónak gabonatartó városokat, Pithomot és Ramszeszt.
Exod.1.12 | De minél inkább sanyargatják vala őt, annál inkább sokasodik és annál inkább terjeszkedik vala, s félnek vala az Izráel fiaitól.
Exod.1.13 | Pedig kegyetlenűl dolgoztaták az égyiptomiak az Izráel fiait.
Exod.1.14 | És kemény munkával keseríték életöket, sárcsinálással, téglavetéssel és mindenféle mezei munkával, minden munkájokkal, melyeket kegyetlenűl dolgoztatnak vala velök.
Exod.1.15 | És szóla Égyiptom királya a héber bábáknak, a kik közűl egyiknek Sifra, a másiknak Puá vala neve.
Exod.1.16 | És monda: Mikoron héber asszonyok körűl bábálkodtok, nézzetek a szűlőszékre: ha fiú az, azt öljétek meg, ha pedig leány az, hadd éljen.
Exod.1.17 | De a bábák félék az Istent és nem cselekedének úgy a mint Égyiptom királya parancsolta vala nékik, hanem életben hagyják vala a gyermekeket.
Exod.1.18 | Hívatá annakokáért Égyiptom királya a bábákat és monda nékik: Miért míveltétek azt, hogy életben hagytátok a gyermekeket?
Exod.1.19 | A bábák pedig mondának a Faraónak: Mert a héber asszonyok nem olyanok, mint az Égyiptombeliek: mert azok élet-erősek; minekelőtte a bába hozzájok eljutna, már szűlnek.
Exod.1.20 | Annakokáért jól tőn Isten a bábákkal, a nép pedig sokasodék és igen elhatalmazék.
Exod.1.21 | És lőn, hogy mivel a bábák félék az Istent: megépíté az ő házukat.
Exod.1.22 | Parancsola azért a Faraó minden ő népének, mondván: Minden fiút, a ki születik, vessetek a folyóvízbe, a leányt pedig hagyjátok mind életben.

Exod.2.1 | És elméne egy Lévi nemzetségéből való férfiú és Lévi-leányt vőn feleségűl.
Exod.2.2 | És fogada méhében az asszony és fiat szűle; és látá, hogy szép az és rejtegeté három hónapig.
Exod.2.3 | De mikor tovább nem rejtegetheté, szerze annak egy gyékény-ládácskát, és bekené azt gyantával és szurokkal s belétevé a gyermeket és letevé a folyóvíz szélén a sás közé.
Exod.2.4 | Az ő nénje pedig megáll vala távolról, hogy megtudja: mi történik vele?
Exod.2.5 | És aláméne a Faraó leánya, hogy megfürödjék a folyóvízben, szolgálóleányai pedig járkálnak vala a víz partján. És meglátá a ládácskát a sás között s elküldé az ő szolgálóleányát és kihozatá azt.
Exod.2.6 | És kinyitá és látá a gyermeket; és ímé egy síró fiú. És könyörűle rajta és monda: A héberek gyermekei közűl való ez.
Exod.2.7 | Az ő nénje pedig monda a Faraó leányának: Elmenjek-é s hívjak-é egy szoptatós asszonyt a héber asszonyok közűl, hogy szoptassa néked a gyermeket?
Exod.2.8 | És a Faraó leánya monda néki: Eredj el. Elméne azért a leányzó, és elhívá a gyermek anyját.
Exod.2.9 | És monda néki a Faraó leánya: Vidd el ezt a gyermeket és szoptasd fel nékem, és én megadom a te jutalmadat. És vevé az asszony a gyermeket és szoptatá azt.
Exod.2.10 | És felnevekedék a gyermek, és vivé őt a Faraó leányához, és fia gyanánt lőn annak, és nevezé nevét Mózesnek, és mondá: Mert a vízből húztam ki őt.
Exod.2.11 | Lőn pedig azokban a napokban, mikor Mózes felnevekedék, kiméne az ő atyjafiaihoz és látá az ő nehéz munkájokat s látá, hogy egy Égyiptombeli férfi üt vala egy héber férfit az ő atyjafiai közűl.
Exod.2.12 | Mikor ide-oda tekinte és látá hogy senki sincs, agyonüté az Égyiptombelit és elrejté azt a homokba.
Exod.2.13 | Másnap is kiméne és ímé két héber férfi veszekedik vala. És monda annak a ki bűnös vala: Miért vered a te atyádfiát?
Exod.2.14 | Az pedig monda: Kicsoda tett téged fő emberré és bíróvá mi rajtunk? Talán engem is meg akarsz ölni, mint megöléd az égyiptomit? Mózes pedig megfélemlék és monda: Bizony kitudódott a dolog.
Exod.2.15 | A Faraó is meghallá azt a dolgot és Mózest halálra keresteti vala: de elfuta Mózes a Faraó elől és lakozék Midián földén; leűle pedig [egy] kútnál.
Exod.2.16 | Midián papjának pedig hét leánya vala, és oda menének és [vizet] húzának és tele merék a válúkat, hogy megitassák atyjoknak juhait.
Exod.2.17 | A pásztorok is oda menének és elűzék őket. Mózes pedig felkele és segítséggel lőn nékik és megitatá juhaikat.
Exod.2.18 | Mikor atyjokhoz Réhuelhez menének, monda ez: Mi az oka, hogy ma ilyen hamar megjöttetek?
Exod.2.19 | Ők pedig mondának: Egy égyiptombeli férfi oltalmaza minket a pásztorok ellen, annakfelette [vizet] is húzott nékünk, és megitatta a juhokat.
Exod.2.20 | S monda leányainak: És hol van ő? miért hagytátok ott azt a férfit? hívjátok el, hogy egyék kenyeret.
Exod.2.21 | És tetszék Mózesnek, hogy ott maradjon e férfiúnál, és ez feleségül adá Mózesnek az ő leányát, Czipporát.
Exod.2.22 | És fiat szűle ez és nevezé nevét Gersomnak, mert mondá: Jövevény voltam az idegen földön.
Exod.2.23 | És lőn ama hosszú idő alatt, meghala az Égyiptom királya, Izráel fiai pedig fohászkodnak vala a szolgaság miatt, és kiáltnak vala és feljuta a szolgaság miatt való kiáltásuk Istenhez.
Exod.2.24 | És meghallá Isten az ő fohászkodásukat és megemlékezék Isten az Ábrahámmal, Izsákkal és Jákóbbal kötött szövetségéről.
Exod.2.25 | És megtekinté Isten az Izráel fiait és gondja vala rájok Istennek.

Exod.3.1 | Mózes pedig őrzi vala az ő ipának, Jethrónak a Midián papjának juhait és hajtá a juhokat a pusztán túl és juta az Isten hegyéhez, Hórebhez.
Exod.3.2 | És megjelenék néki az Úr angyala tűznek lángjában egy csipkebokor közepéből, és látá, hogy ímé a csipkebokor ég vala; de a csipkebokor meg nem emésztetik vala.
Exod.3.3 | S monda Mózes: Oda megyek, hogy lássam e nagy csudát, miért nem ég el a csipkebokor.
Exod.3.4 | És látá az Úr, hogy oda méne megnézni, és szólítá őt Isten a csipkebokorból, mondván: Mózes, Mózes. Ez pedig monda: Ímhol vagyok.
Exod.3.5 | És monda: Ne jőjj ide közel, oldd le a te saruidat lábaidról; mert a hely, a melyen állasz, szent föld.
Exod.3.6 | És monda: Én vagyok a te atyádnak Istene, Ábrahámnak Istene, Izsáknak Istene és Jákóbnak Istene. Mózes pedig elrejté az ő orczáját, mert fél vala az Istenre tekinteni.
Exod.3.7 | Az Úr pedig monda: Látván láttam az én népemnek nyomorúságát, a mely Égyiptomban vagyon és meghallottam az ő sanyargatóik miatt való kiáltásukat; sőt ismerem szenvedéseit.
Exod.3.8 | Le is szállok, hogy megszabadítsam őt az Égyiptombeliek kezéből és felvigyem őt arról a földről, jó és tágas földre, téjjel és mézzel folyó földre, a Kananeusok, Khitteusok, Emoreusok, Perizeusok, Khivveusok és Jebuzeusok lakóhelyére.
Exod.3.9 | Mivel hát ímé feljutott hozzám az Izráel fiainak kiáltása és láttam is a nyomorgatást, a melylyel nyomorgatják őket az Égyiptombeliek:
Exod.3.10 | Most azért eredj, elküldelek téged a Faraóhoz és hozd ki az én népemet, az Izráel fiait Égyiptomból.
