Mal.1.1 | Az Úr igéjének terhe Izráel ellen, Malakiás által.
Mal.1.2 | Szerettelek titeket, azt mondja az Úr, és azt mondjátok: Miben szerettél minket? Avagy nem atyjafia vala-é Ézsau Jákóbnak? azt mondja az Úr: Jákóbot pedig szerettem;
Mal.1.3 | Ézsaut ellenben gyűlöltem, és az ő hegyeit pusztává tettem, örökségét pedig pusztai sakálokévá.
Mal.1.4 | Ha azt mondja Edom: Elpusztultunk; de térjünk meg és építsük fel a romladékokat: ezt mondja a Seregeknek Ura: Ők építenek, de én elrontom, és elnevezik őket istentelenség határának és oly népnek, a melyre örökké haragszik az Úr.
Mal.1.5 | És látják ezt a ti szemeitek, és magatok is mondjátok: Nagy az Úr az Izráel határa felett.
Mal.1.6 | A fiú tiszteli atyját, a szolga is az ő urát. És ha én atya vagyok: hol az én tisztességem? És ha én úr vagyok, hol az én félelmem? azt mondja a Seregeknek Ura néktek, ti papok, a kik útáljátok az én nevemet, és [ezt] mondjátok: Mivel útáljuk a te nevedet?
Mal.1.7 | Megfertéztetett kenyeret hoztok oltáromra, és azt mondjátok: Mivel fertéztetünk meg téged? Azzal, mikor azt gondoljátok, hogy az Úrnak asztala megvetni való.
Mal.1.8 | Hogyha vakot hoztok áldozatul: Nem bűn-é [az?] vagy ha sántát hoztok és bénát: nem bűn-é [az?] Vidd csak azt a te fejedelmednek: vajjon kedvvel fogad-é, avagy reád tekint-é? azt mondja a Seregeknek Ura.
Mal.1.9 | Most azért engeszteljétek meg az Istennek orczáját, hogy könyörüljön rajtunk. Általatok van ez, elnézheti-é ezt néktek? azt mondja a Seregeknek Ura.
Mal.1.10 | Vajha valaki közületek bezárná az ajtót, hiába ne tüzelnétek az én oltáromon! Nem telik kedvem bennetek, azt mondja a Seregeknek Ura; az ételáldozatot sem kedvelem a ti kezetekből!
Mal.1.11 | Hiszen napkelettől fogva napnyugotig nagy az én nevem a pogányok között, és minden helyen tömjénnel áldoznak az én nevemnek és tiszta ételáldozattal! Bizony nagy az én nevem a pogányok között! azt mondja a Seregeknek Ura.
Mal.1.12 | Ti pedig meggyalázzátok azt, mikor azt mondjátok: Az Úrnak asztala megvetni való, és annak jövedelme, eledele útálatos.
Mal.1.13 | És azt mondjátok: Ímé, mily fáradság! és ráfújtok, azt mondja a Seregeknek Ura; pedig a rablottat hozzátok, meg a sántát és betegest; ételáldozatot is hoztok, [de] hát kedves-é az a ti kezetekből? azt mondja az Úr.
Mal.1.14 | Átkozott pedig az álnok! Van ugyan a nyájában hím, és fogadást is tesz: mégis hitványnyal áldozik az Úrnak. Pedig nagy király vagyok én, azt mondja a Seregeknek Ura, és félelmetes az én nevem a pogányok között!

Mal.2.1 | Most azért néktek szól ez a parancsolat, ti papok!
Mal.2.2 | Ha meg nem hallgatjátok és ha nem veszitek szívetekre, hogy dicsőséget adjatok az én nevemnek, azt mondja a Seregeknek Ura: átkot bocsátok reátok, és elátkozom a ti áldásotokat; bizony elátkozom azt, ha nem veszitek szívetekre!
Mal.2.3 | Ímé, én megrontom a ti vetni való magotokat, és szemetet szórok orczáitokba, a ti ünneplésteknek szemetjét, és ahhoz hordanak ki titeket.
Mal.2.4 | És megtudjátok, hogy azért adtam néktek e parancsolatot, hogy szövetségem legyen a Lévivel, azt mondja a Seregeknek Ura.
Mal.2.5 | Szövetségem volt vele életre és békességre, és félelmül adtam azt néki és félt engemet, és megalázta magát az én nevem előtt.
