Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségéről való könyv.
Matt.1.2 | Ábrahám nemzé Izsákot; Izsák nemzé Jákóbot; Jákób nemzé Júdát és testvéreit;
Matt.1.3 | Júda nemzé Fárest és Zárát Támártól; Fáres nemzé Esromot; Esrom nemzé Arámot;
Matt.1.4 | Arám nemzé Aminádábot; Aminádáb nemzé Naássont; Naásson nemzé Sálmónt;
Matt.1.5 | Sálmón nemzé Boázt Ráhábtól; Boáz nemzé Obedet Ruthtól; Obed nemzé Isait;
Matt.1.6 | Isai nemzé Dávid királyt; Dávid király nemzé Salamont az Uriás feleségétől;
Matt.1.7 | Salamon nemzé Roboámot; Roboám nemzé Abiját; Abija nemzé Asát;
Matt.1.8 | Asa nemzé Josafátot; Josafát nemzé Jórámot; Jórám nemzé Uzziást;
Matt.1.9 | Uzziás nemzé Jóathámot; Joathám nemzé Ákházt; Ákház nemzé Ezékiást;
Matt.1.10 | Ezékiás nemzé Manassét; Manassé nemzé Ámont; Ámon nemzé Jósiást;
Matt.1.11 | Jósiás nemzé Jekoniást és testvéreit a babilóni fogságra vitelkor.
Matt.1.12 | A babilóni fogságravitel után pedig Jekoniás nemzé Saláthielt; Saláthiel nemzé Zorobábelt;
Matt.1.13 | Zorobábel nemzé Abiudot; Abiud nemzé Eliákimot; Eliákim nemzé Azort;
Matt.1.14 | Azor nemzé Sádokot; Sádok nemzé Akimot; Akim nemzé Eliudot;
Matt.1.15 | Eliud nemzé Eleázárt; Eleázár nemzé Matthánt; Matthán nemzé Jákóbot;
Matt.1.16 | Jákób nemzé Józsefet, férjét Máriának, a kitől született Jézus, a ki Krisztusnak neveztetik.
Matt.1.17 | Az összes nemzetség tehát Ábrahámtól Dávidig tizennégy nemzetség, és Dávidtól a babilóni fogságravitelig tizennégy nemzetség, és a babilóni fogságraviteltől Krisztusig tizennégy nemzetség.
Matt.1.18 | A Jézus Krisztus születése pedig így vala: Mária, az ő anyja, eljegyeztetvén Józsefnek, mielőtt egybekeltek volna, viselősnek találtaték a Szent Lélektől.
Matt.1.19 | József pedig, az ő férje, mivelhogy igaz ember vala és nem akará őt gyalázatba keverni, el akarta őt titkon bocsátani.
Matt.1.20 | Mikor pedig ezeket magában elgondolta: ímé az Úrnak angyala álomban megjelenék néki, mondván: József, Dávidnak fia, ne félj magadhoz venni Máriát, a te feleségedet, mert a mi benne fogantatott, a Szent Lélektől van az.
Matt.1.21 | Szűl pedig fiat, és nevezd annak nevét Jézusnak, mert ő szabadítja meg az ő népét annak bűneiből.
Matt.1.22 | Mindez pedig azért lőn, hogy beteljesedjék, a mit az Úr mondott volt a próféta által, a ki így szól:
Matt.1.23 | Ímé a szűz fogan méhében és szűl fiat, és annak nevét Immanuelnek nevezik, a mi azt jelenti: Velünk az Isten.
Matt.1.24 | József pedig az álomból felserkenvén, úgy tőn, a mint az Úr angyala parancsolta vala néki, és feleségét magához vevé.
Matt.1.25 | És nem ismeré őt, míg meg nem szülé az ő elsőszülött fiát; és nevezé annak nevét Jézusnak.

Matt.2.1 | A mikor pedig megszületik vala Jézus a júdeai Bethlehemben, Heródes király idejében, ímé napkeletről bölcsek jövének Jeruzsálembe, ezt mondván:
Matt.2.2 | Hol van a zsidók királya, a ki megszületett? Mert láttuk az ő csillagát napkeleten, és azért jövénk, hogy tisztességet tegyünk néki.
