Acts.1.1 | Első könyvemet írtam, Theofilus, mindazokról, a miket kezdett Jézus cselekedni és tanítani,
Acts.1.2 | Mind a napig, melyen fölviteték, minekutána parancsolatokat adott a Szent Lélek által az apostoloknak, kiket választott vala magának.
Acts.1.3 | Kiknek az ő szenvedése után sok jel által meg is mutatta, hogy ő él, negyven napon át megjelenvén nékik, és szólván az Isten országára tartozó dolgokról.
Acts.1.4 | És velök összejövén, meghagyá nékik, hogy el ne menjenek Jeruzsálemből, hanem várják be az Atyának ígéretét, melyet [úgymond,] hallottatok tőlem:
Acts.1.5 | Hogy János ugyan vízzel keresztelt, ti azonban Szent Lélekkel fogtok megkereszteltetni nem sok nap mulva.
Acts.1.6 | Mikor azért azok egybegyűltek, megkérdék őt, mondván: Uram, avagy nem ez időben állítod-é helyre az országot Izráelnek?
Acts.1.7 | Monda pedig nékik: Nem a ti dolgotok tudni az időket vagy alkalmakat, melyeket az Atya a maga hatalmába helyheztetett.
Acts.1.8 | Hanem vesztek erőt, minekutána a Szent Lélek eljő reátok: és lesztek nékem tanúim úgy Jeruzsálemben, mint az egész Júdeában és Samariában és a földnek mind végső határáig.
Acts.1.9 | És mikor ezeket mondotta, az ő láttokra felemelteték, és felhő fogá el őt szemeik elől.
Acts.1.10 | És a mint szemeiket az égre függesztették, mikor ő elméne, ímé két férfiú állott meg mellettük fehér ruhában,
Acts.1.11 | Kik szóltak is: Galileabeli férfiak, mit állotok nézve a mennybe? Ez a Jézus, a ki felviteték tőletek a mennybe, akképen jő el, a miképen láttátok őt felmenni a mennybe.
Acts.1.12 | Akkor megtérének Jeruzsálembe a hegyről, mely hívatik Olajfák [hegyének,] mely Jeruzsálem mellett van, egy szombat[napi] járóföldre.
Acts.1.13 | És mikor bementek, felmenének a felsőházba, a hol szállva valának: Péter és Jakab, János és András, Filep és Tamás, Bertalan és Máté, Jakab, az Alfeus fia, és Simon, a zelóta, és Júdás, a Jakab fia.
Acts.1.14 | Ezek mindnyájan egy szívvel-lélekkel foglalatosak valának az imádkozásban és a könyörgésben, az asszonyokkal és Máriával, Jézusnak anyjával, és az ő atyjafiaival együtt.
Acts.1.15 | És azokban a napokban felkelvén Péter a tanítványok között, monda (vala pedig ott együtt mintegy százhúsz főnyi sokaság):
Acts.1.16 | Atyámfiai, férfiak, szükség volt betelni annak az írásnak, melyet megjövendölt a Szent Lélek Dávid szája által Júdás felől, ki vezetőjük lőn azoknak, a kik megfogták Jézust.
Acts.1.17 | Mert mi közénk számláltatott, és elnyerte ennek a szolgálatnak az osztályrészét.
Acts.1.18 | (Ez [hát] mezőt szerze hamisságának béréből; és alá zuhanván, elhasadt középen, és minden belső része kiomlott.
Acts.1.19 | És [ez] tudtokra lőn mindazoknak, kik Jeruzsálemben lakoznak; úgy hogy az a mező tulajdon nyelvökön Akeldamának, azaz Vérmezőnek neveztetett el.)
Acts.1.20 | Mert meg van írva a Zsoltárok könyvében: Legyen az ő lakóhelye puszta, és ne legyen lakó abban. És: Az ő püspökségét más vegye el.
Acts.1.21 | Szükség azért, hogy azok közül a férfiak közül, a kik velünk együtt jártak minden időben, míg az Úr Jézus közöttünk járt-kelt,
Acts.1.22 | A János keresztségétől kezdve mind a napig, melyen fölviteték tőlünk, azok közül egy az ő feltámadásának bizonysága legyen mivelünk egyetemben.
Acts.1.23 | Állatának azért elő kettőt, Józsefet, ki hivatik Barsabásnak, kinek mellékneve Justus vala, és Mátyást.
Acts.1.24 | És imádkozván, mondának: Te, Uram, ki mindeneknek szívét ismered, mutasd meg a kettő közül egyiket, a kit kiválasztottál,
Acts.1.25 | Hogy elnyerje az osztályrészét e szolgálatnak és apostolságnak, melytől eltévelyedék Júdás, hogy az ő saját helyére jusson.
Acts.1.26 | Sorsot vetének azért reájok, és esék a sors Mátyásra, és a tizenegy apostol közé számláltaték.

Acts.2.1 | És mikor a pünkösd napja eljött, mindnyájan egyakarattal együtt valának.
Acts.2.2 | És lőn nagy hirtelenséggel az égből mintegy sebesen zúgó szélnek zendülése, és eltelé az egész házat, a hol ülnek vala.
Acts.2.3 | És megjelentek előttük kettős tüzes nyelvek és üle mindenikre azok közül.
Acts.2.4 | És megtelének mindnyájan Szent Lélekkel, és kezdének szólni más nyelveken, a mint a Lélek adta nékik szólniok.
Acts.2.5 | Lakoznak vala pedig Jeruzsálemben zsidók, istenfélő férfiak, minden nép közül, melyek az ég alatt vannak.
Acts.2.6 | Minekutána pedig ez a zúgás lőn, egybegyűle a sokaság és megzavarodék, mivelhogy mindegyik a maga nyelvén hallá őket szólni.
Acts.2.7 | Álmélkodnak pedig mindnyájan és csodálkoznak vala, mondván egymásnak: Nemde nem Galileusok-é ezek mindnyájan, a kik szólnak?
Acts.2.8 | Mimódon halljuk hát [őket,] kiki közülünk a saját nyelvén, a melyben születtünk?
Acts.2.9 | Párthusok és médek és elámiták, és kik lakozunk Mesopotámiában, Júdeában és Kappadócziában, Pontusban és Ázsiában,
Acts.2.10 | Frigiában és Pamfiliában, Égyiptomban és Libiának tartományiban, mely Cziréne mellett van, és a római jövevények, mind zsidók, mind prozelitusok,
Acts.2.11 | Krétaiak és arabok, halljuk a mint szólják a mi nyelvünkön az Istennek nagyságos dolgait.
Acts.2.12 | Álmélkodnak vala pedig mindnyájan és zavarban valának, egymásnak ezt mondván: Vajjon mi akar ez lennie?
Acts.2.13 | Mások pedig csúfolódva mondának: Édes bortól részegedtek meg.
Acts.2.14 | Péter azonban előállván a tizenegygyel, felemelé szavát, és szóla nékik: Zsidó férfiak és mindnyájan, kik lakoztok Jeruzsálemben, legyen ez néktek tudtotokra, és vegyétek füleitekbe az én beszédimet!
Acts.2.15 | Mert nem részegek ezek, a mint ti állítjátok; hiszen a napnak harmadik órája van;
Acts.2.16 | Hanem ez az, a mi megmondatott Jóel prófétától:
Acts.2.17 | És lészen az utolsó napokban, ezt mondja az Isten, kitöltök az én Lelkemből minden testre: és prófétálnak a ti fiaitok és leányaitok, és a ti ifjaitok látásokat látnak, és a ti véneitek álmokat álmodnak.
Acts.2.18 | És épen az én szolgáimra és az én szolgálóleányaimra is kitöltök azokban a napokban az én Lelkemből, és prófétálnak.
Acts.2.19 | És tészek csudákat az égben odafenn, és jeleket a földön idelenn, vért, tüzet és füstnek gőzölgését.
Acts.2.20 | A nap sötétséggé változik, és a hold vérré, minekelőtte eljő az Úrnak ama nagy és fényes napja.
