1Cor.1.1 | Pál, Jézus Krisztusnak Isten akaratából elhívott apostola, és Sosthenes, az atyafi.
1Cor.1.2 | Az Isten gyülekezetének, a mely Korinthusban van, a Krisztus Jézusban megszentelteknek, elhívott szenteknek, mindazokkal egybe, a kik a mi Urunk Jézus Krisztus nevét segítségül hívják bármely helyen, a magokén és a miénken:
1Cor.1.3 | Kegyelem néktek és békesség Istentől, a mi Atyánktól, és az Úr Jézus Krisztustól.
1Cor.1.4 | Hálát adok az én Istenemnek mindenkor ti felőletek az Isten ama kegyelméért, mely néktek a Krisztus Jézusban adatott,
1Cor.1.5 | Mivelhogy mindenben meggazdagodtatok ő benne, minden beszédben és minden ismeretben,
1Cor.1.6 | A mint megerősíttetett ti bennetek a Krisztus felől való bizonyságtétel.
1Cor.1.7 | Úgy, hogy semmi kegyelmi ajándék nélkül nem szűkölködtök, várván a mi Urunk Jézus Krisztusnak megjelenését,
1Cor.1.8 | A ki meg is erősít titeket mindvégig feddhetetlenségben, a mi Urunk Jézus Krisztusnak napján.
1Cor.1.9 | Hű az Isten, ki elhívott titeket az ő Fiával, a mi Urunk Jézus Krisztussal való közösségre,
1Cor.1.10 | Kérlek azonban titeket atyámfiai, a mi Urunk Jézus Krisztus nevére, hogy mindnyájan egyképen szóljatok és ne legyenek köztetek szakadások, de legyetek teljesen egyek ugyanazon értelemben és ugyanazon véleményben.
1Cor.1.11 | Mert megtudtam felőletek atyámfiai a Kloé embereitől, hogy versengések vannak köztetek.
1Cor.1.12 | Azt értem pedig, hogy mindenitek ezt mondja: Én Pálé vagyok, én meg Apollósé, én meg Kéfásé, én meg Krisztusé.
1Cor.1.13 | Vajjon részekre osztatott-é a Krisztus? Vajjon Pál feszíttetett-é meg érettetek, vagy a Pál nevére kereszteltettetek-é meg?
1Cor.1.14 | Hálákat adok az Istennek, hogy senkit sem kereszteltem meg közületek, kivéve Krispust és Gájust,
1Cor.1.15 | Hogy valaki azt ne mondja, hogy a magam nevére kereszteltem.
