Phlm.1.1 | Pál, Krisztus Jézusnak foglya, és Timótheus, az atyafi, Filemonnak, a mi szeretett munkatársunknak,
Phlm.1.2 | És Appiának, a szeretettnek, és Arkhippusnak, a mi bajtársunknak, és a te házadnál való gyülekezetnek:
Phlm.1.3 | Kegyelem néktek és békesség Istentől, a mi Atyánktól, és az Úr Jézus Krisztustól.
Phlm.1.4 | Hálát adok az én Istenemnek mindenkor, emlegetvén téged az én imádságaimban,
Phlm.1.5 | Mert hallom a te szeretetedet és ama te hitedet, mely van benned az Úr Jézushoz, és minden szentek irányában,
Phlm.1.6 | Hogy a te hitedben való közösség hathatós legyen, a Krisztus ügyében, minden bennetek levő jónak megismerése által.
Phlm.1.7 | Mert sok örömünk és vígasztalásunk van a te szeretetedben, hogy a szenteknek szíveik megvídámodtak te általad, atyámfia.
Phlm.1.8 | Annakokáért jóllehet nagy bátorságom van a Krisztusban, megparancsolni néked azt, a mi illendő,
Phlm.1.9 | A szeretetért inkább kérlek, ilyen lévén, mint Pál, a megvénhedett, most pedig foglya is a Jézus Krisztusnak;
Phlm.1.10 | Kérlek téged az én fiamért, a kit fogságomban szűltem, Onésimusért,
Phlm.1.11 | A ki egykor tenéked haszontalan volt, most pedig mind néked, mind nékem nagyon hasznos,
Phlm.1.12 | Kit visszaküldöttem; te pedig őt, azaz az én szívemet, fogadd magadhoz!
Phlm.1.13 | Őt én magamnál akartam tartani, hogy te helyetted szolgáljon nékem az evangyéliomért [szenvedett] fogságomban;
Phlm.1.14 | De a te megkérdezésed nélkül semmit sem akartam cselekedni, hogy jótéteményed ne kényszerítésből, hanem szabad akaratból való legyen.
Phlm.1.15 | Mert talán azért vált meg [tőled] ideig-óráig, hogy őt, mint örökkévalót kapd vissza;
Phlm.1.16 | Nem úgy immár mint szolgát, hanem szolgánál nagyobbat, [mint] szeretett atyafit, kiváltképen nékem, mennyivel inkább pedig néked, mind testben, mind az Úrban.
Phlm.1.17 | Azért, ha engem részestársadnak tartasz, úgy fogadd őt magadhoz, mint engemet.
Phlm.1.18 | Ha pedig valamit vétett ellened, avagy adós, ezt nekem róvd fel.
Phlm.1.19 | Én Pál írtam az én kezemmel, én megfizetem: hogy [azt] ne mondjam néked, hogy te magaddal is adós vagy ezen felül nékem.
Phlm.1.20 | Bizonyára, atyámfia, jótéteményt várnék tőled az Úrban: vídámítsd meg az én szívemet az Úrban!
Phlm.1.21 | Bízván a te engedelmességedben, [így] írtam néked, tudván, hogy annál, a mit mondok, többet is fogsz cselekedni.
Phlm.1.22 | Egyúttal pedig készíts nékem szállást; mert reménylem, hogy a ti imádságaitokért néktek ajándékoztatom.
Phlm.1.23 | Köszönt téged Epafrás, az én fogolytársam a Krisztus Jézusban,
Phlm.1.24 | [Tovább]á Márk, Aristárkhus, Démás [és] Lukács, az én munkatársaim.
Phlm.1.25 | A mi Urunk Jézus Krisztusnak kegyelme [legyen] a ti lelketekkel!
