Gen.1.1 | Kezdetben teremté Isten a mennyet és a földet.
Gen.1.2 | A föld pedig ékesség nélkül való és puszta és setétség vala a mélységnek színén, és az Úrnak Lelke táplálja vala a vizeket.
Gen.1.3 | Akkor monda az Isten: Legyen világosság: és lett világosság.
Gen.1.4 | És látá Isten, hogy jó volna a világosság, és elválasztá a világosságot a setétségtől.
Gen.1.5 | És nevezé a világosságot napnak, és a setétséget éjszakának: és lett az estve és a reggel, első nap.
Gen.1.6 | Azután monda az Isten: Legyen kiterjesztett erősség a víz között, melly elválasztá a vizeket a vizektől.
Gen.1.7 | És szerze az Isten kiterjesztett erösséget, melly elválasztaná a kiterjesztett erősség alatt való vizeket, a kiterjesztett erősség felett való vizektől: és úgy lett.
Gen.1.8 | És kiterjesztett erősséget az Isten nevezé égnek: és lett az estve és a reggel, másod nap.
Gen.1.9 | Azután monda az Isten: Gyűljenek egybe az ég alatt való vizek egy helyre, hogy tessék meg a száraz, és úgy lett.
Gen.1.10 | A szárazt pedig nevezé az Isten földnek: a vizeknek sokaságát tengernek: és látá Isten, hogy ez jó volna.
Gen.1.11 | Monda annakfelette az Isten: Hozzon a föld gyönge füveket, maghozó füveket, gyümölcsfákat, mellyek az ő nemek szerint való gyümölcsöket hozzanak, mellyekben legyen az ő magvok e földön: és úgy lett.
Gen.1.12 | Hoza annakokáért a föld gyenge füveket az ő nemek szerint, és gyümölcstermő fákat, melyekben vala az ő nemek szerint való magvok: és látá Isten, hogy az jó volna.
Gen.1.13 | És lett az estve és a reggel, harmadik nap.
Gen.1.14 | Azután monda az Isten: Legyenek világosító állatok az égnek kiterjesztésén, hogy külömbséget tegyenek a nap közt: és legyenek jelei bizonyos időknek, napoknak és esztendőknek.
Gen.1.15 | Legyenek, mondok, világosító állatok az égnek kiterjesztésén, hogy világosítsák a földet, és úgy lett.
Gen.1.16 | Szerze azért az Isten két nagy világosító állatokat: a nagyobbik világosító állatot, hogy világosítana nappal: a kisebbik világosító állatot, hogy éjszaka világosítana: és csillagokat is.
Gen.1.17 | És helyezteté az Isten azokat az égnek kiterjesztésén, hogy a földet megvilágosítanák.
Gen.1.18 | És hogy vezérei lennének a napnak és az éjszakának, és külömbséget tennének a világosság és setétség között: és látá Isten, hogy az jó volna.
Gen.1.19 | És lett az estve és a reggel negyedik nap.
Gen.1.20 | Azután monda az Isten: hozzanak a vizek úszó élő állatokat: és a madarak repdessenek a föld felett, az égnek kiterjesztésének színén.
Gen.1.21 | Teremte azért az Isten nagy Cethalakat, és minden úszó élő állatokat, mellyeket a vizek hoztak az ő nemek szerint, és minden repdeső szárnyas állatokat az ő nemek szerint: és látá Isten, hogy az jó volna.
Gen.1.22 | És megáldá az Isten azokat, mondván: Gyümölcsözzetek, és sokasodjatok, és töltsétek bé a tengernek vizeit: a repdeső állatok is pedig szaporodjanak a földön.
Gen.1.23 | És lett az estve és a reggel, ötödik nap.
Gen.1.24 | Azután monda az Isten: hozzon a föld az ő nemek szerint való élő állatokat, barmokat, csúszómászó állatokat és földi vadakat az ő nemek szerint: és úgy lett.
Gen.1.25 | Teremte azért az Isten az ő nemek szerint való földi vadakat, és barmokat az ő nemek szerint, és a földön csúszómászó minden állatokat az ő nemek szerint: és látá Isten, hogy az jó volna.
Gen.1.26 | Azután monda az Isten: teremtsünk embert a mi ábrázatunkra, és a mi hasonlatosságunkra: és uralkodjék a tengernek halain, az égen repdeső madarakon, a barmokon, és mind az egész földön, és a földön csúszómászó minden állatokon.
Gen.1.27 | Teremte azért Isten embert az ő képére, az Istennek képére teremté azt: férj fiúá és asszonnyá teremté őket.
Gen.1.28 | És megáldá Isten őket, és mondanékiek az Isten: Gyümölcsözzetek, és sokasodjatok, és töltsétek bé a földet, és hajtsátok azt birodalmatok alá: és uralkodjatok a tengernek halain, az égnek repdeső madarain, és a földön csúszómászó minden állatokon.
Gen.1.29 | És monda az Isten:Ímé adtam néktek minden maghozó csillag füvet, melly vagyon az egész földnek színén, és minden gyümölcstermő és maghozó fát: hogy azok legyenek néktek eledeltekre.
Gen.1.30 | A földnek pedig minden vadainak, és az égnek minden madarainak, és a földön csúszómászó minden állatoknak, a mellyekben élő lélek vagyon, a földnek minden füvét adtam eledelekre: és úgy lett.
Gen.1.31 | És minekutána megtekintette volna Isten valamit teremtett vala, ímé igen jó vala. És lett az estve és a reggel, hatodik nap.

Gen.2.1 | Azért elvégezteté a menny és a föld és azoknak minden seregeit.
Gen.2.2 | Mikor pedig elvégezte volna az Isten hetednapon az ő alkotmányát, a mellyet csinált vala, a hetedik napon megszünék minden csinálmányától, mellyet csinált vala.
Gen.2.3 | És megáldá az Isten a hetedik napot, azaz megszentelé azt; mivelhogy azon szünt volna meg minden ő csinálmányának csinálásától, mellyet teremtett vala az Isten, hogy azt elvégezné.
Gen.2.4 | Ezek a mennynek és földnek kezdetei, amikor teremtettek, ( a melly időben, mondom, az Úr Isten teremté a földet és a menynyet.)
Gen.2.5 | És a mezőnek minden fájának, melly az előtt nem volt a földön, és minden mezei fünek, melly az előtt nem volt. Mert még az Úr Isten nem bocsátott vala esőt alá a földre, és az ember nem vala, ki a földet mívelte volna.
Gen.2.6 | A földből is semmi nedvesség nem jött vala még fel, hogy a földnek egész színét megnedvesítette volna.
Gen.2.7 | Formálta vala pedig az Úr Isten az embert a földnek porából, és lehellett vala az ő orrába életnek lehelletét, és úgy lett az ember élő lélekké.
Gen.2.8 | És szépen palántákkal felékesített vala az Úr Isten egy kertet Édenben, napkelet felől, holott helyezteté az embert, akit formált vala.
Gen.2.9 | És nevelt vala az Úr Isten a földből mindenféle fát, mellyben az embernek a szeme gyönyörködhetnék, és melly eledelre jó volna, az életnek fáját is, a kertnek közepette, és a jónak és gonosznak tudásának fáját.
Gen.2.10 | Folyóvíz jő vala pedig ki Édenből e kertnek megnedvesítésére; és onnét oszol vala el, úgyhogy négy folyóvíznek lenne fejévé.
Gen.2.11 | Az elsőnek neve Pishon: ez a melly megkerüli a Haviláhnak egész földét, holott terem arany.
Gen.2.12 | És annak a tartománynak aranya igen jó: ott vagyon Bdelliom nevű fa, és Ónix nevű drágakő.
Gen.2.13 | A második folyóvíznek pedig neve, Gikhon: ez a melly megkerüli az egész Khús földét.
Gen.2.14 | A harmadik folyóvíznek neve Hiddékel: ez a melly foly Assiriának napkelet felől való részére. A negyedik folyóvíz pedig Eufrates.
Gen.2.15 | És vevé az Úr Isten az embert, és helyhezteté azt az Éden kertébe, hogy azt mívelné és őrizné.
Gen.2.16 | És az Úr Isten megtiltá az embert, ezt mondván: E kertnek minden fájának gyümölcsében szabadon egyél.
Gen.2.17 | De a jónak és gonosznak tudásának fájának gyümölcsében ne egyél, tudniillik, ím e fának gyümölcsében: mert valamely napon abban ejéndesz, halálnak halálával halsz meg.
Gen.2.18 | Az Úr Isten pedig ezt is mondotta vala: Nem jó az embernek egyedül lenni; szerzek nékie segítőt, melly mindenkor ő előtte legyen.
Gen.2.19 | Mert mikor az Úr Isten formálta volna a földből a mezei minden vadakat, és az égen repdeső minden állatokat, és Ádámhoz vitte volna, hogy látná minémű névvel nevezne minden állatokat: mert valaminémű nevet adott Ádám minden állatnak, az annak neve.
Gen.2.20 | És mikor Ádám minden barmoknak, égi madaraknak, és minden mezei vadaknak neveket adott volna: Ádámhoz nem talált vala hasonló segítőt.
Gen.2.21 | Annakokáért az Úr Isten bocsáta nagy mély álmot Ádámra, és elaluvék, és egy oldaltetemét kivévén, hússal tölté bé annak helyét.
Gen.2.22 | És azt a csontot, mellyet az Úr Isten kivett vala Ádámból, építé aszszonynyá: és vivé azt Ádámhoz.
Gen.2.23 | És monda Ádám: Immár találtam hozzám hasonló társat, ki az én csontomból való csont, és az én testemből való test: ezt neveztetik asszonyembernek, mert e férjfiemberből vétetett.
Gen.2.24 | Annakokáért elhagyja a férjfiú az ő attyát és az ő annyát, és ragaszkodik feleségéhez: és lesznek egy testté.
Gen.2.25 | Valának pedig ők mindketten mezítelenek, Ádám és az ő felesége, és nem szégyenlik vala.

Gen.3.1 | A kígyó pedig minden mezei vadnál, mellyet az Úr Isten teremtett vala, ravaszabb vala, melly monda az asszonynak: Azt is mondotta-é Isten, hogy e kert fáinak semmi gyümölcsében ne egyetek?
Gen.3.2 | És monda az asszony a kígyónak: A kert fáinak gyümölcsében eszünk.
Gen.3.3 | De ím e fának gyümölcsében, melly a kertnek közepében vagyon, az Isten mondá: Ne egyetek ebből, ingyen se illessétek azt, hogy valami módon meg ne haljatok.
Gen.3.4 | Akkor monda a kígyó az asszonynak: Nem haltok meg halálnak halálával.
Gen.3.5 | De tudja az Isten, hogy valamelly napon ejéndetek arról a fáról, megnyílnak a ti szemeitek, és ollyanok lésztek, mint az Istenek, jónak és gonosznak tudói.
Gen.3.6 | Mikor azért látná az asszony, hogy jó volna annak a fának a gyümölcse enni, és hogy igen kedves volna a szemnek, és kívánatos volna a bölcseségnek megnyeréséért: szakaszta annak gyümölcsében, és megevé: és ada az ő férjének is, hogy vele együtt enne, és az is evék-
Gen.3.7 | Akkor mind a kettőnek megnyilatkozának szemeik, és megesmérék, hogy mezítelenek volnának: és figefának leveleit fonván egybe, csinálának magoknak körülkötőket.
Gen.3.8 | És mikor hallanák az Úr Istennek szavát zengeni a kertben, annak a napnak szele mentében, elrejté magát Ádám és felesége az Úr Isten előtt a kertnek fái között.
Gen.3.9 | Kiáltá pedig az Úr Isten Ádámot, és mondá nékie: Hol vagy?
Gen.3.10 | Ki monda: A te szódat hallám e kertben, és megfélemlék, mivelhogy mezítelen vgyok, azért rejtezém el.
Gen.3.11 | Monda pedig az Isten: Kicsoda mondá meg tenéked, hogy mezítelen volnál? avagy nem ama fának gyümölcsében ettél-é, mellytől megtiltottalak vala, hogy abban ne ennél?
Gen.3.12 | Akkor monda Ádám: Ím ez asszony, kit én mellém adál, ő az, aki nékem ada annak a fának gyümölcsében, és evém.
Gen.3.13 | És akkor monda az Úr Isten az asszonynak: Mit cselekedtél te? És monda az asszony: Ama kígyó csala meg engemet, és úgy evém.
Gen.3.14 | Monda azért az Úr Isten annak a kígyónak: Mivelhogy ezt mívelted, átkozott légy minden barmoknak és mezei vadaknak felette, a te hasadon járj, és minden életednek rendiben a port egyed
Gen.3.15 | Annak felette, ellenkezést szerzek te közötted és ez asszony között, a te magod között, és az ő magva között: az megrontja tenéked fejedet, és te is mardosod annak sarkát.
Gen.3.16 | Az asszonynak monda: megsokasítom felette igen a te fájdalmaidat, a te méhedben való fogadásodnak fájdalmait is, fájdalommal szülöd magzatidat. Sőt annakfelette a te akaratod a te férjed birodalmában lészen, és neki birodalma lészen rajtad.
Gen.3.17 | Ádámnak pedig monda: Mivelhogy engedtél a te feleséged szavának, és ettél ama fának gyümölcsében, mellytől megtiltottalak vala mondván: ne egyél e fáról: Legyen átkozott a föld te éretted, nagy fáradságos munkával egyed annak gyümölcsét életednek minden napjaiban.
Gen.3.18 | És töviset és bogácskórót teremjen tenéked; és a mezőnek füvét egyed.
Gen.3.19 | A te orczádnak verítékével egyed a te kenyeredet, mígnem földdé lészesz, mert abból vétettél: mert por vagy, és porrá kell lenned.
Gen.3.20 | Nevezte pedig vala Ádám az ő feleségét Évának, mivelhogy minden élő embereknek annya volna.
