Lev.1.1 | Szólítá az Úr Mózest, és beszéle ő vele a gyülekezet sátorából, ezt mondván:
Lev.1.2 | Szólj az Izráel fijainak, és parancsold meg nekik: Valaki ti közzűletek az Úrnak áldozni akar, barmokkal, örökkel és juhokkal áldozzék.
Lev.1.3 | Ha egészen égőáldozattal áldozik öreg barmokból, hímmel és éppel áldozzék: A gyülekezet sátorának ajtaja eleibe vigye azt, szabad akaratjából az Úr előtt.
Lev.1.4 | És az ő kezét tegye az égőáldozatra való baromnak fejére, hogy kedves legen Istennek ő érette, az ő megtisztulására.
Lev.1.5 | Azután ölje meg azt a tulkot az Úr előtt, és az Áron fijai a Papok annak vérét vévén, hintsék mind körül az oltárra, melly a gyülekezet sátorának ajtaja előtt lészen.
Lev.1.6 | Annakutánna vonja le bőrét az egészen égőáldozatra való baromnak, és vagdalja azt részekre.
Lev.1.7 | És az Áron Pap fijai gerjesszenek tüzet az oltáron, és rakjanak fát a tűzre.
Lev.1.8 | Azután az Áron fijai a Papok rendeljék el a tagokat, a fejét és kövérit a fákra, mellyek rakattak az oltáron való tűzre.
Lev.1.9 | Annak bélit is és szárait mossa meg vízzel, és a képen áldozza meg mind azokat a Pap az oltáron egészen égőáldozatúl. E tűzzel egészen megégettetett áldozat kedves illetú lészen az Úr előtt.
Lev.1.10 | Ha pedig a nyájból juhjokkal vagy kecskékkel akar valaki áldozni egészen meegégetendő áldozatot, himmel és éppel áldozzék.
Lev.1.11 | És ölje meg azt az oltárnak észek felől való oldalánál az Úr előtt, és az Áron fijai a Papok hintsék annak vérét az oltárra mind körűl.
Lev.1.12 | És eldarabolván azt részekre a fejével és kövérivel egybe, rendelje a Pap azokat a fákra, mellyek rakattatnak az oltáron való tűzre.
Lev.1.13 | A bélit is és szárait mossa meg vízzel, és áldozza meg mind azokat a Pap, megégetvén az oltáron égőáldozatúl. És az Urnak kedves illatú tüzes áldozat lészen.
Lev.1.14 | A bélit is és szárait mossa meg vízzel, és áldozza meg mind azokat a Pap, megégetvén az oltáron égőáldozatúl. És az Urnak kedves illatú tüzes áldozat lészen.
Lev.1.15 | Mellyet a Pap az oltárhoz vivén, és megtekerítvén a fejét, szakassza meg a nyakát, és égesse meg az oltáron, minekutánna annak vérét kibocsátja az oltárnak oldalára.
Lev.1.16 | És minekutánna annak begyit kivévén minden rútságával egybe, vétendi azt az oltár mellé napkelet felől a hamunak helyére.
Lev.1.17 | És azt meghasitándja szárnyaival egybe, úgyhogy egymástól el ne szakassza a tagocskákat, égesse meg a Pap azt az oltáron, a fákon felűl, mellyek a tűzön vagynak: Egészen tűzzel megemésztetett kedves illatú áldozat ez az Úr előtt.

Lev.2.1 | Mikor pedig valamelly ember Minhát akar áldozni az Úrnak, zsemlyelisztből áldozzék, és arra öntsön olajt, és azután temjént tegyen felűl reá.
Lev.2.2 | És vigye azt az Áron fijaihoz a Papokhoz és a Pap vegyen egy marokkal a zsemlyelisztben az olajjal egyetembe, a temjént pedig mind elvegye és égesse meg az oltáron emlékezet okáért; e tűzzel megégetett áldozat kedves illatú lészen az Úr előtt.
Lev.2.3 | A mi pedig megmarad ez áldozatra való ajándékban, Ároné és az ő fijaié legyen: e szentséges áldozat lészen az Urnak tüzes áldozati között.
Lev.2.4 | Hogyha pedig a Minhát kemenczében sültből akarja áldozni valaki, legyenek zsemlyelisztből sütött kovász nélkűl való olajos lepények, vagy olajjal megkent kovász nélkűl való pogácsák.
Lev.2.5 | Ha pedig a te áldozatod serpenyőben fúzött Miha lészen, olajjal elegyíttetett kovász nélkűl való zsemlyelisztből legyen.
Lev.2.6 | Szaggasd darabokra azt, minekutánna olajjal megelegyíted: és igy Minha lészen.
Lev.2.7 | Ha pedig a te áldozatod rostélyon sültből lészen, olajjal elegyíttett zsemlyelisztből legyen.
Lev.2.8 | És ezekből csináltatott ajándékot vigyed az Úrnak, és azt a Papnak bémutatván, vigye azt a Pap az oltárhoz.
Lev.2.9 | És vegyen a Pap ez eledelre való áldozatból emlékezetre való részt, és égesse meg azt az oltáron: tűzzel megemésztetett jóillatú áldozat ez az Úr előtt.
Lev.2.10 | A mi pedig megmarad ez áldozatra való, Minhából, Ároné és az ő fijaié legyen: szentséges áldozat lészen ez, az Úrnak tüzes áldozatai között.
Lev.2.11 | Minden Minha, mellyet az Úrnak ajándékoztok, kovász nélkül való legyen: mert semmi kovászt és mézet nem áldozhattok az Úrnak a tüzes áldozatok között.
Lev.2.12 | A gyümölcs első zsengéinek áldozatai közt, felvihetitek azokat az Úrnak: de a Minhának áldozatjában az oltárra ne vigyed, hogy abból jóillatú áldozatot szereznél.
Lev.2.13 | A Minhának pedig minenféle áldozatját sóval megsózzad: és a te Minhádból soha el ne maradjon a te Istened szövetségének sava, minden te áldozatodban só legyen.
Lev.2.14 | Ha a te gabonádnak zsengéjéből akarsz Minhát áldozni az Úrnak, a tűznél megszáraztott új gabonafejekből áldozzál, és a teljes gabonafőnek megtört gabonájából áldozzad a te gabonád zsengéjének Minháját.
Lev.2.15 | Tölts olajt reá, tégy temjént reá, Minha ez.
Lev.2.16 | Illyen módon áldozzék a Pap a megtörött gabonának jóillatjával, az olajjal, és egészen a temjénnel: Tüzes áldozat ez az Úr előtt.

Lev.3.1 | Hogyha háláadó-áldozat lészen valamelly embernek áldozatja, ha az ő öreg barmai közzűl áldozik, akár hímmel, akár nősténnyel: ép barmot vigyen az Úr eleibe.
Lev.3.2 | És tegye az ő kezét az ő áldozatjára való barmának fejére, és a gyülekezetnek sátora előtt ölje meg azt, és az Áron fijai a Papok öntsék annak vérét az oltárra mind körűl.
Lev.3.3 | Annakutánna a Pap áldozzék tüzes áldozatot az Úrnak, e háláadó-áldozatból, tudniillik annak a baromnak kövérit, melly a bélin vagyon, és egészen a kövérit, melly a béle között vagyon.
Lev.3.4 | Annakfelette mind a két veséjét, és a kövérséget, melly a veséken vagyon, és melly a baromnak bélin vagyon, és a kövért, melly a májon vagyon a vesével egybe vegye el.
Lev.3.5 | És égessék meg mind azt az Áron fijai az oltáron egészen égőáldozatúl, a fákon, mellyek a tűzre rakattattak: tüzes és jóillatú áldozat ez az Úr előtt.
Lev.3.6 | Hogyha pedig valaki apró baromból akar áldozni az Urnak háláadó-áldozatot, akár hím, akár nőstény lészen az; ép és makula nélkül való legyen.
Lev.3.7 | Ha juhból lészen az ő áldozatja; áldozza azt az Úr előtt.
Lev.3.8 | És tegye az ő kezét az ő áldozatjának fejére, azután ölje meg azt a gyülekezet sátoránál előtte, és az Áron fijai öntsék a vérét az oltárra mind körűl.
Lev.3.9 | Annakutánna áldozzék az Úrnak e háláadó-áldozatból tüzes áldozatot, tudniillik, annak kövérét, a farkát egészen, mellyet a hátagerézdi végénél vágjon el, és a hasához ragadott kövérit, és minden kövérit, melly a bélihez ragadott.
Lev.3.10 | És a két veséit, a veséken és a bélen való kövérrel egybe, és a máj körűl való kövérséget mind a veséivel egybe elvegye.
Lev.3.11 | És azt égesse meg a Pap az oltáron: tüzes áldozatnak eledele ez az Úr előtt.
Lev.3.12 | Hogyha pedig valaki kecskével áldozik, áldozza azt az Úr előtt.
Lev.3.13 | És tegye az ő kezét annak fejére, és ölje meg azt a gyülekezetnek sátora előtt, és öntsék az Áron fijai annak vérét az oltárra körűl.
Lev.3.14 | Annakutánna áldozzék az ő áldozatjából tüzes áldozatot az Úrnak: tudniillik a kövérit, melly a bélit béfedezi, és a melly a bélihez ragadott.
Lev.3.15 | Annakfelette a két veséit, a kövért, melly a veséin vagyon, és melly a bélin vagyon, és a mája mellett való kövért, mind a veséivel egybe elvegye.
Lev.3.16 | Mellyeket a Pap égessen meg az oltáron: tüzes áldozatnak jóillatú eledele ez az Úr előtt. Minden kövérség az Úré legyen.
Lev.3.17 | És örökké állandó szertartás legyen minden lakhelyeitekben a ti utánnatok valóknál, hogy semmi kövért és vért meg ne egyetek.

Lev.4.1 | Szóla ismét az Úr Mózesnek, mondván:
Lev.4.2 | Szólj az Izráel fijainak, ezt mondván: Ha valamelly ember vétkezéndik az Istennek parancsolatai ellen olly vétkekkel, mellyeket nem kell cselekdni, és a parancsolatok közzűl valamellyiknek tilalma ellen cselekedéndik.
Lev.4.3 | Mint: Ha a ki Pappá kenettetett, vétkezéndik, és azzal okot adánd a népnek romlására, hozzon az ő bűnéért, a mellyet cselekedett, az Úrnak egy ép tulkot bűnért való áldozatra.
Lev.4.4 | És vigye a tulkot a gyülekezet sátorának ajtaja eleibe, az Úr eleibe, és tegye az ő kezét a tuloknak fejére, és tulkot ölje meg az Úr előtt.
Lev.4.5 | És vegyen a megkenettetett Pap a tuloknak vérében, és vigye bé azt a gyülekezetnek sátorába.
Lev.4.6 | annakutánna mártsa a Pap az ő ujját a vérbe, és hintsen abból hétszer az Úr előtt, a szent hajléknak superlátja előtt.
Lev.4.7 | És tegyen a Pap abból a vérből a jóillattétel oltárának szarvára az Úr előtt, melly oltár vagyon a gyülekezetnek sátorában: a vérnek többiét öntse az égőáldozat oltárának fundamentomára, melly a gyülekezet hajlékának ajtaja előtt vagyon.
Lev.4.8 | Annakutánna a tuloknak, mellyet a bűnért való áldozatra vitt fel, minden kövérit vegye el, tudniillik a bélen és a bél körűl való kövérségét.
Lev.4.9 | A két veséit is azokon való kövérséggel egybe, a bélhez való kövérséget: és a melly kövér a mája melett vagyon, mind a veséivel egybe elvegye.
Lev.4.10 | Miképen a háláadó-áldozatnak tulkából veszik: és azokat égesse meg a Pap az egészen égőáldozatnak oltárán.
Lev.4.11 | A tuloknak pedig bőrét és húsát, fejével és lábaival egybe, bélit és ganéját:
Lev.4.12 | És mind az egész tulkot vigye ki a táboron kivűl tiszta helyre, a hová az áldozatoknak hamuját töltik: és égesse meg azt rakás fán tűzzel, ott égesse meg a hová a hamut töltik.
Lev.4.13 | Hogyha pedig az Izráel fijainak egész gyülekezete vétkezéndik, és a gyülekezettől a vétek eltitkotatot; és valamit cselekedéndenek az Úrnak valamellyik parancsolatja ellen, mellyet nem kellett volna cselekedni, annyira hogy méltók legyenek büntetésre.
Lev.4.14 | Mikor megtudatik a bűn, a mellyet cselekedtek a parancsolat ellen: a gyülekezet áldozzon egy tulkot a bűnért, és vigye azt a gyülekezetnek sátora eleibe.
Lev.4.15 | És a gyülekezetnek Vénei vessék az ő kezeiket a tuloknak fejére az Úr előtt, és ölje meg azt a Pap az Úr előtt.
Lev.4.16 | Annakutánna a választatott Főpap vigyen bé annak a tuloknak véréből a gyülekezetnek sátorába.
Lev.4.17 | És bémártván a Pap az ő ujját a vérbe, hintsen a vérből hétszer az Úr előtt, a superlát előtt.
Lev.4.18 | Annakfeleette abból a vérből tegyen az oltárnak szarvára is, melly az Úr előtt a gyülekezet sátorában vagyon: azután a vérnek többiét töltse az égőáldozat oltárának fundamentomára, melly a gyülekezet sátorának ajtaja előtt vagyon.
Lev.4.19 | A tuloknak pedig minden kövérit vegye el, és égesse meg az oltáron.
Lev.4.20 | És mindenestől fogva úgy cselekdjék azzal a Pap, mint a maga bűnéért való tulokkal, és megtisztítja a gyülekezetet a Pap, és megbocsáttatik nékik.
Lev.4.21 | Kivigye a tulkot a táboron kivűl, és megégesse azt, miképen megégette az első tulkot. A gyülekezet bűnéért való áldozat ez.
Lev.4.22 | Ha Fejedelem vétkezéndik, és az ő Urának Istenének parancsolatja ellen cselekedéndik valamit, mellyet nem kell cselekedni, s vétkezéndik tudatlanságból.
Lev.4.23 | Vagy pedig más mondotta meg néki a bűnt, a mellyet cselekedett, vigyen áldozatra egy ép makula nélkűl való kecskebakot.
Lev.4.24 | És tegye az ő kezét a baknak fejére, és ölje meg azt ott a helyen, a hol megszokták ölni az egészen megégetendő áldozatra való barmot: az Úr előtt bűnért való áldozat ez.
Lev.4.25 | És vegyen a Pap az áldozatra való baromnak vérében az ő ujjával, és az égőáldozat oltárának szarvaira tegye azt; többiét a vérnek töltse az égőáldozatok oltárának fundamentomára.
Lev.4.26 | A kövérit pedig mind égesse meg az oltáron, mint a háláadó-áldozatnak kövérit: és a képen megtisztítja azt a Pap az ő bűnétől: és megbocsáttatik néki.
Lev.4.27 | Ha pedig a föld népe közzűl valamelly köz ember vétkezéndik tudatlanúl, és az Úrnak valamellyik parancsolatja ellen valamit cselekedéndik, mellyet nem kell cselekedni, és vétkezéndik;
Lev.4.28 | Mikor megesméréndi a bűnt, mellyet cselekedett, vigyen áldozatra az ő bűnéért egy nőstény kecskét épet és makula nélkűl valót.
Lev.4.29 | És tegye az ő kezét e bűnért való áldozat fejére, és ölje meg azt a bűnt, a hol az égőáldozatra való barmok meg szoktak öletni.
Lev.4.30 | Annakutánna vegyen a Pap annak vérében az ő ujjával, és tegye az égőáldozat oltárának szarvaira, a vérnek többiét töltse az oltárnak fundamentomára.
Lev.4.31 | Azután vegye el minden kövérit, mint szokták a hálaadásra való áldozatnak kövérit elvenni: és azt égesse meg a Pap az oltáron, jóillatú áldozatúl az Úrnak. E képen tisztítsa meg azt a Pap, és megbocsáttatik annak.
Lev.4.32 | Ha pedig juhot viszen az ő bűnéért való áldozatra, nőstényt és épet vigyen.
