2Kgs.1.1 | Elszakada pedig Moáb, Akhábnak halála után, az Izráeltől.
2Kgs.1.2 | És mikor Akházia alá esett volna az ő felházának valami rostélján, melly ház Samariában vala: megbetegedék, és követeket külde el, kikknek azt parancsolá: Menjetek el, kérdjetek tanácsot a Baálzebubtól, az Ekronbeli istentől, ha meggyógyulok és e betegégből?
2Kgs.1.3 | Az Úrnak Angyala pedig szóla Thesbites Illyésnek: Kelj fel, menj fel eleibe a Samariabeli Király követeinek, és szólj nékik: Nincsen é Isten Izráelben, hogy Baálzebubhoz az Ekronbeli istenhez mentek tanácsot kérdeni?
2Kgs.1.4 | Annakokáért azt mondja az Úr: Az ágyból, a mellyben feküdtél, fel nem kelsz, hanem kétség nélkűl meghalsz. És mindjárt elméne Illyés.
2Kgs.1.5 | És mikor a követek megtértek volna ő hozzá, monda nékik: Miért tértetek meg?
2Kgs.1.6 | Felelének néki: Egy férjfiú jöve előnkbe, és monda nékünk: Menjetek el, térjetek vissza a Királyhoz, ki titeket elküldött, és mondjátok meg néki: Ezt mondja az Úr: Nincsen é Izráelben Isten, hogy te Baálzebubhoz az Ektronbeli istenhez küldesz tanácsot kérdeni? Annakokáért az ágyból, mellybe feküdtél, fel nem kelsz, hanem nyilván meghalsz.
2Kgs.1.7 | Monda pedig nékik: Minémű személy vala az a férjfiú, ki előtökbe jött vala, és ezeket a beszédeket szóla néktek?
2Kgs.1.8 | És felelének néki: Egy szőrös ember, ki szíjővvel övedezte vala bé derekát. Akkor monda: A Thesbites Illyés az.
2Kgs.1.9 | És hozzá külde egy ötven ember előtt járó Főembert, az alatta való ötven emberrel; ki felmenvén ő hozzá (ímé pedig ő ül vala a hegy tetején,) monda néki: Isten embere, a Király azt parancsolja hogy szállj alá!
2Kgs.1.10 | Felelvén Illyés, monda az ötven ember előtt járó Főembernek: Ha én Isten embere vagyok, szálljon tűz alá az égből, és emésszen meg téged és az alattad való ötven embereket. Akkor tűz szálla alá az égből, és megemészté őtet és az ő ötven embereit.
2Kgs.1.11 | Ismét pedig külde a Király ő hozzá más ötven ember előtt való Főembert, mind az ötven férjfiakkal egybe, ki szóla és monda néki: Isten embere, a Király azt parancsolja, hogy hamar jöjj alá!
2Kgs.1.12 | És felele Illyés, és monda nékik: Ha Isten embere vagyok, szálljon tűz az égből alá, és emésszen meg téged, és a te ötven embereidet. Akkor tűz szálla alá az Istentől az égből, és megemészté őtet és az ő ötven embereit.
2Kgs.1.13 | Ismét elkülde pedig harmadik ötven ember előtt járó Főembert, az ő ötven embereivel egybe, és flmenvén ez az ötven ember előtt járó Főember, elméne és térdeir esék Illyés előtt, és könyörögvén néki, mondá: óh Isten embere, kérlek, legyen becsületes a te szemeid előtt az én lelkem, és ezeknek a te szolgáidnak, ez ötven embereknek lelkek!
2Kgs.1.14 | Ímé tűz szálla le az égből és megemészté az ötven emberek előtt való elébbi két Főembereket, az ő ötven embereikkel egybe: Most azért legyen becsületes az én lelkem a te szemeid előtt!
2Kgs.1.15 | szóla pedig az Úrnak Angyala Illyésnek: Menj alá vele, ne félj semmit tőle. Ki felkelvén aláméne vele a Királyhoz.
2Kgs.1.16 | És szóla néki: Ezt mondja az Úr: mivelhogy követeket küldöttél tanácsot kérdeni Baálzebubhoz az Ekrombeli istenhez, mintha nem volna Izráelben Isten, kinek beszédéből tanácsot kérdhetnél. Annakokáért fel nem kelsz ez ágyból, mellybe feküdtél, hanem nyilván meghalsz.
2Kgs.1.17 | Meghala azért az Úrnak beszéde szerint, mellyett szólott vala Illyés, és uralkodék Jórám ő helyette, Jórámnak a Jósafát fijának a Júdabeli Királynak második esztendejében: mert nem vala Akháziának fija.
2Kgs.1.18 | Akháziának pedig több dolgai, mellyeket cselekedett, nemde nincsenek é megírva az Izráel Királyaink cselekedetekről iratott Krónika könyvben?

2Kgs.2.1 | És lőn mikor az Úr Illyést fel akarná vinni a szélvesz által mennyekbe, elméne Illyés és Elizéus Gilgálból.
2Kgs.2.2 | Akkor monda Illyés Elizeusnak: Maradj itt, kérlek, mert az Úr Béthelbe küldött engemet. Monda pedig Elizeus: Él az Úr, és a te lelked, hogy el nem hagylak téged. Alámenének azért Béthelbe.
2Kgs.2.3 | Akkor kijövének a Próféták fijai, kik Béthelben valának Elizeushoz, és mondának néki: Nem tudod é, hogy e mai napon az Úr elragadja a te uradat tőled? És monda: Tudom én is, hallgassatok.
