1Chr.1.1 | Adám Seth, Énós.
1Chr.1.2 | Kénán, Mahalaléel, Járed.
1Chr.1.3 | Énók, Metusélákh, Lámek.
1Chr.1.4 | Nóé, Sem, Khám és Jáfet.
1Chr.1.5 | Jáfetnek fijai: Gómer, Mágog, Madai, Jáván, Tubál, Mések és Tirás.
1Chr.1.6 | Gómernek pedig fijai: Askenáz, Difát és Togárma.
1Chr.1.7 | Jávának pedig fija: Elisa, Társisa, Kittim és Dódanim.
1Chr.1.8 | Khámnak fijai: Khús, Misraim, Pút, és Kanaán.
1Chr.1.9 | Kúsnak fijai: Séba, Hávila, Sábra, Rahéma, és Sabtéka. Rahémának pedig fijai: Séba és Dédán.
1Chr.1.10 | Annakfelette Kús nemzé Nimródot; e kezde e földön lenni hatalmassá.
1Chr.1.11 | Misraim pedig nemzé a Ludeusokat, Hanameusokat, Lehabeusokat és a Naftukheusokat.
1Chr.1.12 | A Patruseusokat is és a Káslukheusokat, kiktől származának a Filiszteusok, és a Kaftoreusok.
1Chr.1.13 | Kanaán pedig nemzé Sídont az ő elsőszülöttét, és Hétetk,
1Chr.1.14 | És a Jebuzeust, Emoreust és Grigazeust.
1Chr.1.15 | Hiveust is, Arkeust és Sineust.
1Chr.1.16 | És Arvadeust, Semareust, és Hamateust.
1Chr.1.17 | Semnek fijai, Elám és Assur, Arfaksád, Lúd, Arám. Ennek fijai Úr, Húl, Géter és Mések.
1Chr.1.18 | Arfaksád pedig nemzé Sélákhot, és Sélákh nemzé Ébert.
1Chr.1.19 | Ébernek pedig lőnnek két fijai, kik közzűl egyiknek Péleg vala neve: mert az idejében oszla el a föld népe: a másiknak neve Joktán.
1Chr.1.20 | Joktán pedig nemzé Almodádot és Sélefet, Hasármávetet és Jérákhot.
1Chr.1.21 | És Hadorámot, és Uzált, és Diklát,
1Chr.1.22 | És Ebált, Abimáelt és Sébát.
1Chr.1.23 | És Ofirt, Havilát, és Jobábot; ezek mind Joktán fijai voltak.
1Chr.1.24 | Sem, Arfaksád, Selákh.
1Chr.1.25 | Éber Péleg, Réu.
1Chr.1.26 | Sérug, Nákhor, Táré,
1Chr.1.27 | Ábrám, ez az Ábrahám.
1Chr.1.28 | Ábrahám fijai Izsák és Ismáel.
1Chr.1.29 | Ezeknek pedig nemzetségei ezek: Ismáelnek elsőszülötte Nébajót és Kédár, és Adbeél, és Mibsám.
1Chr.1.30 | Misma és Dúma, Massa. Hadád és Téma.
1Chr.1.31 | Jétur, Náfis és Kedma; ezek az Ismáel fijai.
1Chr.1.32 | Keturának pedig az Ábrahám ágyasának fijai, kiket szüle, ezek: Zimrán, Joksán, Médán, Midián, Isbák és Súah. És a Joksán fijai: Séha és Dédán.
1Chr.1.33 | És a Midián fijai: Efa, Efer, Hánok, Abída és Eldáa; mind ezek Ketura fijai voltak.
1Chr.1.34 | Ábrahám pedig nemzé Izsákot; Izsák fijai pedig ezek: Ézsaú és Izráel.
1Chr.1.35 | Ézsaúnak fijai; Elifáz, Réhuel, Jéus, Jaalám és Kórákh.
1Chr.1.36 | Elifáz fijai: Temán, Omár, Sefi, Gaátám, Kénáz, és Timnának fija Amálek.
1Chr.1.37 | Réhuel fijai: Náhát, Zérah, Samma és Mizza.
1Chr.1.38 | Seir fijai: Lotán és Sobál, Sibon, Ana, Dison, Eser és Disán.
1Chr.1.39 | Lótán fijai pedig: Hori és Hómám: Lótánnak huga pedig Timna.
1Chr.1.40 | Sobál fijai: Alián és Manakhát, Ebál, Séfi és Onám; Sibón fijai pedig: Aja és Ana.
1Chr.1.41 | Ana fija: Dison. Dison fijai pedig, Hamrán és Esban, Itrán és Kérán.
1Chr.1.42 | Eser fijai: Bilhán és Zaaván, Jaakán. Disán fijai: Us és Arán.
1Chr.1.43 | Ezek pedig a Királyok, kik uralkodának Edom földén minekelőtte az Izráel fijai közzűl Király támadna: Béla Beór fija, és az ő városának neve Dinhába vala.
1Chr.1.44 | És meghala Béla, és uralkodék helyette Jobáb a Bozrából való Zéráh fija.
1Chr.1.45 | És hogy Jobáb meghala, uralkodék helyette a Témán tartománybeli Húsám.
1Chr.1.46 | Meghala Húsám is, és uralkodék helyette Hadád a Bédád fija, ki megverte vala a Midiánitákat a Moáb mezején; és az ő városának neve vala Avit.
1Chr.1.47 | Hadád is hogy meghala, uralkodék helyette a Masrékabeli Sámla.
1Chr.1.48 | Sámla is pedig meghala, és uralkodék helyette Saul, a Rehóbot folyóvíz mellől való.
1Chr.1.49 | Saul is meghala, és uralkodék helyette Baál-hanán az Akbor fija.
1Chr.1.50 | Meghala végezetre Baál-hanán is, és uralkodék helette Hadád: és az ő városának Páhi vala neve: feleségének pedig neve Mehetábel, Mátréd leánya, melly vala Mézaháb leánya.
1Chr.1.51 | Meghala végezetre Hadád is. Voltak pedig Edom földének Herczegei: Timna Herczeg, Hália Herczeg, és Jéteth Herczeg;
1Chr.1.52 | Aholibáma Herczeg, Ela Herczeg, és Pinon Herczeg;
1Chr.1.53 | Kénáz Herczeg; Témán Herczeg; és Mibsár Herczeg;
1Chr.1.54 | Magdiel Herczeg, és Hirám Herczeg: Ezek Herczegek voltak az Edomeusoknak földökben.

1Chr.2.1 | Ezek az Izráel fijai: Rúben, Simeon, Lévi, Júda, Issakhár és Zebulon.
