Eccl.1.1 | Salamon Prédikatornak a Dávid fijának, Jérusálembeli Királynak beszédei:
Eccl.1.2 | Felette nagy hijábavalóság, azt mondja a Prédikátor; felette nagy hijábavalóság: ezek mindenek hijábavalóság;
Eccl.1.3 | Micsoda haszna vagyon az embernek minden ő munkájában, mellyel munkálkodik a nap alatt?
Eccl.1.4 | Egyik nemzetség elmegyen, és a másik eljő; jóllehet a föld mind örökké megmarad.
Eccl.1.5 | És a nap feltámadván, minekutánna elnyugodt a nap: ismét az ő helyére siet a hol ő feltámadhasson:
Eccl.1.6 | Siet délre, és általmegyen észak felé; az ő elforgásával körüljárván siet az ég, és hogy az ő kerengése szerint visszatérhessen az ég.
Eccl.1.7 | Minden folyóvizek sietnek a tengerbe: mindazáltal a tenger mégis meg nem telik: akármicsoda helyre a folyó vizek siessenek, ugyanazon helyre visszamennek goyrsasággal.
Eccl.1.8 | Egyenként ezek a dolgok mint fáradoznak, senki nem mondhatná meg; nem elégednék meg a szem látván, sem bé nem teljesednék a fül hallással.
Eccl.1.9 | A mi volt, ugyanazon a mi ezután is lészen, és a mi most lészen, ugyanazon a mi ennekutánna i lészen; és semmi nincsen új dolgog a nap alatt.
Eccl.1.10 | Vagyon valami, a miről mondják: Nézhetsze ezt, uj ez; melly immár sok száz esztendővel volt mi előttünk.
Eccl.1.11 | Nincsen emlékeze az előbbiekről; azonképen az utolsó dolgokról is, mellyek jövendők, nem lészen emlékezet azoknál, kik ezután lésznek.
Eccl.1.12 | Én Prédikátor, mikor volnék Királya Izráelnek Jérusálemben.
Eccl.1.13 | Adván az én elmémet mind azoknak vizsgálására és bölcsen való tudakozására, mellyek lésznek az egek alatt, (ez a gonosz hijábavaló foglalatosság, mellyet adott Isten az emberek fijainak, hogy foglalják magokat abban.)
Eccl.1.14 | Láttam minden dolgokat, mellyek lésznek a nap alatt, hogy ímé, mind ezek csak hijábavalóság, és a léleknek gyötrelme!
Eccl.1.15 | Az egyetlen meg nem egyenesíttethetik, és a fogyatkozás meg nem számláltathatik.
Eccl.1.16 | Szóltam én az én elmémmel, mondván; Ímé én naggyá lettem, és nyertem bölcseséget mind azok felett, a kik fők voltak én előttem Jérusálemben, és az én elmém tanult sok bölcseséget és tudományt!
Eccl.1.17 | Adtam annakfelette az én elmémet a bölcseségnek tudására, és minden esztentelenségnek és bolondságnak megtudására; de megesmérém ezt is lenni a lélek nyomorúságának!

Eccl.2.1 | Annakutánna, mivelhogy a bölcseségnek sokaságában sok búsulás vagyon, és valaki öregbíti a bölcseséget, öregbíti a gyötrelmet:
Eccl.2.2 | Mondék én az én szívemben: No megpróbállak téged a vígan való lakásban, hogy meglássam, micsoda jó vagyon abban; de ímé az is hijábavalóság!
Eccl.2.3 | A nevetésről azt mondom: Hogy bolondhoz illik az! a vígasságról pedig: mit használ az?
Eccl.2.4 | Elvégezém az én szívemben, hogy magamat adnám boritalra (még mikor a bölcseséget követném, és elővenném ezt a bolondságot,) mígnem meglátnám, hogyha az emberek fijainak e volna jó, mellyet kellene cselekedniek az ég alatt, az ő életek napjainak számok szerint.
Eccl.2.5 | Felette igen nagy dolgokat cselekedtem; építék magamnak házakat; ülteték magamnak szhőlőket.
Eccl.2.6 | Csinálék magamnak kerteket, és almáskerteket, mellyekben ülteték mindenféle gyümölcstermő fákat;
Eccl.2.7 | Csinálék magamnak halastókat, hogy azokból öntöznéma gyümölcstermő fáknak erdejét.
Eccl.2.8 | Szerzék szolgákat és szolgálókat: házamnál nevelkedett szolgám is sokak voltak nékem; öreg és apró barmoknak nyájaival is többet bírtam mind azoknál, kik voltak én előttem Jérusálemben:
Eccl.2.9 | Gyüjték magamnak ezüstöt aranyat is, Királyok és tartományok örökségét: szerzék magamnak éneklő férjfiakat és éneklő asszonyokat, és az emberek fijainak gyönyörűségit, mindenféle vígasságtevő szerszámokat:
Eccl.2.10 | És naggyá levék és megnevekedém minden Királyok felett, kik előttem voltak Jérusálemben, az én bölcseségem is helyén volt.
Eccl.2.11 | Valamit kívánnak vala az én szemeim: meg nem fogtam azoktól azokat, meg sem tartóztattam az én szívemet semmi vígasságtól, hanem az én szívem örvendezett minden én munkámmal gyüjtött jókban: mivelhogy e volt az én részem minden én munkáimból.
Eccl.2.12 | Tekinték minden dolgaimra, mellyeket cselekedtek vala az én kezeim, és az én munkámra, mellyet szorgalmatossággal szereztem vala: ímé pedig ezek mind hijábavalóság és a léleknek gyötrelme, el annyira, hogy nincsen annak semmi haszna a nap alatt!
Eccl.2.13 | Azért fordítám magamat én, hogy megkísérteném a bölcseséget, és minden bolondságot és esztelenséget (mert valyon kicsoda olly ember, ki a Királyt követhetné azoknak megtudásokban, a mellyeket egyebek cselekedtek?)
Eccl.2.14 | Noha látám és hasznosbnak lenni a bölcseséget a bolondságnál, miképen hasznosb a világosság a setétségnél;
Eccl.2.15 | A bölcset lenni ollyannak, mint a kinek szemei vagynak a fejében; a bolondot pedig setétben járni; de megesmérém én, hogy ugyanazon egy végek lészen mind ezeknek.
Eccl.2.16 | Annakokáért mondám az én elmémben: A bolondnak állapotja szerint lészen az én állapotom is, miért bölcselkedném tehát én is feljebb? és mondék az én elmémben: Ez is hijábavalóság!
Eccl.2.17 | Mert nem lészen emlékezete sem a bölcsnek, sem a bolondnak mind örökké; mivelhogy a mellyek immár vagynak, azok a következendő időkben mind elfelejtetnek: és miképen meghal a bölcs, azonképen meghal a bolond is.
Eccl.2.18 | Azokáért gyűlöltem az életet; mert gonosznak láttaték nékem a dolog, a melly lészen a nap alatt: mert mind ez hijábavalóság, és a léleknek gyötrelme!
Eccl.2.19 | Gyűlöltem én minden munkámat is, mellyet én munkálkodom a nap alatt; mivelhogy elhagyom azt olly embernek, ki én utánnam fog élni;
Eccl.2.20 | És ki tudja ha bölcs lészen é vagy bolond, a ki uralkodándik minden én munkámon, a mellet cselekedéndek, és a mellyet bölcsen szerzéndek, a nap alatt? Ez is hijábavalóság!
Eccl.2.21 | Annakokáért elfordítám magamat, megfogván reménységtől az én elmémet minden munkám felől, mellyel munkálódtam a nap alatt;
Eccl.2.22 | Mert vagyon olly ember, kinek munkája elvégeztetett bölcseséggel, tudománnyal, és igazsággal; olly embernek adja pedig azt örökségűl, a ki abban semmit nem munkálódott: Ez is hijábavalóság, és nagy gonosz!
Eccl.2.23 | Mert micsoda marad meg annak az embernek minden ő munkájából, és elméjének nyughatatlan fáradozásából, mellyel ő munkálkodott a nap alatt?
Eccl.2.24 | Holott annak minden napjaiban voltak bánatok és búsulás az ő foglalatosságiban, még éjjel is nem nyugodt az ő elméje. Ez is hijábavalóság!
Eccl.2.25 | Nincsen csak e jó is az embernek hatalmában; hogy egyék, igyék és azt cselekedje, hogy az ő elméje lakozzék gyönyörűséggel az ő munkájából; ezt is láttam én az Istennek kezétől lenni.
Eccl.2.26 | (Mert én nálamnál feljebb ki éhetne azzal? kicsoda élhetne nálamnál nagyobb gyönyörűségre?)
Eccl.2.27 | Met az embernek, a ki jónak láttatik az ő szeme előtt, ád Isten bölcseséget és tudományt örömmel; a bűnösnek pedig ád foglalatosságot az egybegyüjtésre és az egybehordásra, hogy adja annak, a ki jónak tetszik előtte. Az is hijábavalóság, és az elmének gyötrelme!

Eccl.3.1 | Minden dolognak rendelt ideje vagyon, és ideje vagyon az ég alatt minden akaratnak:
Eccl.3.2 | Ideje vagyon a születésnek és ideje a meghalásnak; ideje az ültetésnek, ideje annak kiszaggatásának a mi ültettetett.
Eccl.3.3 | Ideje vagyon a megölésnek és ideje a meggyógyításnak; Ideje vagyon a rontásnak, és ideje az építésnek.
Eccl.3.4 | Ideje vagyon a sírásnak, és ideje a nevetésnek: ideje vagyon a jajgatásnak és ideje a szökésnek.
Eccl.3.5 | Ideje vagyon a köveknek elhányattatásoknak, és ideje a köveknek egybegyüjtéseknek: Ideje az ölelgetésnek, és ideje az ölelgetéstől való eltávozásnak.
Eccl.3.6 | Ideje vagyon a keresésnek, és ideje a vesztésnek; ideje a megtartásnak és ideje az elvetésnek.
Eccl.3.7 | Ideje vagyon a szaggatásnak, és ideje az egybevarrásnak: ideje vagyon a hallgatásnak és ideje a szólásnak.
Eccl.3.8 | Ideje vagyon a szeretésnek, és ideje a gyülölségnek; ideje a hadakozásnak és ideje a békességnek.
Eccl.3.9 | Micsoda haszna vagyon a munkásnak abban, a miben ő munkálkodik?
Eccl.3.10 | Láttam ezt lenne foglalatosságnak, mellyet adott Isten az emberek fijainak, hogy foglalnák magokat abban:
Eccl.3.11 | Hogy az Isten mindent szépen renddel az ő idejében, míg e világ fennáll is, ád az emberek elméjekbe, (attól megválva, mellyet az ember meg nem foghat elméjével) olly dolgot, mellyet az Isten cselekeszik kezdettől fogva mind végig.
Eccl.3.12 | Megesmértem, hogy nincsen ahz ő hatalmokban a jó; hanem hogy örvendezzen kiki, és hogy jót cselekedjen az ő életében:
Eccl.3.13 | Sőt inkább hogy az ember eszik, és iszik, és él az ő egész munkájából, az mind Istennek ajándéka.
Eccl.3.14 | Tudom, hogy valamit Isten cselekeszik, az lészen örökké, ahoz semmi nem adattathatik, és abból semmi el nem vétettethetik: és az Isten ezt míveli e végre, hogy az emberek az ő orczáját rettegjék:
Eccl.3.15 | A mi volt, most is vagyon, és a mi következik, immár megvolt, és az isten forgatja az egymás után következendő dolgokat.
Eccl.3.16 | Láttam annakfelette a nap alatt hogy az itéletnek helyén hamisság, és az igazságnak helyén latorság volt;
Eccl.3.17 | És mondék magamban: az igazat és a hamisat megítli az Isten; mert jóllehet minden ember akaratjának ideje vagyon: de a ki mind e dolgokat igazgatja, ő is jelen vagyon.
Eccl.3.18 | Így szólék azért magamban emberi okosság szerint, minekutánna azokat megesmértette volna velem az Isten, és látnám, hogy ezek az oktalan állathoz hasonlók:
Eccl.3.19 | Az emberek fijainak végek hasonlatos az oktalan állatnak végéhez, és egyenlő végek vagyon azoknak; a mint meghal egyik ugy meghal a másik is, és ugyanazon eg lélek vagyon azokban; annakokáért az embernek nagyobb méltósága nincsen az oktalan állatoknál, hanem hogy mind ezek hijábavalóságok.
Eccl.3.20 | Ezek közzűl mindenik ugyanazon egy helyre megyen; mindenik a porból való, és mindenik porrá lészen.
Eccl.3.21 | Valyon kicsoda vette eszébe az ember lelkét, hogy felment volna; és az oktalan állat lelkét, hogy a föld alá ment volna?
Eccl.3.22 | Azokáért nékem láttatik vala, hogy semmi nem volt jobb, mint hogy az ember örvendezne az ő dolgaiban, mivelhogy csak e volna az ő része e világban: mert ki cselekeszi vele, hogy megtudja mi következik ő utánna?

Eccl.4.1 | Viszontag mikor én látnám mind azokat, a kik a nap alatt nyomorgattatnak; mert ímé nyilván vagyon azoknak, a kik nyomorgattatnak, könyhullatások; a kiknek semmi vigasztalójok nincsen, avagy az ő ket nyomorgatóknak kezekből megszabadulásra való erejek; és a kik minden vigasztalótól megfosztattak.
Eccl.4.2 | Dicsérem vala én először a megholtakat, a kik már megholtak volna, az élőknek felette, a kik még élnének!
Eccl.4.3 | De azután e kettőnél jobbnak láttatik vala az, a ki még nem volt, a ki meg nem kisértette azt a gonoszságot, melly a nap alatt lészen;
Eccl.4.4 | Mert látom vala én, hogy annak minden dolgáért, és minden igazságos cselekedeiért az emberre irigykedik az ő felebarátja: annakokáért ez is hijábavalóság, és lélek fájdalom!
Eccl.4.5 | A bolond egybekapcsolja az ő kezeit, és megemészti az ő testét.
Eccl.4.6 | Azt gondolván, hogy jobb egy teljes marok nyugalommal, hogynem mint mind a két maroknak teljessége nagy munkával és lelki fájdalommal.
Eccl.4.7 | Viszontag láték a nap alatt más hijábavalóságot;
Eccl.4.8 | Vagyon ollyan ember, kihez hasonlatos nincsen, kinek sem fia, sem attyafia nincs: mindazáltal nincsen vége minden ő fáradságának, és az ő szeme is meg nem elégszik gazdagsággal, hogy azt mondaná: valyon kinek munkálkodom, hogy az én lelkemet minden jótól megfosztom? Ez is hijábavalóság, és gonosz foglalatosság!
Eccl.4.9 | Sokkal jobban vagyon dolga a kettőnek, hogynem az egynek: mert azoknak jó jutalmok vagyon az ő munkájokból;
Eccl.4.10 | Mert ha elesnek is, az egyik felemeli az ő társát: Jaj pedig az egyedülvalónak ha elesik; mert nincsen ki felemelje őtet.
Eccl.4.11 | Hogyha együtt feküszik is a kettő, megmelegszenek; az egyedülvaló pedig mimódon melegedhetik meg?
Eccl.4.12 | Ha a másiknál erősebb lészen is valaki, ketten ellen állhatnak annak; és a hármas kötél nem hamar szakad el.
Eccl.4.13 | Jobb a szükölködő de bölcs gyermek a vén bolond Királynál, a ki nem szenvedi el az intést többé:
Eccl.4.14 | Mert amaz a fogságból is uralkodásra megyen, holott ez az ő uralkodásában is szegénységben születtessék.
Eccl.4.15 | Láttam hogy a nap alatt járó minden élők adták magokat a második gyermekhez; a ki amannak helyette uralkodandó vala:
Eccl.4.16 | És hogy semmi népnek nincsen vége, mind annak, melly volt ő előttök: és hogy még az utánnok valók is semmi Fejedelmeknek nem örvendeztek: Ez is nagy hijábavalóság és lelki gyötrelem!

Eccl.5.1 | Őrizd meg mindkét lábaidat, mikor az Istennek házához mégy, hogy hajlandó légy a hallgatásra inkább, hogynem mint a bolondoknak módjok szerint az áldozatra; mert ezek nem tudják, hogy gonoszt cselekesznek.
Eccl.5.2 | Ne gyorsalkodjál a te száddal, és a te elméd ne siessen valamit szólni Isten előtt: mert az Isten mennyekben vagyon, te pedig e földön, azért a te beszéded kevés legyen;
Eccl.5.3 | Mert miképen hogy álom szokott következni a sok foglalatosságból: azonképen a sok beszédből bolond beszéd.
