Song.1.1 | Énekek éneke, melly Salamontól szereztetett.
Song.1.2 | Csókoljon meg engem az ő szájának csókjaival: mert a te szerelmeid jobbak a bornál.
Song.1.3 | A te drága kenetid jók illatozásra; a te neved elterjedett, mint a drága kenet; azért szeretnek téged a leányzók.
Song.1.4 | Vonj engemet, és te utánnad futunk! Mikor béviszen engem a Király az ő ágyasházába; örvendezünk és vígadunk te benned, előszámláljuk a te szerelmidet, mellyek jobbak a bornál: igazságot beszélnek, a kik téged szeretnek.
Song.1.5 | Fekete vagyok, de szép vagyok Jérusálem leányai: hasonlatos vagyok a sátorban lakozó Kédárénusokhoz, de a Salamon sátroában lakozókhoz is hasonlatos vagyok.
Song.1.6 | Ne nézzetek engem, hogy én feketeszinű vagyok, hogy a nap sütött engemet: hogy az én atyámnak fijai ellenem megharagudván, idegen szőlőknek őrizőjévé tettek engemet, hogy a magam szőlőjét nem őriztem.
Song.1.7 | Mond meg nékem, te, kit az én lelkem szeret, hol legelteted, és hol nyugotod a te juhaidat délben: mert miért vonnám fel sátoromat a te társaidnak juhaiknál?
Song.1.8 | Mivelhogy nem tudod, óh asszonyok között legszebb ! jöjj ki, ne kövesd annak a nyájnak nyomdokát, és örizzed a te kecskéidet a pásztoroknak sátoraik akörül.
Song.1.9 | A Faraó szekereiben való lovakhoz hasonlítlak tégedet én Mátkám.
Song.1.10 | Szépek a te orczáid, mintegy drágaköveknek rendivel, a te nayakad ékes aranyalánczokkal.
Song.1.11 | Aranyékességet csinálunk tenéked, ezüstből csinált gyöngyökkel.
Song.1.12 | Mikor a Király én mellettem ül, nárdusnak jóillatja származik ő tőle..
Song.1.13 | Ollyan az én Szerelmesem nékem mint egy kötés mirha, melly az én kebeleim között hál.
Song.1.14 | Mint az Engedi szőlőiben a cziprus, ollyan nékem az én szerelmesem!
Song.1.15 | Ímé szép vagy én Mátkám, ímé szép vagy, a te szemeid ollyanok mint a galamboknak szemeik.
Song.1.16 | Ímé te is szép vagy én Szerelmesem, és gyönyörűséges vagy és a mi nyoszolyánk zöldellő.
Song.1.17 | A mi házainknak gerendási czédrusfákból valók, és a mi mulatóhelyeink cziprusokból.

Song.2.1 | Én Sáronnak rózsája vagyok és gyöngyvirág.
Song.2.2 | Mint a liliom a tövisek között: ollyan az én Mátkám a leányok között.
Song.2.3 | Mint az almafa az erőnek fái közuött: Ollyan az én Szerelmesem az ifjak között. Az ő árnyékában felette igen kívánok ülni: mert az ő gyümölcse gyönyörűséges az én ínyemnek.
Song.2.4 | Béviszen engemet a lakodalomnak helyére, és zászló helyett vagyon ő nála az én hozzám való szerelme.
Song.2.5 | Erősítsetek engemet borral, és jóillatú almákkal tápláljatok, mert beteg vagyok a szerelem miatt.
Song.2.6 | Az ő balkeze az én fejem alatt vagyon, és jobbkezével megölelt engemet.
Song.2.7 | Kénszerítlek titeket, Jérusálemnek leányai, a vadkecskékre, és a mezőnek szarvasaira; fel ne költsétek és fel ne serkentsétek az én szerelmemet, a míg akarja.
Song.2.8 | Az én Szerelmesemnek szavát hallom, ímé ő, ímhol jő, sietvén ím ez hegyeken, vígadozván ím ez halmokon!
Song.2.9 | Hasonlatos az én Szerelmesem az őzhöz, vagy a szarvasoknak fijához, ímé ő áll a mi falunkon túl, néz az ablakokról, és mutogatja magát a rostélyokról.
Song.2.10 | Szólván az én Szerelmesem nékem, monda: Kelj fel én Mátkám., én szépem és jöszte.
Song.2.11 | Mert ímé a tél elmult, az eső elmult és elment.
Song.2.12 | Szép virágok látatnak a földön, az éneklésnek ideje eljött és a gerliczének szava hallatik a mi földünkön.
Song.2.13 | A figefa megérlelte első gyümölcsét, és a virágzó szőlők jóillatot adnak; kelj fel én Mátkám, én szépem, és jöjj hozzám!
Song.2.14 | Én Galambom, ki lakozol ímé e kősziklának hasadékiban, és a magas kőszálnak hasadékában, mutasd meg nékem a te orczádat, hadd halljama a te szódat; mert a te szód gyönyörűséges, és a te tekintetes ékes!
