Joel.1.1 | Az Úrnak szava ez, melly lett Jóel által, a Petuel fija által.
Joel.1.2 | Vének halljátok meg ezt, és földnek, minden lakói hallgasságok meg: Valyon volt é valaha illyen dolog a ti időtökben? és valyon a ti atyáitoknak idejekben volt é?
Joel.1.3 | Beszéljétek meg ezt a ti fijaitoknak és a ti fijaitok az ő fijaiknak, és azoknak fijaik beszéljék meg az ő maradékokjoknak.
Joel.1.4 | A mi megmaradott vala a sáskától, megvevé a cserebogár, és a mi a cserebogártól megmaradott vala, megevé a hernyó, és a mi hernyótól megmaradott vala, elsüté a ragya.
Joel.1.5 | Serkenjetek fel részegesek, és és sirjatok, és orditsatok mindnyájan ti borivók a mustért; mert elvétetett a ti szátoktól.
Joel.1.6 | Bizonyára erős nép jöve fel az én földemre; mellynek száma nincsen: az ő fogai ollyanok, mint az oroszlán fogai, és annak zápfogai ollyanok, mint az öreg oroszlán zápfogai.
Joel.1.7 | Pusztává tevé az én szőlőmet, és az én figefáimat meghántá, megmezitelenitvén megmezitelenité, és széllyelhányá: meghervadának az ő ágai.
Joel.1.8 | Keseregj, mint a gyászban járó mennyasszony az ő ifjúságának férjén.
Joel.1.9 | Elkölt az Úr házából a kenyérrel s borral való áldozat, keseregnek a Papok az Úrnak szolgái.
Joel.1.10 | Elpusztittatott a mező, keseregnek a földnek lakói: mert elveszett a búza, elszáradott a must, megizetlenült az olaj.
Joel.1.11 | Szégyenüljetek meg szántóemberek, orditsatok ti szőlőmivesek, a búzáért és az ápráért: mert elveszett a mező gabonájának aratása.
Joel.1.12 | Mert kiszáraott a szőlőtő, elveszett a figés kert, a pomagránát is, a pálmafa is, és az almafa; a mezőnek minden élőfái kiasztak; bizony kiszáradott az öröm az embereknek fijai közzűl.
Joel.1.13 | Öltözzetek zsákba, és sirjatok ti Papok, jajgassatok ti, kik az oltárhoz szolgáltok, jöjjetek el, háljatok gyászruhában, kik az én Istenteknek házából elveszett a kenyérrel és borral való áldozat.
Joel.1.14 | Hirdessetek böjtött, hivjtáok öszve a népet, gyüjtsétek egybe a Véneket, és a földnek minden lakóit a ti Uratoknak Istenteknek házába, és kiáltsatok az Úrhoz, ezt mondván:
Joel.1.15 | Jaj nénkünk e nap: mert közel vagyon az Úrnak napja, és ugy jő mint a pusztitó, a mindenható Istentől!
Joel.1.16 | Avagy nem szemünk láttára veszett é el az élés? a mi Istenünk házából az öröm és a vigasság?
Joel.1.17 | Elrothadtak az elvetett magok a barázdák alatt, elpusztultak a gabonásházak, elromlottak a csűrök: mert kiaszott a búza földből.
Joel.1.18 | Miképen fohászkodik az oktalan állat, bőgnek az ökrök: mert nincsen élések; még a juhoknak nyájok is elveszett!
Joel.1.19 | Te hozzád kiáltok, Uram! mert az aszálynak tüze megemésztette a pusztabeli füvet és a hévség elégette a mezőnek minden élőfáit.
Joel.1.20 | Még a mezei vadak is te hozzád kiáltanak: mert elszáradtak a folyóvizeknek völgyei: mert megemésztette a hévség a pusztabeli zöld füvet!

Joel.2.1 | Kürtöljetek Sionban és kiáltsatok az én szent hegyemen: rémüljenek meg e földnek minden lakói: mert eljött az Úrnak napja, mert közel vagyon.
