Jonah.1.1 | És szóla az Úr Jónásnak az Amittai fijának s monda:
Jonah.1.2 | Kelj fel, menj el Ninivébe nagy városba; és kiálts az elen: mert az ő gonoszságok én előmbe felhatott.
Jonah.1.3 | És felkele Jónás, hogy szaladna Társisba az Úr elől: Annakokáért Jáfó városba menvén és ott hajót találván, melly Társisba menne, megadá a hajóbért, és bészálla a hajóba, hogy ő velek elmennek Társisba az Úr szine elől;
Jonah.1.4 | De az Úr támaszta nagy szelet a tengeren, és lőn felette igen nagy szélvész a tengeren, annyira hogy azt állitanák, hogy a hajó elromlana.
Jonah.1.5 | És megrémülvén a hajósok, kezdének kiáltani kiki az ő Istenéhez, és a hajóban való terhet hányják vala a tengerbe, hogy attól megkönnyebbitenék: Jónás pedig a hajónak egyik oldalába leszállott vala és veszteg feküdvén alszik vala.
Jonah.1.6 | És hozzá menvén a kormányosmester, monda néki: Mi dolog te nagy alható? Kelj fel, kiálts a te Istenedhez, talán megkegyelmez az az Isten nékünk, hogy el ne vesszünk.
Jonah.1.7 | Azután mondának egymásnak: Jer vessünk sorsot, hogy tudhassuk meg, mi okért szállott e veszedelem reánk? Sorsot vetének azért; a sors pedig esék Jónásra.
Jonah.1.8 | És mondának néki: Beszéld meg most nékünk, miért szállott reánk ez a veszedelm? Micsoda rendbeli ember vagy? és honnan jösz? micsoda a te hazád? és micsoda nemzetből való vagy?
Jonah.1.9 | És monda nékik: Zsidó vagyok én, és a mennyeknek Urát Istenét tisztelem, én a ki a tengert és a szárazt teremtette.
Jonah.1.10 | Megrettenének azért azok az emberek felette igen, és mondának néki: Miért mivelte ezt? mert tudják vala azok az emberek, hogy az Úr szine elől futna, mivelhogy nékik megbeszélette vala.
Jonah.1.11 | És mondának néki: Mit cselekedjünk te veled, hogy a tenger megszünjék mi tőlünk? mert a tengernek habjai hova tovább inkább nevekednek vala.
Jonah.1.12 | És monda nékik: Fogjatok engem és vessetek a tengerbe, és megszünik a tenger ti tőletek; mert tudom, hogy én miattam támadott e nagy háboru ti reátok.
Jonah.1.13 | És igyekeznek vala azok az emberek, hogy a szárazra visszahoznák a hajót, de nem lehet vala: mert a tenger habjai inkább-inkább nevekednek vala ellenek.
Jonah.1.14 | Kiáltának azért az Úrhoz, mondván: Kérünk téged, Uram, ne vesszünk el ez embernek lelkéért, és ne büntess meg minket ennek ártatlan véréét: mert te, Uram, a mint akarod, ugy cselekeszel.
Jonah.1.15 | És ragadván Jónást veték a tengerbe: ésmegszünék a tenger az ő háborgatásától.
Jonah.1.16 | Annakokáért azok az emberek nagy félelemmel félék az Urat, és áldozatot tőnek, fogadásokat is fogadának az Úrnak.

Jonah.2.1 | Készitett vala pedig az Úr egy nagy halat, hogy bényelné Jónást; és lőn Jónás a halnak gyomrában három nap és három éjjel.
Jonah.2.2 | És könyörge Jónás az ő Urának Istenének a halnak gyomrából.
