Nah.1.1 | Ninivé város ellen való terhes Prófétzia: az Elkós városbeli Náhum látásnak könyve.
Nah.1.2 | Nem szenvedhetője az Isten a bosszúnak, és bosszúálló az Úr, bosszúálló, mondom, az Úr és buzgó haragú; bosszút áll az Úr az ő ellenségin, és megtartja haragját az ő ellenségei ellen.
Nah.1.3 | Az Úr nagy türhető és nagy hatalmú, ki a bünt büntetés nélkül semmiképen nem hagyja: az Úrnak úta nagy szélvészben és forgószélben vagyon, és a felhők az ő lábainak porok.
Nah.1.4 | Ki a tengert megfeddi és megszáraztja azt és minden folyóvizetkeet megszárazt, a Básán és a Kármel megerőtlenül, és a Libánusnak virága meghervad.
Nah.1.5 | A hegyek megrendelünek ő előtte és a halmok megszakadoznak; a föld ég az ő szine előtt, e földnek kereksége is, és mind azok, kik azon laknak.
Nah.1.6 | Az ő haragja előtt ki állhat meg? és kicsoda állhatja meg az ő barlangjának búsulását? Az ő búsulása kiomol mint a tűz, a kősziklák megrepedeznek ő előtte.
Nah.1.7 | Jó az Úr és a szorongatásnak napján erőssége: és nem hagyja azokat, a kik ő benne biznak.
Nah.1.8 | És mintegy árvizzel általmenvén, végét éri annak a földnek, és az ő ellenségit setétséggel veri meg.
Nah.1.9 | Mit gondoltok az Úr ellen? megemészt ő titeket; nem lészen kétszer veszedelmetek.
Nah.1.10 | Mert a szövevényes tövisekhez, és az ő italokkal megrészegültekhez elérkezik az Úr bosszúállása, megemésztetnek mint a száraz pozdorja mindenestől fogva.
Nah.1.11 | Te belőled származott, a ki az Úr ellen gonosz tanácsot tartott az álnok tanácsadó.
Nah.1.12 | Igy szól az Úr: Ha békességben vagynak is, akármelly sokan legyen is: elvesznek, és általmegyen az Úr rajtok; jóllehet megostoroztalak tégedet én népem, de többé nem ostorozlak.
Nah.1.13 | Mert most immár elvészem az ő igáját rólad, és a te köteleidet elszaggatom.
Nah.1.14 | És azt végezte az Úr te felőled, hogy ezután emlékezeted is elvesszen: a te Istenidnek templomokból kivesztem a faragott és öntetett bálványt; ott helyheztetem koporsódat: mert átkozott vagy.
Nah.1.15 | Ímé a hegyeken vagynak, a hirmondóknak és a békesség hirdetőknek lábaik: Szenteljed Júda a te Innepidet, add meg a te háláadó fogásidat: mert nem megyen többé által rajtad az istentelen, ki mindenestől fogva kivágattatik.

Nah.2.1 | Feljött a pusztitó szemed láttára; őrizzed a te erősségidet, nézzed az útat, erősitsd meg derekadat, keményitsd meg erődet igen.
Nah.2.2 | Mert elvette az Úr Jákóbnak kevélységét, mint az Izráelnek kevélységét: mert a pusztitók eléggé pusztitották őket, és az ő csemetéiket kivágták.
Nah.2.3 | Az ő erős vitézinek paizsok megveresittetett, az ő hadakozó férjfiai veres ruhákba öltöztek; mint a tüzes fáklyák az ő szekereik az ő készületek napján, és a jegenyefa dárdák rengnek kezekben.
Nah.2.4 | Az utczákon bolondoskodnak, a szekerekben ülök egymásba ütköznek az utczákon, az ő tekintetek mint a fénylő lámpások, futkosnak mint a villámlás.
Nah.2.5 | Megemlékezik Ninivé az ő erős vitéziről, de útjokban megcsökkenek, sietnek az ő kőfalára, és készitenek oltalmat.
Nah.2.6 | A folyóvizek felől való kapuk megnyittatnak, és a Király palotája megromol.
Nah.2.7 | És a nagy bátorságban nyugovó Királynéasszony számkivetésre vitetik, és az ő szolgálóleányai kisérik őtet, keseregvén az ő szivekben, mint a nyögő galambok.
