Hab.1.1 | Ez a terhes Prófétzia, mellyet látott Habakuk Próféta.
Hab.1.2 | Mennyi ideje vagyon, Uram, hogy kiáltok: és nem hallgatsz meg? Untatlak téged az ember között való törvénytelen hatalomért; és nem szabaditasz meg?
Hab.1.3 | Miért hagyod néznem a hamisságot, és miért nézeted velem a nyomorgatást? A ragadozás és a hatalom miért vagyon előttem? és miért vagyon előttem a ki pert és versengést támaszt?
Hab.1.4 | Annakokáért nincsen becsületi az Isten törvényének, és soha az igazság elő nem mehet; mert az Istentelen körülveszi az igazat, azért lészen a hamis itélet.
Hab.1.5 | Tekintsenek a pogányokra és nézzétek meg, és csudálkozással csudálkozzatok: mert olly dolgot cselekeszem a ti időtökben, mellyet ha beszénének nem hinnétek azt.
Hab.1.6 | Mert ímé én feltámasztom a Káldeusokat, a kegyetlen és vakmerő nemzetséget, melly eljárja a ti földeteknek szélességét, hogy elfoglalja a nem ő hajlékait.
Hab.1.7 | Rettenetes és iszonyu nemzetség ez, mellytől származik e népek itéleti és rabságra való vitele.
Hab.1.8 | Mellynek lovai gyorsabbak a párduczoknál, és kegyetlenebbek az estve járó éh farkasoknál: mellynek lovagjai igen sokak, és az ő lovagjai messzünnen jőnek, gyorsan repülnek, mint a dögre siető saskeselyü.
Hab.1.9 | Az az egész sokaság a ragadományért jő: az ő orczájoknak tekinteti, hasonló a napkeleti száraztó szélhez, és számtalan rabot gyüjt mint a fövenyet.
Hab.1.10 | És e nép a Királyokat neveti, és a Fejedelmek néki csufságok, minden erősséget megnevet és töltést csinál az ellen és megveszi azt.
Hab.1.11 | Akkor elváltozik az ő szive, és meghaladván a czélt gonoszul cselekeszik, és ezt az ő erejét az ő bálvány Istenének tulajdonitja.
Hab.1.12 | Avagy nem öröktől fogva való vagy é te? Az Úr én Istenem, én Szentem; nem veszünk el, Uram az itéletre rendelted őtet, és te én erősségem, a mi dorgálásunkra választottad őtet.
Hab.1.13 | Tisztábbak a te szemeid, hogynem mint a gonoszságra nézhetnél, és az embereknek nyomorgatásokat nem nézheted: Miért tekintesz tehát a hitetlenekre? és elhallgatod, mikor az istentelen elnyeli az ő nálánál igazabbat?
Hab.1.14 | Ollyanokká tészed az embereket mint a tenger halait, és a csuszómászó férget, mellynek nincsen vezére.
Hab.1.15 | Mindenestől az ő horgával kivonsza, bégyüjti azokat az ő gyalomjába, és bétakaritja azokat az ő hálójába; annakokáért örül és tapsol annak.
Hab.1.16 | Azokáért áldozik az ő gyalomjának, és jóillatot tészen az ő hálójának; mert ezek által vagyon az ő kövér része, és az ő jóllakása.
Hab.1.17 | Valyon azért kiterjeszti é az ő gyalmát, és szorgalmatos lészen é a népeknek öldöklésekben, hogy semit ne kedvezzen?

Hab.2.1 | Mikor az én állóhelyemben állanék, és állanék az erősségben, és szorgalmatosan vigyáznék annak meglátására mit szólna nékem az Úr, és mit kellene felelnem az én dorgálásom után:
Hab.2.2 | Felele nékem az Úr mondván: Ird meg e látást tettetes betükkel e táblákra, hogy az olvasó szabadon olvashassa azt:
Hab.2.3 | Mert a látás még bionyos időre halasztatott, és végezetre szól, és meg nem csal: ha késéndik, várjad azt: mert kétség nélkül meglészen, és nem késik.
Hab.2.4 | Ímé a kinek lelke nem igaz ő benne, felfuvalkodik; az igaz ember pedig az ő hitivel él.
Hab.2.5 | Annakokáért mivelhogy porba merülvén vétkezik a kevély ember, a ki nem nyughatik egy helyben; és eltátja az ő torkát mint a koporsó, és hasonló a halálhoz, melly nem elégeszik meg, és minden nemzetségeket magához gyüjt.
Hab.2.6 | Avagy nem költik é őtet mindnyájan e népek példabeszédbe, és nem szólnak é ő róla mese fejtéssel? ezt mondván: Jaj annak, a ki gazdagitja magát a máséból; valyon meddig tart az? és annak is jaj, a ki sűrü sárt gyüjt maga fejére!
Hab.2.7 | Avagy nem támadnak é hirtelen, kik tégedet mardossanak, és felébredjenek a kik tégedet megháboritsanak, hogy ők tégedet eltapodjanak.
Hab.2.8 | Mivelhogy te megfosztottál sok nemzetséget: megfosztnak tégedet a népnek maradékai, az embereknek ártatlan vérekért, és a föld népén, a városon és annak minden lakóin tett hatalmasságodért.
Hab.2.9 | Jaj annak, a ki gonoszul a másét kivánja az ő házának öregbitéséért, hogy magas fészket rakhasson magának, hogy megszabadulhasson a veszedelemtől.
Hab.2.10 | A te házadnak gyalázatjára tartottál tanácsot, mikor sok népeket vesztettél volt, és vétkeztél a mgad lelke ellen.
Hab.2.11 | Mert a kövek a kőfalakból te ellened kiáltnak, és a fa épitésekből a gerendák ellened bizonyságot tésznek.
Hab.2.12 | Jaj annak, a ki várost épit vérrel, és a ki várost készit álnoksággal!
Hab.2.13 | Avagy imé a Seregeknek Urától nem jő é bosszuállás? Annakokáért a népek tüzre épitenek; és hijába munkálkodnak a nemzetségek.
Hab.2.14 | Mert az Úr dicsőségének esméretivel bételik a föld, miképen a vizek a tengernek mélységét béboritják.
Hab.2.15 | Jaj annak, a ki megitatja az ő felebarátját, és a ki reá erősödöl, hogy megrészegitsed őtet, hogy az ő szemérmeket láthassad:
Hab.2.16 | Gyalázattal megrakodol a dicsőgé helyébe: iszol te is, és megmezitelenittetel; mert te reád fordul az Úr joggkezének pohara, és gyalázatos okádás esik a te dicsőségedre.
Hab.2.17 | Mert a Libánuson tett hatalmad, és annak vadainak elprédáltatások, melly azokat elrettentette, az veszt el tégedet, az embernek véreknek kiontatásáért, és a földön, a városon és annak minden lakóin tett hatalmadért.
Hab.2.18 | Mit használ néked a faragott kép, hogy annak faragója kifaragta azt, vagy az öntött kép, melly hazugságra tanit: mivelhogy bizik annak faragója az ő csinálmányában, hogy néma bálványokat csináljon?
Hab.2.19 | Jaj, a ki a fának ezt mondja: Serkenj fel; és a néma kőnek: Ébredj fel! Avagy tanithat é az? Ímé béborittatott arannyal és ezüsttel, de semmi lélek nincs benne.
Hab.2.20 | Az Úr pedig az ő szentséges templomában vagyon! Rettegje azért őtet mind az egész föld népe!

Hab.3.1 | Habakuk Próféta könyörgése, a tudatlanságnak bünéért.
Hab.3.2 | Uram, hallám a te fenyegető beszédedet, és megrettenék: Uram a te munkádat az ő esztendejének közepette, mondom, jelentsd meg irgalmasságodat, haragodban irgalmasságodról emlékezzél meg!
Hab.3.3 | Az Isten a Témán hegyéről kimutatá magát, és a szent Isten a Parán hegyéről, Sélah. Béfogá az egeket az ő dicsősége, és az ő dicséretével rakva a föld.
Hab.3.4 | És az ő fényessége ollyan volt, mint a napnak világossága, és ő mellette az ő szarvai; és abban rejtetett el az ő erőssége.
