Mal.1.1 | Az Úr beszédének terhes Prófétziája az Izráel ellen, Malakiás által.
Mal.1.2 | Szerettelek titeket, ezt mondja az Úr; és azt kérditek: Miben mutattad hozzánk való szerelmedet? Avagy nem attyafia vala- é Ézsaú Jákóbnak? ezt mondja az Úr: Jákóbot pedig szerettem;
Mal.1.3 | De Ézsaút gyűlöltem, és az ő lakó hegyeit pusztává tettem; és az ő örökségét sárkányok barlangjokká.
Mal.1.4 | Ha ezt mondándja Edom: Elfogyatkoztunk; de térjónk meg és épitsük meg a mi pusztáinkat: ezt mondja a Seregeknek Ura: Ők épitnek, de én elrontom: és ezt mondják nékik: Istentelenségnek határa a ti határotok, és olly nép ez, mellyre az Úrnak örökké való haragja vagyon.
Mal.1.5 | Mellyet a ti szemeitek meglátnak, és magatok ezt kezditek mondani: Felmagasztaltatott az Úr az Izráel határában!
Mal.1.6 | A fiú tiszteli az ő attyát, és a szolga az ő Urát. Ha én Atya vagyok, hol az én tisztességem? és ha én Úr vagyok, hol az én félelmem? ezt mondja a Seregeknek Ura néktek, óh Papok, kik megutáljátok az én nevemet, és ezt mondjátok: Miben utáljuk meg a te nevedet?
Mal.1.7 | Kik az én oltáromra fertelmes kenyeret hoztok fel, mégis ezt mondjátok: Miben fertéztetünk meg tégedet? Ebben, mikor azt gondoljátok, hogy az Úrnak asztala utálatos!
Mal.1.8 | Ha vak oktalan állatot visztek az áldozatra, nem gonosz-é az? és ha sántát vagy bénát visztek, nem gonosz-é? Vigyed azt a te Fejedelmednek, lássad, ha jó néven veszi-é tőled, vagy ha jó szemmel lát-é tégedet? ezt mondja a Seregeknek Ura!
Mal.1.9 | Most annakokáért engeszteljétek az erős Istennek orczáját, hogy könyörüljön rajtunk; mivelhogy ti ezt miveltétek, valyon tekint-é valamellyitekre? ezt mondja a Seregeknek Ura.
Mal.1.10 | Kicsoda az is ti közzűletek, a ki ingyen bézárlaná a templom ajtaját? Avagy az én oltáromon ingyen áldoztok é? Nem kedvellek titeket, ezt mondja a Seregeknek Ura, és az áldozatot a ti kezetekből nem kedvellem;
Mal.1.11 | Mert napkelttől fogva napnyugotig nagy az én nevem a Pogányok között, és minden helyen jóillatú füsttel és tiszta eledeli-áldozattal áldoznak nékem: mert nagy az én nevem a pogányok között, ezt mondja a Seregeknek Ura.
Mal.1.12 | Ti pedig megfertéztetitek, azt, mikor ezt mondjátok: Az Úrnak asztala megfertéztetett, és annak jövedelme utálatos eledel.
Mal.1.13 | És ezt mondjátok: Ímé mint fáraánk, és sóhajtattok az áldozat mellett, ezt mondja a Seregeknek Ura: annakfelette vadaktól megszaggatottat, sántát, és betegest hoztok nékem, áldoztok eledeli-áldozattal is; avagy kedves-é ez a ti kezetekből? azt mondja az Úr.
Mal.1.14 | Átkozott pedig az álnok ember, a ki mikor az ő juhai között him bárány vagyon, és fogadást tészen, áldozik hitvánnyal az Úrnak; mert nagy Király vagyok én, ezt mondja a Seregeknek Ura, és rettenetes az én nevem a pogányok között.

Mal.2.1 | Most azért ti reátok néz, óh Papok, e parancsolat!
Mal.2.2 | Ha nem engedéndetek, és ha szivetek szerint nem adtok dicsőséget az én nevemnek, ezt mondja a Seregeknek Ura: átkot bocsátok ti reátok, és a ti áldástokat megátkozom, sőt meg is átkoztam azokat; mivelhogy szivetek szerint nem figyelmeztek én hozzám.
Mal.2.3 | Ímé én megvesztem a ti vetni való magotokat, és ganéjjal békenem a ti orczáitokat, a ti áldozatotoknak ganéjjával; és mindenestől fogva békeverttek lésztek.
Mal.2.4 | Mert tudjátok, hogy én adtam néktek e parancsolatot, hogy nékem kötésem legyen a Lévi nemzetségével, ezt mondja a Seregeknek Ura.
Mal.2.5 | És hogy nékem kötésem volt azzal, életnek és békességnek kötése, és adtam néki az én félelmem felől való törvényt, és félt engemet, és az én nevem előtt megalázta magát.
Mal.2.6 | Az igazság törvénye volt az ő szájában, és álnokság nem találtatott ajakaiban; békességben és egyenességben járt én velem, és sokakat megtéritett az álnokságból.
Mal.2.7 | bizonyára a Papnak ajakai őrizik a tudományt és ő tőle kérdneke törvényt: mert a Seregeknek Urának követe ő:
Mal.2.8 | De ti elhajlottatok az útról, sokakat megbotránkoztattatok a törvényben, felbontottátok a Lévivel való kötésemet, ezt mondja a Seregeknek Ura.
