Matt.1.1 | JÉZUS KRISZTUSNAK, Dávid fijának és Ábrahám fijának nemzetségéről való Könyv.
Matt.1.2 | Ábrahám nemzé Izsákot: Izsák nemzé Jákóbot: Jákób nemzé Júdát, és annak attyafiait;
Matt.1.3 | Júda nemzé Fárest és Zárát, Támártól: Fáres nemzé Esromot: Esrom nemzé Arámot.
Matt.1.4 | Arám nemzé Aminádábot: Aminádáb nemzé Naássont:
Matt.1.5 | Naásson nemzé Sálmont: Sálmon nemzé Boózt; Ráhábtól: Boóz nemzé Obedet Ruthtól: Obed nemzé Jessét:
Matt.1.6 | Jessé nemzé Dávid királyt Dávid király nemzé Salamont, attól a ki vala előszöt Uriás felesége.
Matt.1.7 | Salamon nemzé Roboámot: Roboám nemzé Abiát: Abia nemzé Asát:
Matt.1.8 | Asa nemzé Jósafátot; Jósafát nemzé Jorámot; Jorám nemzé Hóziást:
Matt.1.9 | Hóziás nemzé Joathámot: Joathám nemzé Akházt: Akház nemzé Ezékiást.
Matt.1.10 | Ezékiás nemzé Manassest: Manasses nemzé Amont: Amon nemzé Jósiást!
Matt.1.11 | Jósiás nemzé Jákimot: Jákim nemzé Jékoniást, és annak attyafiait a Babilóniai fogságra való vitelkor.
Matt.1.12 | A Babilóniai fogságra való vitel után pedig, Jákoniás nemzé Saláthielt: Saláthiel nemzé Zorobábelt:
Matt.1.13 | Zorobábel nemzé Abiúdot; Abiúd nemzé Eliákimot: Eliákim nemzé Azort:
Matt.1.14 | Azor nemzé Sádokot: Sádok nemzé Akimot: Akim nemzé Eliudot:
Matt.1.15 | Eliud nemzé Eleázárt: Eleázár nemzé Mattánt: Matán nemzé Jákóbot:
Matt.1.16 | Jákób nemzé Józsefet, Máriának férjét, kitől születék a Jézus, ki Krisztusnak mondatik.
Matt.1.17 | Annakokáért az egész nemzetség, Ábrahámtól fogva Dávidig, tizennégy nemzetség: és Dávidtól fogva a Babilóniai fogságra való vitelkorig, tizennégy nemzetség, és a Babilóniai fogságra való viteltől fogva a Krisztusig, tizennégy nemzetség.
Matt.1.18 | A Jészus Krisztusnak születése pedig igy volt: Mikor az ő annya Mária eljegyeztetett volna józsefnek, minekelőtte őtet haza vinné, találtaték viselősnek a szent Lélektől.
Matt.1.19 | József pedig az ő férje, mivelhogy igaz ember vala, és nem akará őtet gyalázatba keverni, akará őtet titkon elhagyni
Matt.1.20 | Mikor pedig ezeket magában elgondolta volna; imé az Úrnak Angyala álomban megjelenék néki és monda: József Dávidnak fija, ne félj elvenned Máriát feleségül: mert a mi ő benne fogantatott, a szent Lélektől vagyon.
Matt.1.21 | Szül pedig fiat, és nevezed annak nevét Jézusnak: mert ő szabaditja meg az ő népét, annak büneiből.
Matt.1.22 | Mind ez pedig azért lett, hogy megteljesednék, a mit az Úr mondott volt a Próféta által, ki igy szól.
Matt.1.23 | Imé egy szűz fogad az őp méhében és szül fiat, és nevezed annak nevét Emmánuelnek, mellynek magyarázatja ezt teszi: Mi velünk az Isten!
Matt.1.24 | Felsereknvén pedig József az álomból, ugy cselekedék a mint néki az Úrnak Angyala parancsolta vala, és elvevé Máriát feleségül.
Matt.1.25 | És nem esméré őtet, mig szülé amaz ő elsőszülött fiját: és nevezé annak nevét Jézusnak.

Matt.2.1 | Mikor pedig azületett volna Jézus Bethlehemben Júda nemzetségének városában, Hérodes király idejében, imé napkelet felől jövének jéerube a Bölcsek.
Matt.2.2 | És mondának: Hol vagyon a Zsidóknak Királya, a ki született? Mert láttuk az ő csillagát napkeleten, és jöttünk, hogy néki tisztességet tegyünk.
Matt.2.3 | Ezeket pedig mikor hallotta volna Hérodes király, igen megháborodék, és ő vele egybe az egész Jérusálem.
Matt.2.4 | És egybegyüjtvén minden Papifejedelmeket, és a község között való Írástudókat, tudakozódik valal tölök, hol kellene a Krisztusnak születni?
Matt.2.5 | Azok pedig mondának néki: Júdának városában Bethlehemben: mert igy vagyon megirva a Prófétánál:
Matt.2.6 | Te is Bethlehem Júda földének városa, semmiképen nem vagy legkisebb Júda Fejedelemséginek városai között: mert te belőled támad a Fejedelem, ki az én népemnek, az Izráelnek legeltetője lészen.
Matt.2.7 | Akkor Hérodes titkon hivatván a Bölcseket, szorgalmatosan megtudakozá tőlök, micsoda időben jelent volna meg nékik a csillag?
Matt.2.8 | És mikor elbocsátaná őket Bethlehembe, monda nékik:Elmenvén oda, szorgalmatosan értekezzetek a gyermek felől: és minekutánna megtaláljátok, adjátok tudtomra, hogy én is elmenjek és tisztességet tégyek néki.
Matt.2.9 | Azok pedig a Király beszédit meghallgatván, elmenének; és imé a csillag, mellyet láttal vala napkeleten, előttök megyen vala, miglen jutna és megállana a hely felett, a hol a gyermek vala.
Matt.2.10 | És mikor látták volna a csillagot, igen nagy örömmel örvendezésenk:
Matt.2.11 | És bémenvén a házba, megtalálák a gyermeket Máriával az ő annyával, és leborulván tisztességet tőnek néki; és az ő kicseiket előhozván, adának néki ajándékokat, aranyat, temjént és mirhát.
Matt.2.12 | És az Istentől megintetvén álom által, hogy Héródeshez vissza ne mennének, más úton térének az ő hazájokba.
Matt.2.13 | Minekutánna pedig ők megtértek volna, imé az Úrnak Angyala megjelenék Józsefnek álomban, és monda: Kelj fel, vegyed a gyermeket az ő annyával egybe, és szaladj Égyiptomba, és légy ott a mig mondom néked: mert Héródes majd halálra fogja keresni a gyermeket.
Matt.2.14 | József pedig felkelvnén, vevé a gyermeket az ő annyával egybe éjszakán, és szaladna Égyiptomba.
Matt.2.15 | És lakék ott mind a Héródes haláláig; hogy megteljesednék a mit az Úr mondott a Próféta által, ki igy szólott: Égyiptomból hivtam ki az én fiamat.
Matt.2.16 | Akkor Héródes, mikor eszébe vette volna, hogy megcsufoltatotott a Bölcsektől; igen megbúsula, és elküldvén szolgáit, levágata minden gyermekeket, kik valának Bethlehemben, és annak minden határiban, két esztendősöket és azoknál kissebbeket, az idő szerint, mellyet kérdett vala a Bölcsektől.
Matt.2.17 | Akkor teljesedék meg, a mit au Úr mondott volt Jerémiás Próféta által, ki igy szólott volt:
Matt.2.18 | A kiáltás Rámában is meghallatott, tudniillik keserü sok sivás, rivás; Rákhel siratván fijait, nem akart vigazstalást bévenni, mivelhogy az ő fijai nem volnának.
Matt.2.19 | Mikor pedig megholt volna Héródes, imé az Úrnak Angyala megjelenék álomban Józsefnek Égyiptomban.
Matt.2.20 | És monda: Kelj fel, vegyed a gyermeket az ő annyával egybe, és eredj el Izráel országába: mert megholtak, a kik a gyermeknek életét keresik vala.
Matt.2.21 | József azért felkelvén, vevé a gyermeket annak annyával egybe, és méne Izráel országába.
Matt.2.22 | Mikor pedig hallotta volna, hogy Júdeában Arkélaus uralkodnék Héródesnek az ő attyának helyébe, nem mere oda menni; hanem az Istentől megintetvén álom által, Galilea részei felé tarta.
Matt.2.23 | És mikor oda ment volna, lakozék Názáretnek városában, hogy bételjesednék a mit a Próféták mondottak: Názárénusnak hivattatik.

Matt.3.1 | akkor az időben eljöve Keresztelő János, ki prédikál vala Júdeának pusztájában.
Matt.3.2 | És ezt mondja vala: Térjetek meg; mert elközelit a mennyeknek országa.
Matt.3.3 | Mert ez amaz, kiről szólott Ésaiás Próféta, ezt mondván: Kiáltó szó vagyon a pusztában, készitsétek meg az Úrnak útát, és egengessétek meg az ő ösvényeit.
Matt.3.4 | Jánosnak pedig ruhája vala teveszőrből, és az ő derekának öve bőrből csinált: elesége pedig vala sáska és erdei méz.
Matt.3.5 | Akkor kimennek vala ő hozzá a Jérusálembeliek, az egész Júdea és a Jordán mellett való egész tartomány.
Matt.3.6 | És megkeresztelkednek vala ő tőle a Jordán vizében, minekutánna az ő büneikről vallást tennének.
Matt.3.7 | Mikor pedig látta volna János, hogy a Farzieusok és Sadduczeusok közzűl sokna jőnének ő hozzá, hogy megkereszteltetnének, monda nékik: Mérges kigyóknak nemzetségei, kicsoda intett meg titeket, hogy az Istennek következendő haragját eltávoztatnátok?
Matt.3.8 | Teremjetek azért megtéréshez illendő gyümölcsöket.
Matt.3.9 | És ingyen meg se gondoljátok, hogy ezt kelljen mondanotok: Ábrahám nékünk atyánk: mert mondom néktek hogy az Isten e kövekből is támaszthat fiakat Ábrahámnak.
Matt.3.10 | Immár pedig a fejsze a fáknak gyökerekre vettetett. Minden fa azért, valamely jó gyümölcsöt nem terem, kivágattatik, és a tüzre vettetik.
Matt.3.11 | Bizony az, hogy én keresztellek titeket vizzel a megtérésre: de amaz a ki én utánnam jő, nálamnál erősebb, kinek nem vagyok méltó, hogy csak zsólyáját viseljem; az titekeet keresztel Szent Lélekkel és tüzzel.
Matt.3.12 | Kinek az ő szórólapátja kezében vagyon és megtisztitja az ő szérüjét, és az ő gabonáját csűrébe bétakarja; a polyvát pedig megégeti olthatatlan tüzzel.
Matt.3.13 | Akkor előjöve Jézus Galileából, a Jordán mellé Jánoshoz, hogy megkereszteltetnék ő tőle.
Matt.3.14 | János pedig erősen tiltja vala őtet, mondván: Nékem kell tőled megkereszteltetnem, te pedig hozzám jösz é?
Matt.3.15 | Felelvén pedig Jézus, monda néki: Hagyj békét most nékem: mert igy illik néküónk a mi tisztünknek minden igazságát bétöltenünk: És békét hagya János néki.
Matt.3.16 | Mikor azért megkereszteltetett volna Jézus, azonnal kijöve a vizből, és imé megnyilatkozának az egek néki; és látá az Istennek lelkét eljőni mintegy galambot, és ő reá szállani.
Matt.3.17 | És imé az égből szózat adaték, melly ezt mondja vala: Ez amaz én szerelmes fiam, kiben én megengeszteltettem.

Matt.4.1 | Akkor Jézus viteték a Lélektől a pusztába, hogy megkisértetnék az ördögtől.
Matt.4.2 | És mikor böjtölt volna negyven nap és negyven éjjel, azután megéhezék.
Matt.4.3 | És mikor hozzá ment volna a kisértő, monda néki: Ha Istennek fija vagy, parancsolj, hogy e kövek változzanak kenyerekké.
Matt.4.4 | Jézus pedig felele, és monda: Meg vagyon irva; Nem csak kenyérrel él az ember, hanem Istennek minden igéjével, melly az ő szájából származik.
Matt.4.5 | Akkor vivé Jézust az ördög a szent városba, és helyhezteté őtet a templom tetejére.
Matt.4.6 | És monda néki: Ha Istennek fija vagy, bocsátkozzál alá innét; mert meg vagyon irva: Az ő Angyalinak parancsol te felőled, és ők kezekben hordoznak téged, hogy valamikor meg ne üssed lábadat a kőbe.
Matt.4.7 | Monda néki Jézus: Ismét meg vagyon irva: Ne kisértsed a te Uradat Istenedet.
Matt.4.8 | Ismét vivé őtet az ördög egy nagy magas hegyre, és megmutatá néki e világnak minden országait, és azoknak dicsőségeket.
Matt.4.9 | És monda néki: Mind ezekeet néked adom, ha leborulva tiszteléndesz engemet.
Matt.4.10 | És monda néki Jézus: Eredj el Sátán: mert meg vagyon irva: A te Uradat Istenedet imádjad és csak őtet szolgáljad.
Matt.4.11 | Akkor elhagyá őtet az ördög, és imé az Istennek Angyalai előjárulának, és szolgálnak vala néki.
Matt.4.12 | Mikor pedig meghallotta volna Jézus, hogy Keresztelő János a tömlöczbe vettetett volna, megtére Galileába.
Matt.4.13 | És Názáre városát elhagyván, méne és lakozék a tenger mellett való Kapernaumban, Zabulonnak és Neftalimnak határiban;
Matt.4.14 | Hogy bételjesednék, a mit Ésaiás Próféta mondott, ki igy szólott volt:
Matt.4.15 | Zabulonnak földe és Neftalimnak földe, a Jordánon túl a Tibériás tengere úta felé, melly Pogányok Galileája.
Matt.4.16 | Azaz: A setétségben helyheztetett nép, láta nagy világosságot; és a halálnlak árnyékában és tartományában helyheztetteknek világosság támada.
Matt.4.17 | Az időtől fogva kedze Jézus prédikálni, és ezt mondani: Térjetek meg: mert elközelitett a mennyeknek országa.
Matt.4.18 | Mikor pedig járna Jézus a Galilea tengere mellett, látta két atyafiakat, Simont, ki mondatik Péternek, és Andrást annak attyafiát, kik a hálót akkor vetik vala a tengerbe, (mert halászok valának.)
Matt.4.19 | És monda nékik: Kövessetek engemet, és azt mivelem hogy embereket halásszatok.
Matt.4.20 | Azok pedig azonnal elhagyván a hálókat, követék Jézust.
Matt.4.21 | És onnét elébb menvén, láta más két atyafiakat, Jakabot és Zebedeus fiját, és Jánost annak attyafiát a hajóban az ő attyokkal Zebedeussal, kik az ő hálóikat kötözgetik vala: és hivá őket.
Matt.4.22 | Amazok pedig azonnal elhagyván hajójokat és attyokat, követék Jézust.
Matt.4.23 | És elkerülé az egész Galileát Jézus, tanitván azoknak zsinagógájokban, és prédikálván az Isten országának Evangyéliomát, és gyógyitván minden betegséget, és minden erőtlenséget a község között.
Matt.4.24 | Akkor elterjede az ő hire egész Siriában, és hoznak vala ő hozzá minden nyomorultakat, különb-különb betegségben és gyötrelemben valókat, ördöngösöket, kórságosokat, és gutaütötteket; és meggyógyitja vala őket.
Matt.4.25 | És követé őtet nagy sokaság Galileából, a tiz városból, Jérusálemből, Júdeából és a Jordánon túl való tartományokból.

Matt.5.1 | Mikor pedig látta volna Jézus a sokaságot, felméne egy hegyre, és mikor leült volna, hozzá menének az ő tanitványai.
Matt.5.2 | És száját megnyitván, tanitja vala őket, mondván:
Matt.5.3 | Boldogok a lelki szegények: mert övék a mennyeknek országa.
Matt.5.4 | Boldogok a kik sirnak, mert ők megvigasztaltatnak.
Matt.5.5 | Boldogok az alázatosok; mert ők örökség szerint birják e földet.
Matt.5.6 | Boldogok a kik éhezik és szomjúhozzák az igazságot; mert ők megelégittetnek.
Matt.5.7 | Boldogok az irgalmasok; mert ők irgalmasságot nyernek.
Matt.5.8 | Boldogok a kiknek szivek tiszta: mert ők az Istent meglátják.
Matt.5.9 | Boldogok a békességre igyékezők: mert azok Isten fijainak mondatnak.
Matt.5.10 | Boldogok a kik háboruságot szenvednek az igazságért: mert azoké a mennyeknek országa.
Matt.5.11 | Boldogok lésztek, mikor titeket szidalmaznak, háborgatnak, és minden gonosz hazugságot mondanak ellenetek, én érettem.
Matt.5.12 | Örüljetek és örvendezzetek: mert a ti jutalmatok bőséges mennyekben: Mert e képen háborgatták a Prófétákat is, kik ti előttetek voltak.
Matt.5.13 | Ti vagytok e földnek savai, hogyha a só megizetlenül, mivel sózattatik meg? nem jó azután semmire, hanem hogy kivettessék és megtapodtassék mindenektől.
Matt.5.14 | Ti vagytok e világnak, világosságai: Nem rejtethetik el a hegyen épitett város.
Matt.5.15 | A gyertyát is nem azért gyujtják meg, hogy elrejtsék véka alá, hanem hogy a gyertyatartóra tegyék, és fényljék mindeneknek, kik a házban vagynak.
