Mark.1.1 | Jézus Krisztusnak, az Isten Fijának Evangyéliomának kezdete.
Mark.1.2 | Mint meg vagyon irva a Prófétáknál: Imé én elbocsátom az én követemet a te orczád előtt, ki megkésziti a te útadat te előtted.
Mark.1.3 | Kiáltó szó a pusztában: készitsétek meg az Úrnak útát, egyengessétek meg az ő ösvényit.
Mark.1.4 | Keresztel vala János a pusztában ás préádikálja vala a megtérésnek Keresztségét, a bűnöknek bocsánatjokra.
Mark.1.5 | És kimegyen vala ő hozzá az egész Júdeának tartománya és a Jérusálembeliek, és mindnyájan megkeresztelkednek vala ő tőle a Jordán vizében, az ő büneikről vallást tévén.
Mark.1.6 | Jánosnak pedig öltözete vala teveszörből és az ő derekának övedzője bőrből csináltatott; és eszik vala sáskákat és erdei mézet.
Mark.1.7 | És prédikál vala, ezt mondván: Én utánnam jő, a ki nálamnál erősb, kinek nem vagyok méltó, hogy lehajolván megoldjam sarujának kötelét.
Mark.1.8 | És jóllehet kereszteltelek titeket vizzel, de ő keresztel titeket Szent Lélekkel.
Mark.1.9 | És lőn az napokban, eljöve Jézus Názáéretből, Galileának városából, és megkeresztelkedék a Jordánban Jánostól-
Mark.1.10 | És azonnal feljövén a vizből látá az egeket megnyilatkozni, és a Szent Lélket mintegy galambot ő reá leszállani.
Mark.1.11 | És szóza lőn az égből: Te vagy amaz én szerelmes Fiam, kiben én megengeszteltettem.
Mark.1.12 | És azonnal a Lélek elragadá őtet a pusztába.
Mark.1.13 | És ott volt a pusztában negyven napig, és a Sátán kisérti vala őtet; és vala a vadakkal; és az Angyalok szolgálnak vala néki.
Mark.1.14 | Minekutánna pedig János a tömlöczbe vettetett volna, elméne Jézus Galileába, prédikálván az Isten országának Evangyéliomát
Mark.1.15 | És ezt mondja vala: Bétölt az idő, és elközelitett az Isten országa: térjetek meg és hidjetek az Evangyéliomnak.
Mark.1.16 | És mikor járna Galileának tengere mellett, látá Simont és Andrást annak attyafiát, hogy a tengerbe vetnék az ő hálojokat, (mert halászok valának.)
Mark.1.17 | És monda nékik Jézus: Kövessetek engemet, és azt mivelem, hogy embereket halásszatok.
Mark.1.18 | És ők mindjárt elhagyvána az ő hálóikat, követék őtet.
Mark.1.19 | Akkor előbb menvén onnét éegy kevéssé, látá Jakabot a Zebedius fiját, és Jánost annak attyafiát, kik is a hajóban az ő hálóikat kötözgetik vala.
Mark.1.20 | És azonnal hívá őket; és ők elhagyván a hajóban az ő attyokat Zebediust, a bérs szolgákkal követék őtet.
Mark.1.21 | És bémenének Kapernaumba; és azonnal bémenvén Jézus Szombat napon a zsinagógába, tanit vala.
Mark.1.22 | És megindulnak vala az ő tudomáynán: mert tanitja vala őket úgy, mint kinek méltósága volna, és nem úgy, mint az Irástudók.
Mark.1.23 | Vala pedig azoknak zsinagógájokban egy ember, kiben tisztátalan lélek vala, ki felkiálta.
Mark.1.24 | És monda: Ah mi dolgunk vagyon nékünk te veled Názáretbeli Jézus? azért jöttél é hogy elveszess minket? tudlak téged kicsoda légy, tudniillik az Istennek ama Szente.
Mark.1.25 | És megdorgálá őtet Jézus, mondván: Némulj meg, és menj ki ez emberből!
Mark.1.26 | Akkor, mikor a tisztátalan lélek igen megrángatta volna azt, és felszóval kiáltott volna, kiméne belőle.
Mark.1.27 | És elálmélkodának mindnyájan, annyira, hogy ő köztök egymástól kérdenék, ezt mondván: Micsoda ez? és micsoda új tudomány ez, hogy illyen nagy hatalommal parancsol a tisztátalan lelkeknek is, és engednek néki?
Mark.1.28 | Elméne azért azonnal az ő hire mind egész Galileának vidékire.
Mark.1.29 | És mindjárt kimenvén a zsinagógából, menének Simonnak és Andrásnak házokhoz Jakabbalés Jánossal egybe.
Mark.1.30 | A Simonnak pedig napa fekszik vala hideglelésben, és mindjárt szólának néki a felől.
Mark.1.31 | Akkor ő járulván és annak kezét fogván, felemelé azt; és a hideglelés elhagyá azt azonnal, és szolgála nékik.
