John.1.1 | Kezdetben vala amaz Íge, és az az Íge vala Istennél, és az az Íge Isten vala.
John.1.2 | Ez az Íge kezdetben az Istennél vala.
John.1.3 | Mindenek ez által teremtettek, és ő nála nélkűl semmi nem teremtetett, valami teremtetett.
John.1.4 | Ő benne vala az élet, és az élet vala az embereknek ama Világosságok.
John.1.5 | És ez a Világosság a setétségben fénylik, de a setétség azt meg nem esmérte.
John.1.6 | Vala egy ember Istentől bocsáttatott, kinek neve János vala.
John.1.7 | Ez jött tanúbizonyságot tenni, azaz hogy ama Világosságról bizonyságot tenne, hogy ő általa mindenek hinnének.
John.1.8 | Nem vala ez ama Világosság; hanem küldetett volt, hogy bizonyságot tenne arról a Világosságról.
John.1.9 | Ez vala amaz igaz Világosság, melly megvilágosít minden e világra született embert.
John.1.10 | E világon vala, és e világ ő általa teremtetett, de e világ őtet meg nem esméré.
John.1.11 | Az övéi közzé jöve, és az övéi őtet be nem vevék.
John.1.12 | Valakik pedig őtet bévevék, ada azoknak illy méltóságot, hogy Istennek fijaivá lennének, tudniillik azoknak, kik az ő nevében hisznek.
John.1.13 | Kik nem a vértől, sem a testnek akaratjától, sem a férjfiúnak indulatjától, hanem Istentől születtettek.
John.1.14 | És amaz Íge testté lett, és lakozott mi közöttünk, (és láttuk az ő dicsőségét, úgymint az Atyának egyetlenegy szülöttének dicsőségét), ki teljes vala kegyelemmel és igazsággal.
John.1.15 | János bizonyságot tett ő róla, és kiáltott mondván: Ez a kiről én szólok vala; a ki én utánnam jött, én nálamnál feljebb becsültetett: mert én nálamnál méltóságosb vala,
John.1.16 | És az ő teljességéből vettünk mindnyájan kegyelmet is kegyelemért.
John.1.17 | Mert a törvény Mózes által adatott: de a kegyelem és a valóság a Jézus Krisztus által lett.
John.1.18 | Az Istent soka senkinem látta, hanem amaz egyetlenegy született Fiú, ki az Atyának kebelében vagyon, az beszélte meg nékünk.
John.1.19 | Ez is a János bizonyságtétele, mikor a Zsidók Jérusálemből küldének ő hozzá Papokat és Lévitákat, hogy megkérdenék őtet: Te kicsoda vagy?
John.1.20 | És megvallá, s nem tagadá meg; megvallá, hogy ő nem volna ama Krisztus.
John.1.21 | Akkor megkérdék őtet: Micsoda vagy tehát? Illyés vagy-é te? És mond: Nem vagyok. Próféta vagy-é te? És felele: Nem vagyok.
John.1.22 | Mondának azért néki: Kicsoda vagy tehát, hogy meg tudjunk azoknak felelni, a kik minket elküldöttek; mit mondasz magad felől?
John.1.23 | És monda: Én kiáltó szó vagyok a pusztában: Egyengessétek meg az Úrnak útát, mint megmondotta Ésaiás Próféta.
John.1.24 | A követeket pedig valának a Farizeusok közzűl valók.
John.1.25 | És megkérdék őtet, és mondának néki: Miért keresztelsz tehát, ha te nem vagy ama Krisztus, sem Illyés, sem Próféta?
John.1.26 | És felele nékik János, mondván: Én keresztelek vizzel, de ti köztetetk vagyon, a kit ti nem tudtok.
John.1.27 | Ez az, a ki én utánnam jő, ki az én nálamnál feljebb becsültetett, kinek sarujának kötőjét, hogy megoldjam, nem vagyok arra méltó.
John.1.28 | Ezek lettek Bethabarában a Jordánon tul, holott János keresztel vala.
John.1.29 | Másodnapon látá János Jézust ő hozzá menni, és monda: Ímé, ez az Istennek ama báránya, ki elveszi e világnak bűneit;
John.1.30 | Ez, a kiről éns ezt mondom vala: Én utánnam jő egy férjfiú, ki én nálamnál feljebb becsültetett: mert nálamnál mélóságosb vala.
John.1.31 | És én nem esmértem őtet, de hogy megjelentessék az Izráelnek, annakokáért jöttem én keresztelni vizzel.
John.1.32 | És bizonyságot tőn akkor János, ezt mondván: Láttam az Istennek Lelkét leszállani az égből mint egy galambot, és megnyugovék ő rajta.
John.1.33 | És én nem esmértem őtet, de a ki elbocsáta engem, hogy keresztelnék vizzel az mondotta vala nékem: A kire látod az Istennek Lelkét leszállani, és rajta megnyugodni, az, a ki keresztel Szent lélekkel.
John.1.34 | Én azért láttam, és bizonyságot tészek róla, hogy ez az Istsennek ama Fija.
John.1.35 | Másodnapon ismét áll vala János és az ő tanitványai közzűl kettő.
John.1.36 | É látván Jézust ott járni, monda: Ímé, ez az Istennek ama báránya!
John.1.37 | És hallván a két tanitványok az ő szavát, követék Jézust.
John.1.38 | Hátra fordulván pedig Jézus, mikor látta volna, hogy őtet követik azok, monda nékik:
John.1.39 | Mit kerestek? Azok pedig mondának néki: Rabbi (melly ezt tészi, ha megmagyarázod,) Mester, hol lakozol?
John.1.40 | És monda nékik: Jertek el, és lássátok meg! Elmenének azért, és megláták holott laknél, és ő nála maradának az napon: mert mintegy tiz óra vala.
John.1.41 | Vala pedig András a Simon Péternek attyafia, egyik a két tanitványok közzűl, kik hallották vala azokat Jánostól, és követték vala őtet.
John.1.42 | Megtalálá ez először az ő attyafiát Simont, és monda néki: Megtaláltuk a Messiást! melly ezt tszi, ha megmagyarázod, Krisztus.
John.1.43 | És vivé őtet Jézushoz. És reá tekintvén Jézus, monda: Te vagy Sijmon, Jónának fija, te hivattatol Kéfásnak, melly ezt teszi, ha megmagyarázod, Kőszikla.
John.1.44 | Azután való napon akara Jézus menni Galileába, és találá Filepet, és monda néki: Kövess engemet.
John.1.45 | Vala pedig Filep Bethsaidából! Andrásnak és Péternek hazájából való.
