Acts.1.1 | Az első könyvemet irtam Theófile, mind azokról a mellyeket Jézus kezdett cselekedni és tanitani,
Acts.1.2 | Mind a napig, mellyen (minekutánna parancsolatokat adott volna az Apostoloknak Szent Lélek által, a kiket választott vala) oda velviteték.
Acts.1.3 | Kiknek ő magát is az ő szenvedése után meegjelentette vala elevenen, sok bizonyos jelek által, negyven napig megjelenvén nékik, és szólván az Istennek országára való dolgokról.
Acts.1.4 | És egybegyüjtvén őket, meghagyá nékik, hogy el ne mennének Jérusálemből, hanem hogy megvárnák az Atyának igéretét: Mellyet úgymond hallottatok én tőlem.
Acts.1.5 | Mert János jóllehet keresztelt vizzel, ti pedig kereszteltettek Szent Lélekkel nem sok napok után.
Acts.1.6 | Mikor azért azok egybegyültek volna, megkérdék őtet, mondván: Uram! avagy nem ez időben épitd-é meg Izráelnek az országot?
Acts.1.7 | Monda pedig nékik: Nem ti dolgotok ez időket tudnotok és az alkalmatosságokat, mellyeket az Atya a maga hatalmában helyheztetett.
Acts.1.8 | Hanem veszitek a Szent Léleknek erejét, minekutánna ejövénd ti reátok: és lésztek nékem tanuim Jérusálemben is, és egész Júdeában, Samariában, és a földnek mind végső határáig.
Acts.1.9 | És mikor ezeket mondotta volna, az ő láttokra felemelteték, és a felhő Jézust béfogván, elszakasztá őtet az ő szemeik elől.
Acts.1.10 | És mikor ő utánna az ő szemeiket az égbe függesztették volna, imé két férjfiak fehér ruhában megállának mellettek;
Acts.1.11 | Kik mondának is: Galileabeli férjfiak, mit állotok nézvén mennybe? E Jézus, a ki oda felviteték ti tőletek mennyországba, a képen jő el, a miképen láttátok őtet felmenni mennyekbe.
Acts.1.12 | Akkor megtérének Jérusálembe a hegyről, melly hivatik olajfák hegyének, melly Jérusálem mellett vagyon, egy Szombatnapi járó földre.
Acts.1.13 | És mikor bémentek volna, felmenének egy felsőházba, a hol szállások vala Péternek, Jakabnak, Jánosnak, Andrásnak, Filepnek, Tamásnak, Bertalannak, Máténak, Jakabnak, az Alféus fijának, Simon Zélotesnek, és Júdásnak a Jakab attyafiának.
Acts.1.14 | Ezek mind egyetemben foglaltosok valának az imádkozásban és könyörgésben, az asszonyokkal egybe, és Máriával, Jézusnak annyával, és az ő attyafiával.
Acts.1.15 | És azokban a napokban felkelvén Péter a tanitványok között, monda, (mert valának ott a helyen szám szerint, ugymint szászhusz emberek).
Acts.1.16 | Atyámfiai férjfiak, szükség volt bételni az Irásnak: mellyet megjövendölt a Szent Lélek a Dávid szája által Júdás felől, ki vezérek volt azoknak, a kik megfogták Jézust.
Acts.1.17 | Ki mi közzénk számláltatik vala, és ennek a szolgálatnak egy részét vette vala.
Acts.1.18 | Ő annakokáért szerze mezőt az ő hamisságának árából; és alászakadván ketté hasadott, és minden béli kiomlott.
Acts.1.19 | És e dolog az egész Jérusálemben lakozóknak lett tudtokra; ugy hogy az a mező neveztessék az ő tulajdon nyelveken Akeldamának, azaz, vér mezejének.
Acts.1.20 | Mert meg vagyon irva a Zsoltárok könyvében: Az ő lakhelye legyen puszta, és ne legyen senki, ki abban laknék. És ismét: Az ő püspökségét más vegye el.
Acts.1.21 | Szükség azért a férjfiak közzűl, (kik velünk egy gyülekezetben voltak, mind addig, mig az Úr Jézus az ő tisztiben járt mi köztünk.
Acts.1.22 | Elkezdvén a János keresztségétől fogva mind a napig, mellyen mi közzűlünk felviteték,) hogy az ő feltámadásának bizonysága legyen, mi velünk egyetembe egy ezek közzűl.
Acts.1.23 | Állatának azért elő kettőt, Józsefet, ki hivattatik vala Barsabásnak, kinek vezeték neve Justus, és Mátyást.
Acts.1.24 | És imádkozván mondának: Te Uram, ki mindeneknek sziveket tudod, jelentsd meg, mellyikét választottad e kettőnek.
