1Cor.1.1 | Pál, hivatala szerint Jézus Krisztusnak Apostola, Istennek akaratjából, és a Sosthénes atyafiú.
1Cor.1.2 | Az Isten Gyülekezetének, melly vagyon Korinthusban, a Jézus Krisztusban megszenteltetteknek, hivatalos Szenteknek, mindenekkel egybe, valakik a mi Urunk Jézus Krisztusnak nevét segitségül hivják minden helyen, azoknak Uroknak mondom, és a mi Urunknak.
1Cor.1.3 | Kegyelem néktek és békesség az Istentől a mi Atyánktól, és az Úr Jézus Krisztustól.
1Cor.1.4 | Hálákat adok az én Istenemnek mindenkor ti felőletek, az Isten ajándékáért, a melly néktek adatott a Jézus Krisztusban.
1Cor.1.5 | Hogy mindenekben meggazdagodtatok ő benne, szólásban való minden bölcsességgel, és minden tudománnyal.
1Cor.1.6 | A mint megerősittetett ti bennetek a Krisztus felől való bizonységtétel.
1Cor.1.7 | Annyira, hogy semmi ajándék nélkül nem szükölködtök, várván a mi Urunk Jézus Krisztusnak megjelenését.
1Cor.1.8 | Melly Isten meg is erősit titeket mind végig az ártatlanságban, a mi Urunk Jézus Krisztusnak napjára..
1Cor.1.9 | Igaz és tökéletes Isten, ki által hivattatok az ő Fijának a mi Urunk Jézus Krisztusnak társaságába.
1Cor.1.10 | Kérlek pedig titeket, Atyámfiai, a mi Urunk Jézus Krisztusnak nevére, hogy mindnyájan ugyanazon egyet szóljátok, és ne legyenek ti köztetek hasonlások, de legyetek egybekötöztettek egy akarat és egy értelem által;
1Cor.1.11 | Mert megmondották nékem ti felőletek Atyámfiai, a Khlóes háznépe közzűl valók, hogy versengések vagynak ti köztetek.
1Cor.1.12 | Ezt mondom pedig, hogy mindeniktek ezt mondja: Én Pálé vagyok: Én pedig Apollósé: Én pedig Kéfásé: Én pedig Krisztusé:
1Cor.1.13 | Valjon részre osztatott-é a Krisztus? Valjon Pál feszittetett-é meg ti érettetek, vagy a Pál nevére keresztelkedtetek-é?
1Cor.1.14 | Hálákat adok az én Istenemnek, hogy én közzűlletek egyet sem kereszteltem, hanem Krispust és Gájust.
1Cor.1.15 | Hogy valaki azt ne mondhatná, hogy én az én nevemre kereszteltem.
1Cor.1.16 | Kereszteltem pedig Stéfanának háznépét is, nem tudom ezenkivül, hogy valakit kereszteltem volna.
1Cor.1.17 | Mert nem küldött azért engemet a Krisztus, hogy kereszteljek, hanem hogy az Evangyéliomot hirdessem; de nem szólásban való bölcsességgel, hogy a Krisztusnak kereszte hijábavaló ne lenne.
1Cor.1.18 | Mert a keresztről való tudomány, jóllehet azoknak, a kik elvesznek bolondság, nékünk pedig, kik megtartatunk, Istennek hatalma.
1Cor.1.19 | Mert meg vagyon irva: Eltörlöm a bölcseknek bölcseségeket, és az értelmeseknek értelmeket elvészem.
1Cor.1.20 | Hol vagyon a bölcs? hol vagyon az Irástudó? hol vagyon e világnak bölcs és mélységes dolgainak tudakozója? Nemde nem bolondsággá tett-é az Isten e világnak bölcseségét?
1Cor.1.21 | Mert minekutánna az Istennek bölcs teremtésében nem esmérte volna meg e világ az Istent, az ő bölcseségéből tetszék az Istennek, hogy a bolond prédikálás által tartsa meg a hivőket.
1Cor.1.22 | Mert a Zsidók is jelt kivánnak, a Görögök pedig bölcseséget keresnek.
1Cor.1.23 | Mi pedig prédikáljunk a meggeszittetett Krisztus, a Zsidóknak botránkozást, a Görögöknek pedig bolondságot.
1Cor.1.24 | De a hivatalaosoknak mind Zsidóknak, mind Görögöknek, a Krisztust, az Isten hatalmát és az Isten bölcseségét.
1Cor.1.25 | Mert az Istennek bolondsága bölcsebb az emberek bölcseségeknél; és az Istennek erőtlensége erősebb az emberek erősségeknél.
1Cor.1.26 | Mert látjátok a ti hivataltokat. Atyámfiai: hogy ti nem sokan vagytok bölcsek test szerint, nem sokan hatalmasok, nem sokan nemesek.
1Cor.1.27 | Hanem a kik bolondosnak állittatnak e világon, azokat választotta Isten, hogy a bölcseket megszégyenitse: és a kik e világon erőtleneknek állittatnak, azokat választotta Isten, hogy az erőseket megszégyenitse.
1Cor.1.28 | És a kik nemtelenek e világon, és semminek állitatnak, azokat választotta Isten, és azokat, a mellyek nincsenek, hogy a mellyek vagynak azokat eltörölje.
1Cor.1.29 | Hogy ne dicsekedjék ő előtte egy test is.
1Cor.1.30 | De az Istentől vagytok ti a Jézus Krisztusban, ki lett nékünk Istentől bölcseség, igazság, szentség és váltság.
1Cor.1.31 | Hogy a mint meg vagyon irva: A ki dicsekedik, az Úrban dicsekedjék.

1Cor.2.1 | Én azért, mikor ti hozzátok mennék, Atyámfiai, nem mentem hogy az Isten bizonyságtételét nagy ékesen szólással és bölcseséggel hirdessem néktel.
1Cor.2.2 | Mert nem végeztem volt magamban egyebet valamit tudni ti köztetek, hanem a Jézus Krisztust, azt pedig, a ki megfeszitettett.
1Cor.2.3 | És én nagy erőtlenséggel, félelemmel és rettegéssel voltam ti köztetek.
1Cor.2.4 | És az én beszédem és prédikálásom nem volt emberi bölcseségnek hitető beszédiben; hanem inkább a lelki erőnek megmutatásában.
1Cor.2.5 | Hogy a ti hitetek ne állana emberi bölcseségből, hanem isteni erőből.
1Cor.2.6 | Bölcseséget szólunk pedig a tökéletesek között: nem e világnak bölcseségét pedig, sem pedig nem e világi Fejedelmek bölcsességeket, kik eltöröltetnek.
1Cor.2.7 | Hanem szóljunk az Istennek titkos bölcseségét, amaz elrejtetett bölcseséget, mellyet Isten elrendelt vala e világ előtt a mi dicsőségünkre.
1Cor.2.8 | Mellyet e világi Fejedelmek közzűl egy is nem tudott: mert ha tudták volna, a dicsőségnek Urát soha meg nem feszitették volna.
1Cor.2.9 | De prédikáljuk a mint meg vagyon irva: A mellyeket a szem nem látott, sem a fül nem hallott, az embernek is gondolatjába nem mentek, mellyeket az Isten készitett az őtet szeretőknek.
1Cor.2.10 | Nékünk pedig az Isten megjelentette azokat az ő Lelke által; mert a Lélek mindeneket vizsgál; még az Istennek mélységit is.
1Cor.2.11 | Mert kicsoda tudhatja az emberek közzűl azt, a mi az emberben vagyon, hanem csak az embernek a maga lelke, a melly ő benne vagyon? azonképen azt is, a mi Istenben vagyon, senki nem tudja, hanem az Isten Lelke.
1Cor.2.12 | Mi pedig nem e világnak lelkét vettük, hanem a Lelket, melly az Istentől vagyon; hogy megtudhassuk azokat, a mellyeket nékünk ajándékozott az Isten.
1Cor.2.13 | Mellyeket prédikáltunk is, nem olly beszédekkel, mellyekre az emberi bölcseség tanit, hanem a mellyekre a Szent Lélek tanit, a lelkieket a lelkiekhez szabván.
1Cor.2.14 | A lelkes ember pedig meg nem foghatja azokat, a mellyek az Istennek Lelkéjé: mert ő néki bolondságnak tetszenek: meg nem tudhatja azokat, mert a Léleknek ereje által itéltetnek meg.
1Cor.2.15 | A lelki ember pedig mindeneket megitél: de ő senkitől nem itéltetik meg.
1Cor.2.16 | Mert kicsoda tudja az Úrnak akaratját; és ki tanithatná őtet? Mi pedig tudjuk a Krisztus akaratját.

1Cor.3.1 | Én pedig, Atyámfiai, nem szólhattam néktek mint lelkieknek, hanem szóltam mint testieknek, azaz, mint gyermekeknek a Krisztusban.
1Cor.3.2 | Téjnek italával tápláltalak titeket, és nem kemény eledellel: mert azt még nem szenvedheetitek vala el: sőt még most is nem szenvedhetitek:
1Cor.3.3 | Mert még testiek vagytok; mert mivelhogy ti köztetek vagyon irigység és versengés és visszavonások, nem testiek vagytok-é, és nem ember szerint jártok-é?
1Cor.3.4 | Mert mikor egyitek ezt mondja: Én Pálé vagyok; a mástok pedig: Én Apollósé vagyok, nem testiek vagyok-é?
1Cor.3.5 | Kicsoda azért Pál, és kicsoda Apollós, hanem szolgák, kik által hittetek, és a mint kinek-kinek az Úr adta?
1Cor.3.6 | Én plántáltam, Apollós öntözött; de Isten adta annak előmenetelét.
1Cor.3.7 | Azért sem a ki plántál, valami; sem a ki öntöz; hanem Isten, a ki előmenetelt ád.
1Cor.3.8 | Az pedig a ki plántál, és az a ki öntöz, egyek; mindenik pedig az ő jutalmát vészi az ő munkája szerint.
1Cor.3.9 | Mert Isten mellett munkálódó szólgák vagyunk: Isten majorsága, Isten épitése vagytok.
1Cor.3.10 | Az Istennek nékem adatott ajándéka szerint, mint bölcs mester fundamentomot vetettem: más épit pedig arra. Meglássa pedig minden, mimódon épit arra.
1Cor.3.11 | Mert más fundamentomot senki nem vethet azon kivül, a melly egyszer vettetett, melly a Jézus Krisztus.
1Cor.3.12 | Hogyha valaki épit e fundamentomra aranyat, ezüstöt, drágaköveket, fát, szénát, pozdorját;
1Cor.3.13 | Mindenek munkája nyilván lészen, mert a nap megmutatja; mert a tűz által megjelentetik; és mindennek munkája minémü legyen, a tűz megpróbálja.
1Cor.3.14 | Ha kinek munkája, a mellyet épitett, megmarad, jutalmát vészi;
1Cor.3.15 | A kinek munkája megég, kárt valla; ő maga pedig megtartatik, de ugy mint tűz által.
1Cor.3.16 | Avagy nem tudjátok-é, hogy ti az Istennek temploma vagytok, és az Isten Lelke lakozik ti bennetek?
1Cor.3.17 | Ha valaki az Isten templomát megszeplősiti, elveszti azt az Isten: mert az Istennek temploma szent, melly ti vagytok.
1Cor.3.18 | Senki magát meg ne csalja. Ha valaki láttatik magának bölcsnek lenni ti köztetek e világon, bolond legyen, hogy bölcs legyen.
1Cor.3.19 | Mert e világ bölcsesége Isten előtt bolondság; mert meg vagyon irva: Megfogja a bölcseket az ő bölcseségekben.
1Cor.3.20 | És ismét: Az Úr tudja, hogy a bölcseknek gondolatjaik hijábavalók.
1Cor.3.21 | Azért senki ne dicsekedjék emberekben: mert mindenek tiéitek.
1Cor.3.22 | Akár Pál, akár Apollós, akár Kéfás, akár e világ, akár az élet, akár a halál, akár a jelenvalók, akár a következendők, mindenek tiéitek.
1Cor.3.23 | Ti pedig a Krisztuséi vagytok; a Krisztus pedig Istené.

1Cor.4.1 | Úgy itéljen mi felőlünk az ember, mint a Krisztusnak szolgái felől, és az Isten titkainak sáfárai felől.
1Cor.4.2 | Továbbá pedig a sáfárokban ez kivántatik meg, hogy minden hivnek találtassék.
1Cor.4.3 | Én pedig keveset gondolok azzal, ha ti tőletek, vagy emberi itélettől itéltetem; sőt még én magam is nem itélem meg magamat;
1Cor.4.4 | Mert semmiben nem vádol engem az én lelkem; de az által nem igazulok meg, hanem az Úr az, a ki engemet megitél.
1Cor.4.5 | Azért idő előtt semmit ne itéljetek, mignem eljő az Úr, a ki a setétségnek titkait világra hozza; és a szuiveknek tanácsit megjelenti; és akkor lészen mindenek Istentől dicsérete.
1Cor.4.6 | Ezeket pedig Atyámfiai, néminémü példában szabtam én reám és Apollósra ti érettetek, hogy a mi példánkban tanuljátok meg, hogy annakfelette a mint megiratott, nem jó bölcselkedni; hogy egyitek a másitok helyéb egymás ellen ne fúvalkodjatok fel.
1Cor.4.7 | Mert kicsoda szakaszt ki téged mások közzűl? Micsodád vagyon pedig a mit nem vettél volna, és hogyha vetted, mit kevélykedel mintha nem vetted volna?
1Cor.4.8 | Immár megteltetek, imár elgazdagodtatok, nálunk nélkűl országot vettetek: vajha pedig uralkodhatnátok, hogy mi is veletek egybe uralkodhatnánk.
1Cor.4.9 | Mert úgy itélem, hogy az Isten minket alábbvaló Apostolokat adott e világ szeme eleibe, úgymint halálra valókat: mert lettünk csudája e világnak, az Angyaloknak, és az embereknek.
1Cor.4.10 | Mi bolondok vagyunk a Krisztusért, ti pedig bölcsek vagytok a Krisztusban: mi erőtlenek, ti pedig erősek: ti dicséretesek, mi gyalázatosok vagyunk.
1Cor.4.11 | Mind ez ideig mind éhezünk, mind szomjúhozunk, mezítelenek vagyunk; arczúl veretünk, és bizonytalan helyeken bujdosunk.
1Cor.4.12 | És fáradozunk, tulajdon kezeinkkel munkálkodván; ha szidalommal illettetünk, jót kivánunk: ha háborúságot szenvedünk, békességgel türjük.
1Cor.4.13 | Ha gyaláztatunk, imádkozunk: e világnak seeprei lettünk és mindeneknek elvettetett állatjok mind ez ideig.
1Cor.4.14 | Nem azért irom ezeket hogy titeket megszégyenitselek: hanem titeket intelek, mint szerelmes fiamat.
1Cor.4.15 | Mert ha tizezer tanitó mesteritek lennének is a Krisztusban: mindazáltal nem sok Atyátok vagyok: mert én szültelek titeket az Evangyéliom által a Jézus Krisztusban.
1Cor.4.16 | Kérlek azért titeket, hogy legyetek én követőim.
1Cor.4.17 | Azért bocsátottam hozzátok Timótheust, ki nékem szerelmes fiam, és hiv az Úrban, ki néktek eszetekbe juttatja minéműek legyenek az én útaim a Krisztusban, a mint mindenütt minden Gyülekezetben tanitok.
