Col.1.1 | Pál Jézus Krisztusnak Apostola az Istennek akaratja által, és a Timótheus atyafiú.
Col.1.2 | Azoknak a ki vagynak Kolosséban, a Krisztusban szent és hiv Atyafiaknak: Kegyelem és békesség az Istentől a mi Atyánktól és az Úr Jézus Krisztustól.
Col.1.3 | Hálákat adunk az Istennek és a mi Urunk Jézus Krisztusnak Krisztus Attyának, mindenkor ti érettetek könyörögvén.
Col.1.4 | Mivelhogy hallottuk a ti hiteteket a Krisztus Jézusban, és minden Szentekhez való szerelmeteket.
Col.1.5 | A mennyekben néktek eltett reménységért, mellyet először hallottatok az Igazságnak beszédéből, melly az Evangyéliom.
Col.1.6 | Melly eljutott hozzátok, miképen az egész világra is, és gyümölcsöt terem, miképen ti nálatok is, a naptól fogva, mellyen hallottátok és megesmértétek az Istennek kegyelmét valóságosan.
Col.1.7 | Miképen meg is tanultátok Epafrástól, a mi szerelmes szolgatársunktól, ki a Krisztusnak hiv szolgája ti érettetek.
Col.1.8 | Ki meg is beszélta nékünk a ti Szent Lélek által való szerelmeteket.
Col.1.9 | Azokáért mi is, a melly naptól fogva azt hallottuk; nem szününk meg ti érettetek imádkozni és kérni, hogy bétöltessetek az Isten akaratjának értelmével, minden bölcseséggel és lelki értelemmel.
Col.1.10 | Hogy járjatok a mint az Úrhoz méltó, minden engedelemre, minden jó cselekedetekkel gyümölcsöt teremvén, és nevekedvén, az isteni esméretben.
Col.1.11 | És minden erővel megerősiottessetek az ő dicsőséges ereje által, minden örömmel való békességes szenvedésre és türésre.
Col.1.12 | Hálákat adván az Atyának, ki a Szentek örökségeknek elvételére a világosságban minket alkalmatosokká tett.
Col.1.13 | Ki megszabaditott minket a setétségnek hatalmasságából, és az ő szerelmes Fijának országába általvitt.
Col.1.14 | Kiben vagyon váltságunk az ő vére által, azaz, büneinknek bocsánatjok.
Col.1.15 | Ki a láthatalna Istennek ábrázatja, és minden teremtett állatnak előtte született.
Col.1.16 | Mert őáltala teremtettek mindenek mellyek az égben vagynak, és mellyek a földön láthatók, és láthatatlanok, akár királyiszékek, akár uraságok, akár birodalmak, akár hatalmasságok, mindenek ő általa és ő reá nézve teremtettek.
Col.1.17 | És ő mindeneknek előtte vagyon, és mindenek ő általa állanak.
Col.1.18 | És az ő Anyaszentegyház testének Feje, ki a kzedet, és a halottak közzűl elsőszülött, hogy mindenek között ő legyen Fő.
Col.1.19 | Mert tetszett az Atyának, hogy minden teljesség ő benne laknék.
Col.1.20 | És hogy az ő keresztének vére által békességet szerezvén, ő általa békéltetne meg mindeneket maagával, ő általa mondom, mind a kik e földön, mind a kik a mannyekben vagynak.
Col.1.21 | Annakokáért titeket, kik régen idegenek és ellenségek valátok a ti elméteknek gonosz cselekedetekre való hajlandóságért, most bizonyára megbékéltetett.
Col.1.22 | Az ő testében való halála által, hogy titeket tenne szentekké, feddhetetlenekké és ártatlanokká maga előtt.
Col.1.23 | Hogyha megmaradtok, a hitben erősen megfundáltatván, és el nem távoztok az Evangyéliomnak reménységétől, mellyet hallottatok, melly prédikáltatott minden teremtett állatnak, melly az ég alatt vagyon, mellynek én Pál lettem szolgájává.
Col.1.24 | Ki most örülök a ti érettek való szenvedésimben, és a Krisztus szenvedésének maradékát bétöltöm az én testemben, az ő testéért, azaz az Anyaszentegyházért.
Col.1.25 | Mellynek lettem én szolgájává az Istennek sáfárlása szerint, melly bizatott én reám ti köztetek, hogy az Istennek beszéde bételjesednék.
Col.1.26 | Tudniillik ama titok, melly elrejtetett volt eleitől és minden időktől fogva, most pedig megjelentetett az ő Szenteinek.
Col.1.27 | A kiknek akarta az Isten megjelenteni micsoda legyen e dicsőséges titoknak gazdagsága a Pogányok között, melly a Krisztus ti köztetek, ki a dicsőségnek ama reménysége.
Col.1.28 | Kit mi prédikálunk, intvén minden embert és minden embert tanitván minden bölcseséggel, hogy minden embert tégyünk tökéletessé a Krisztus Jézusban.
Col.1.29 | Mellyre igyekezem is, tusakodván az ő ereje szerint, melly én bennem hatalmasan cselekeszik.

Col.2.1 | Mert akarom, hogy ez tudtokra legyen minémű tusakodást szenvedjek ti érettetek, és azokért a kik vagynak Laodiczeában, és mind azokért, kik nem láttak engemet személy szerint e testben.
