3John.1.1 | Az Egyházi szolga a szerelmetes Gájusnak, kit én valóba szeretek.
3John.1.2 | Szerelmesem, legelőször azt kivánom, hogy jól legyen dolgod és jó egésségben légy, miképen hogy a te lelkednek jól vagyon dolga.
3John.1.3 | Mert felette igen örültem, mikor az Atyafiak ide jöttek volna, és a te ártatlan életedről bizonyságot tettek, miképen hogy te ártatlanúl élsz.
3John.1.4 | Ennél nagyobb örömem nincsen, mint mikor hallom, hogy az én fiaim ártatlanúl járnak.
3John.1.5 | Szerelmesem, hiven cselekeszel, valamit cselekeszel az atyafiakkal és a jövevényekkel.
3John.1.6 | Kik az ő bizonyságtételekkel dicsérték a Gyülekezet előtt a te szeretetedet: kiket ha azon szeretettel fogadándasz, mint illik Istenhez, jól cselekeszed.
3John.1.7 | Mert az ő nevéért mentek el, kik semmit nem vettek a Pogányoktól.
3John.1.8 | Nékünk azért bé kell fogadnunk ez illyeneket, hogy segéllő társai legyünk az igazságnak.
3John.1.9 | Irtam a Gyülekezetnek; de Diótréfes, ki ő közöttök elsőséget kiván, nem vészen bé minket.
3John.1.10 | Annakokáért, ha oda menéndek, megjelentem az ő gonosz cselekedetit, a mellyeket cselekeszik, gonosz beszédekkel csacsogván mi ellenünk: ki ezekkel is meg nem elégedvén, ő maga sem fogadja bé az atyafiakat, és a kik bé akarják fogadni, azokat is megtiltja, és a Gyülekezetből kiveti.
3John.1.11 | Szerelmesem, ne kövessed azt a mi gonosz, hanem a mi jó. A ki jól cselekeszik, Istentől vagyon az: a ki pedig gonoszt cselekeszik, nem látta az Istent.
3John.1.12 | Demeterről mindenek bizonyságot tésznek: sőt az igazság is bizonyságot tészen: de mi is bizonyságot tészünk, és tudjátok, hogy a mi bizonyságtételünk igaz.
3John.1.13 | Sok dologról irhatnék, de nem akarok téntával és pennával irni tenéked.
3John.1.14 | Reménylem pedig, hogy hamar meglátlak téged, és szemtől szembe szólunk.
3John.1.15 | Békesség néked. Köszöntenek tégedet a te barátid. Köszöntsed a mi barátinkat fejenként, Ámen!
