Matt.1.1 | Jézus Krisztusnak, Dávid fiának, Ábrahám fiának nemzetségkönyve.
Matt.1.2 | Ábrahám fia volt Izsák, Izsák fia volt Jákob, Jákob fiai voltak Júda és testvérei.
Matt.1.3 | Júda fia volt Fáres és Zára Támártól, Fáres fia volt Esróm, Esróm fia volt Arám,
Matt.1.4 | Arám fia volt Aminádáb, Aminádáb fia volt Naásson, Naásson fia volt Sálmón,
Matt.1.5 | Sálmón fia volt Boáz Ráhábtól, Boáz fia volt Obed Rúttól, Obed fia volt Isai,
Matt.1.6 | Isai fia volt Dávid, a király, Dávid fia volt Salamon, Uriás feleségétől,
Matt.1.7 | Salamon fia volt Roboám, Eoboám fia volt Abija, Abija fia volt Asá,
Matt.1.8 | Asá fia volt Jósafát, Jósafát fia volt Jórám, Jórám fia volt Uzziás,
Matt.1.9 | Uzziás fia volt Joathám, Joathám fia volt Ákház, Ákház fia volt Ezékiás,
Matt.1.10 | Ezékiás fia volt Manasse, Manasse fia volt Ámon, Ámon fia volt Jó siás,
Matt.1.11 | Jósiás fiai voltak Jekóniás és testvérei, a babilóniai fogságbavitel idejében.
Matt.1.12 | A babilóniai fogságbavitel után Jekóniás fia volt Salátiel, Salátiel fia volt Zorobábel,
Matt.1.13 | Zorobábel fia volt Abiud, Abiud fia volt Eliákim, Eliákim fia volt Azor,
Matt.1.14 | Azor fia volt Sádok, Sádok fia volt Akim, Akim fia volt Eliud,
Matt.1.15 | Eliud fia volt Eleázár, Eleázár fia volt Mattan, Mattan fia volt Jákob,
Matt.1.16 | Jákob fia volt József, férje Máriának, akitől született Jézus, akit Krisztusnak neveznek.
Matt.1.17 | Összesen tehát Ábrahámtól Dávidig tizennégy nemzedék és Dávidtól a babilóniai fogságbavitelig tizennégy nemzedék és a babilóniai fogságbaviteltől Krisztusig tizennégy nemzedék.
Matt.1.18 | Jézus Krisztus születése pedig így volt: Mária, az ő anyja, eljegyeztetett Józseffel, de mielőtt egybekeltek, a Szentlélektől várandósnak találtatott.
Matt.1.19 | József pedig, az ő férje, mivel igaz ember volt és nem akarta őt gyalázatba keverni, el akarta őt titkon bocsátani.
Matt.1.20 | Mikor pedig ezeket magában elgondolta, íme az Úr angyala álomban megjelent neki és ezt mondta: József, Dávid fia, ne félj magadhoz venni Máriát, a te feleségedet, mert ami benne fogantatott, a Szentlélektől van.
Matt.1.21 | Szül pedig fiat, és nevezd annak nevét Jézusnak, mert ő szabadítja meg népét bűneiből.
Matt.1.22 | Mindez pedig azért lett, hogy beteljesedjék, amit az Úr mondott a próféta által, aki így szólt:
Matt.1.23 | Íme a szűz fogan méhében és szül fiat, és nevét Immánuelnek nevezik, ami azt jelenti: Velünk az Isten.
Matt.1.24 | József pedig felserkent az álomból és úgy tett, amint az Úr angyala parancsolta neki, és magához vette feleségét.
Matt.1.25 | De nem ismerte őt, amíg meg nem szülte elsőszülött fiát. És nevezte nevét Jézusnak.

Matt.2.1 | Amikor pedig megszületett Jézus, a júdeai Betlehemben, Heródes király idejében, íme napkeletről bölcsek jöttek Jeruzsálembe,
Matt.2.2 | és ezt mondták: Hol van a zsidók királya, aki most született? Mert láttuk az ő csillagát napkeleten és azért jöttünk, hogy tisztességet tegyünk neki.
Matt.2.3 | Heródes király pedig ennek hallatára megdöbbent és vele együtt az egész Jeruzsálem.
Matt.2.4 | És összegyűjtve mind a papi fejedelmeket és a nép írástudóit, tudakozódott tőlük, hol kell a Krisztusnak megszületnie.
Matt.2.5 | "Azok pedig azt mondták neki: A júdeai Betlehemben; mert így írta meg a próféta:"
Matt.2.6 | És te, Betlehem, Júda földje, semmiképpen sem vagy legkisebb Júda főhelyei között, mert belőled származik a fejedelem, aki pásztorolni fogja az én népemet, Izraelt.
Matt.2.7 | Ekkor Heródes titkon hivatta a bölcseket, pontosan megtudakolta tőlük a csillag feltűnésének idejét,
Matt.2.8 | és elküldte őket Betlehembe és azt mondta: Menjetek el, kérdezősködjetek gondosan a gyermek felől, mihelyt pedig megtaláljátok, adjátok tudtomra, hogy én is elmenjek és tisztességet tegyek neki.
Matt.2.9 | Ekkor ők, meghallgatva a királyt, elindultak. És íme, a csillag, amelyet napkeleten láttak, előttük ment mindaddig, amíg odaérve, megállott a hely felett, ahol a gyermek volt.
Matt.2.10 | És mikor meglátták. a csillagot, igen nagy örömmel örvendeztek.
Matt.2.11 | "És bementek a házba, és ott találták a gyermeket, anyjával Máriával; és leborulva tisztességet tettek neki; majd kinyitották kincses ládáikat, és ajándékot adtak neki: aranyat, tömjént és mirhát."
Matt.2.12 | És mivel álomban megintettek, hogy ne menjenek vissza Heródeshez, más úton tértek vissza hazájukba.
Matt.2.13 | "Mikor pedig azok eltávoztak, íme álomban megjelent az Úr angyala Józsefnek és szólt: Kelj fel, vedd a gyermeket és anyját; fuss Egyiptomba és maradj ott, amíg szólok neked; mert Heródes máris keresi a gyermeket, hogy elpusztítsa."
Matt.2.14 | Ő pedig felkelt, vette a gyermeket és anyját még azon az éjjelen, és Egyiptomba távozott,
Matt.2.15 | És ott volt egészen Heródes haláláig, hogy beteljesedjék, amit az Úr mondott a próféta által, aki így szólt: Egyiptomból hívtam ki az én fiamat.
Matt.2.16 | Amikor Heródes látta, hogy a bölcsek rászedték, nagyon felháborodott és küldötteivel megölette Betlehemben és annak egész környékén a két esztendős és ennél fiatalabb fiúgyermekeket mind, a szerint az idő szerint, amelyet pontosan megtudakolt a bölcsektől.
Matt.2.17 | Ekkor teljesedett be, amit Jeremiás próféta mondott, amidőn így szólt:
Matt.2.18 | Kiáltás hallatszott Rámában, hangos sírás és sok jajgatás. Ráhel siratta gyermekeit és nem akart megvigasztalódni, mert nincsenek.
Matt.2.19 | Mikor pedig Heródes meghalt, íme az Úr angyala megjelent álomban Józsefnek Egyiptomban,
Matt.2.20 | és ezt mondta: Kelj fel, vedd a gyermeket és anyját és eredj Izrael földjére, mert meghaltak, akik a gyermek életére törtek.
Matt.2.21 | Ő pedig felkelt, vette a gyermeket és anyját,) és elment Izrael földjére.
Matt.2.22 | Mikor azonban meghallotta, hogy Júdeában Arkelaus uralkodik atyja, Heródes helyett, nem mert odamenni, hanem mivel álomban megintetett, Galilea vidékeire költözött.
Matt.2.23 | És odaérve, Názáret nevű városban telepedett le, hogy beteljesedjék, amit a próféták mondtak, hogy: Názáretinek fogják őt nevezni.

Matt.3.1 | Azokban a napokban pedig eljött Keresztelő János, aki prédikált Júdea pusztájában,
Matt.3.2 | és ezt mondta: Térjetek meg, mert el közelített a mennyek országa.
Matt.3.3 | Mert ez az, akiről Ésaiás próféta szólott: Kiáltó szó a pusztában: Készítsétek az Úr útját és egyengessétek ösvényeit.
Matt.3.4 | Ennek a Jánosnak a ruhája pedig teveszőrből volt és bőröv volt a dereka körül, eledele pedig sáska és erdei méz.
Matt.3.5 | Ekkor kiment hozzá Jeruzsálem és az egész Júdea és a Jordán egész környéke.
Matt.3.6 | És ő megkeresztelte őket a Jordán vizében, miután megvallották bűneiket.
Matt.3.7 | Mikor pedig látta, hogy a farizeusok és szadduceusok közül sokan jönnek hozzá, hogy megkeresztelkedjenek, így szólt hozzájuk: Mérges kígyók fajzatai! Kicsoda intett meg titeket, hogy meneküljetek Istennek bekövetkezendő haragja elől?
Matt.3.8 | Teremjetek azért megtéréshez illő gyümölcsöket.
Matt.3.9 | És ne gondoljátok, hogy így szólhattok magatokban: Ábrahám a mi atyánk! Mert mondom nektek, hogy Isten ezekből a kövekből is támaszthat fiakat Ábrahámnak.
Matt.3.10 | A fejsze pedig már a fák gyökerére vettetett. Azért minden fa, amely jó gyümölcsöt nem terem, kivágattatik és a tűzre vettetik.
Matt.3.11 | "Én ugyan vízzel keresztellek titeket megtérésre, de aki utánam jön, erősebb nálam, saruját hordozni sem vagyok méltó; Ő Szentlélekkel és tűzzel keresztel majd titeket."
Matt.3.12 | Szórólapát van a kezében és megtisztítja majd szérűjét és gabonáját csűrbe takarítja, a polyvát pedig megégeti olthatatlan tűzzel.
Matt.3.13 | Akkor elment Jézus Galileából a Jordán mellé Jánoshoz, hogy megkeresztelkedjék általa.
Matt.3.14 | János azonban visszatartotta őt és ezt mondta: Nekem kell általad megkereszteltetnem, és te jössz énhozzám?
Matt.3.15 | Jézus pedig ezt felelte neki: Engedd, hogy ez most így legyen, mert így illik nekünk minden igazságot betöltenünk. Ekkor engedett neki.
Matt.3.16 | Mikor azután Jézus megkeresztelkedett, azonnal kilépett a vízből, és íme megnyíltak neki az egek és látta amint az Isten Lelke lejön, mint egy galamb és rászáll.
Matt.3.17 | És íme, egy égi hang ezt mondta: Ez az én szeretett Fiam, akiben gyönyörködöm.

Matt.4.1 | Akkor Jézus a Lélektől a pusztába vitetett, hogy az ördög megkísértse.
Matt.4.2 | És miután negyven nap és negyven éjjel böjtölt, végül megéhezett.
Matt.4.3 | Ekkor a kísértő odament hozzá és ezt mondta neki: Ha Isten Fia vagy, mondd, hogy ezek a kövek változzanak kenyerekké.
