Mark.1.1 | Jézus Krisztusról, az Isten Fiáról szóló evangéliom kezdete.
Mark.1.2 | "Amint, meg van írva Ésaiás próféta könyvében: Íme elküldöm az én követemet a te orcád előtt, aki elkészíti a te útadat;"
Mark.1.3 | "kiáltó szó a pusztában: Készítsétek az Úr útját, egyengessétek ösvényeit; —"
Mark.1.4 | úgy történt, hogy János keresztelt a pusztában és hirdette a megtérés keresztségét a bűnök bocsánatára.
Mark.1.5 | És kiment hozzá Júdea egész vidéke és a jeruzsálemiek mindnyájan és megkeresztelkedtek általa a Jordán folyóban, vallást téve bűneikről.
Mark.1.6 | "János teveszőr ruhát viselt és dereka körül bőrövet; és sáskát és erdei mézet evett."
Mark.1.7 | És így prédikált: Utánam jön, aki erősebb nálam, és én nem vagyok méltó, hogy lehajolva, saruja szíját megoldjam.
Mark.1.8 | Én vízzel keresztellek meg titeket, de Ő Szentlélekkel keresztel majd meg titeket
Mark.1.9 | És történt azokban a napokban, hogy elment Jézus a galileai Názáretből és János megkeresztelte a Jordánban.
Mark.1.10 | "És egyszerre, amint kilépett a vízből, látta, hogy az egek megnyílnak és a Lélek, mint egy galamb száll rá;"
Mark.1.11 | és szó hangzott az egekből: Te vagy az én szeretett Fiam, benned gyönyörködöm.
Mark.1.12 | A Lélek pedig azonnal elragadta őt a pusztába.
Mark.1.13 | A pusztában volt negyven napig, és a Sátán kísértet te. És vadállatokkal volt együtt és az angyalok szolgáltak neki.
Mark.1.14 | Miután pedig Jánost tömlöcbe vetették, elment Jézus Galileába és hirdette az Isten országáról szóló evangéliomot:
Mark.1.15 | Betelt az idő és elközelített az országa. Térjetek meg és higgyetek az evangéliumban.
Mark.1.16 | Mikor pedig a galileai tenger mellett járt, meglátta Simont és Andrást, a Simon testvérét, amint a tengerbe hálót vetettek, — mert halászok voltak —
Mark.1.17 | és így szólt nekik Jézus: Kövessetek engem és ón emberhalászokká teszlek titeket.
Mark.1.18 | És azonnal elhagyták hálóikat és követték őt.
Mark.1.19 | És amikor kissé tovább ment, meglátta Jakabot, Zebedeus fiát és Jánost az ő testvérét, akik a hajóban a hálókat javítgatták.
Mark.1.20 | "És azonnal hívta őket; ők pedig atyjukat, Zebedeust a napszámosokkal együtt a hajóban hagyták és követték őt."
Mark.1.21 | "És elmentek Kapernaumba; és mindjárt szombatnapon bement a zsinagógába és tanított."
Mark.1.22 | És elcsodálkoztak tanításán, mert úgy tanította őket, mint akinek hatalma van és nem úgy, mint az írástudók.
Mark.1.23 | És éppen ott volt a zsinagógájukban egy tisztátalan lélektől megszállott ember, aki így kiáltott:
Mark.1.24 | Mit akarsz velünk Názáreti Jézus? Azért jöttél, hogy elpusztíts minket? Tudom, ki vagy: az Istennek a Szentje.
Mark.1.25 | És megdorgálta őt Jézus: Némulj el és menj ki belőlel
Mark.1.26 | És a tiszta talán lélek megrángatta őt és hangos kiáltással kiment belőle.
