John.1.1 | Kezdetben volt az Ige, és az Ige Istennél volt, és az Ige Isten volt.
John.1.2 | Ez kezdetben az Istennél volt.
John.1.3 | Minden általa lett és nála nélkül semmi sem lett, ami létrejött.
John.1.4 | Benne élet volt és az élet volt az emberek világossága.
John.1.5 | És a világosság a sötétségben fénylik, de a sötétség nem fogadta be.
John.1.6 | Eljött egy Istentől küldött ember, akinek neve János volt.
John.1.7 | Ez tanúbizonyságul jött, hogy bizonyságot tegyen a világosságról, hogy mindenki higgyen általa.
John.1.8 | Nem ő volt a világosság, hanem azért jött, hogy bizonyságot tegyen a világosságról.
John.1.9 | Amaz volt az igazi világosság, amely megvilágosít minden a világra született embert.
John.1.10 | A világban volt és a világ általa lett, de a világ nem ismerte meg őt.
John.1.11 | Az övéi közé jött és az övéi nem fogadták be őt.
John.1.12 | "De mindazoknak, akik befogadták, akik hisznek az ő nevében, hatalmat adott, hogy Isten gyermekeivé legyenek;"
John.1.13 | akik nem vérből, sem a test akaratából, sem a férfi indulatjából, hanem Istentől születtek.
John.1.14 | És az Ige testté lett és lakozott mi közöttünk — és láttuk az ő dicsőségét, mint az Atya egyszülöttének dicsőségét, — aki teljes volt kegyelemmel és igazsággal.
John.1.15 | János bizonyságot tett róla és kiáltott: Ez volt az, akiről azt mondtam: Aki utánam jön, megelőzött engem, mert előbb volt nálamnál.
John.1.16 | Mivel az ő teljességéből vettünk mindnyájan, még pedig kegyelmet kegyelemre.
John.1.17 | "Mert a törvény Mózes által adatott; a kegyelem pedig és az igazság Jézus Krisztus által lett."
John.1.18 | "Istent soha senki nem látta; az egyszülött Fiú, aki az Atya kebelén van, az jelentette ki őt."
John.1.19 | És ez János bizonyságtétele, mikor a zsidók papokat és lévitákat küldtek hozzá Jeruzsálemből, hogy megkérdezzék őt: Kicsoda vagy te?
John.1.20 | "És megvallotta és nem tagadta; és megvallotta: Én nem vagyok a Krisztus."
John.1.21 | És megkérdezték tőle: Micsoda vagy tehát? Illés vagy? És szólt: Nem vagyok. A próféta vagy? És ő felelt: Nem.
John.1.22 | "Így szóltak azért hozzá: Kicsoda vagy""? Hogy megfelelhessünk azoknak, akik minket küldtek. Mit mondasz magad felől?"
John.1.23 | Ső így válaszolt: Én kiáltó szó vagyok a pusztában: Egyengessétek az Úr útját, amint megmondta Ésaiás próféta.
John.1.24 | És a küldöttek a farizeusok közül valók voltak.
John.1.25 | És megkérdezték őt és ezt mondták neki: Akkor miért keresztelsz, ha nem vagy a Krisztus, sem Illés, sem a próféta?
John.1.26 | "János így felelt nekik: Én vízzel keresztelek; de közöttetek van, akit ti nem ismertek."
John.1.27 | Ő az, aki utánam jön, akinek nem vagyok méltó, hogy a saruja szíját megoldjam.
John.1.28 | Ezek Betániában történtek, a Jordánon túl, ahol János keresztelt. (A 28. versben egyes kéziratokban Betánia helyett Betabara olvasható. 1. 2. )
John.1.29 | Másnap látta János, amint Jézus őhozzá ment, és szólt: Íme, az Isten Báránya, aki elveszi a világ bűnét!
John.1.30 | Ez az, akiről én azt mondtam: Utánam jön egy férfi, aki megelőzött engem, mert előbb volt nálamnál.
John.1.31 | "És én nem ismertem őt; de hogy kijelentessék Izraelnek, azért jöttem én, aki vízzel keresztelek."
John.1.32 | És bizonyságot tett János: Láttam, hogy a Lélek mint egy galamb alászállt az égből és ott maradt rajta.
John.1.33 | És én nem ismertem őt, de aki elküldött engem, hogy vízzel kereszteljek, az mondta nekem: Akire látod, hogy a Lélek alászáll és ott marad rajta, ez az, aki Szentlélekkel keresztel.
John.1.34 | És én láttam és bizonyságot tettem, hogy ez az Isten Fia.
John.1.35 | "Másnap ismét ott állott János és tanítványai közül kettő;"
John.1.36 | és mikor rátekintett az ott járó Jézusra, így szólt: Íme, az Isten Báránya!
John.1.37 | És mikor a két tanítvány meghallotta, amit mondott, követte Jézust.
John.1.38 | Ekkor Jézus hátrafordult és látta, hogy azok követik, és így szólt hozzájuk: Mit kerestek? Azok pedig azt mondták neki: Rabbi (ami azt jelenti: mester), hol lakol?
John.1.39 | "Ő ezt mondta nekik: Jertek és lássátok meg. Elmentek és meglátták, hol lakik; és nála maradtak azon a napon. Körülbelül tíz óra volt."
John.1.40 | András, a Simon Péter testvére, volt az egyik a kettő közül, akik hallották ezt Jánostól és követték őt.
John.1.41 | Ez először a testvérével, Simonnal találkozott és ezt mondta neki: Megtaláltuk a Messiást (ami azt jelenti: Felkent).
John.1.42 | És Jézushoz vezette őt. Jézus rátekintett és ezt mondta: Te Simon vagy, Jónának fia: a te neved Kéfás lesz (ami annyi, mint: kő).
John.1.43 | A következő napon Galileába akart menni Jézus és találkozott Fülöppel, és így szólt neki: Kövess engem!
John.1.44 | Fülöp pedig Betsaidából, András és Péter városából való volt.
John.1.45 | Találkozott Fülöp Nátánaellel és ezt mondta neki: Megtaláltuk azt, aki felől Mózes írt a törvényben, és a próféták: a názáreti Jézust, a József fiát.
John.1.46 | És Nátánael így szólt neki: Názáretből támadhat-e valami jó? Fülöp így válaszolt neki: Jöjj és lásd meg!
John.1.47 | Látta Jézus, amint Nátánael őhozzá ment és azt mondta felőle: íme, egy igazán izraelita, akiben nincsen álnokság.
John.1.48 | Szólott neki Nátánael: Honnét ismersz engem? Felelt Jézus és ezt mondta neki: Mielőtt Fülöp hívott téged, láttalak, amikor a fügefa alatt voltál.
John.1.49 | Válaszolt neki Nátánael: Mester, te vagy az Isten Fia, te vagy Izrael királya!
John.1.50 | Felelt Jézus és azt mondta neki: Mivel azt mondtam neked, hogy láttalak a fügefa alatt, hiszel? Nagyobbakat látsz majd ezeknél.
John.1.51 | És azt mondta neki: Bizony, bizony mondom nektek: meglátjátok majd a megnyílt eget és az Isten angyalait, akik felszállanak és leszállanak az Ember Fiára.

John.2.1 | És harmadnap menyegző volt a galileai Kánában és ott volt Jézus anyja.
John.2.2 | És Jézust is meghívták tanítványaival együtt a menyegzőre.
John.2.3 | Mikor a bor elfogyott, Jézus anyja ezt mondta neki: Nincs boruk.
John.2.4 | Jézus így szólt hozzá: Asszony! mi dolgom van nekem veled? Nem jött még el az én órám.
John.2.5 | Anyja azt mondta a szolgáknak: Bármit mond, tegyétek meg.
John.2.6 | El volt pedig ott helyezve tisztulás céljából a zsidók számára hat kőveder, amelyekbe egyenként két vagy három metréta fért.
John.2.7 | Szólott nekik Jézus. Töltsétek meg a vedreket vízzel. És megtöltötték színültig.
John.2.8 | Majd ezt mondta nekik: Most merítsetek és vigyetek a násznagynak. És vittek neki.
John.2.9 | A násznagy pedig megízlelte a borrá lett vizet, és nem tudta honnét van, de a szolgák, akik a vizet merítették, tudták. Ezért a násznagy szólította a vőlegényt
John.2.10 | és ezt mondta neki: Minden ember a jó bort adja fel először és csak mikor az emberek megittasodtak, akkor a silányabbat. Te a jó bort mostanig tartogattad.
John.2.11 | Ezt cselekedte Jézus első jelként a galileai Kánában és kinyilvánította dicsőségét és hittek benne a tanítványai.
John.2.12 | "Azután lement Kapernaumba ő, az ő anyja, testvérei és tanítványai; és ott maradták néhány napig."
John.2.13 | Közel volt a zsidók húsvétja és felment Jézus Jeruzsálembe.
John.2.14 | És a templomban találta az ökrök, juhok és galambok árusait és a pénzváltókat, akik ott ültek.
John.2.15 | Ekkor kötélből ostort készítve, mindnyájukat kiűzte a templomból az ökrökkel és juhokkal együtt. És a pénzváltók pénzét kiszórta, az asztalokat pedig felforgatta.
John.2.16 | "És a galambárusoknak ezt mondta: Vigyétek el ezeket innen; ne tegyétek az én Atyámnak házát kalmárság házává!"
John.2.17 | Ekkor megemlékeztek tanítványai, hogy meg van írva: A te házad iránt való féltő szeretet megemészt engem.
John.2.18 | "A zsidók ekkor így feleltek neki: Micsoda jelt mutatsz nekünk; hogy ezeket cselekszed?"
John.2.19 | Felelt Jézus és azt mondta nekik: Rontsátok le ezt a templomot és három nap alatt felépítem.
John.2.20 | A zsidók ekkor ezt mondták: Negyvenhat esztendeig épült ez a templom, és te három nap alatt felépíted?
John.2.21 | Ő pedig az ő testének templomáról beszélt.
John.2.22 | "Mikor azért feltámadt a halottak közül, megemlékeztek a tanítványai, hogy ezt mondta; és hittek az Írásnak és a beszédnek, amelyet Jézus mondott."
John.2.23 | Mikor pedig Jeruzsálemben volt a húsvét ünnepén, sokan hittek az ő nevében, látva az ő jeleit, amelyeket cselekedett.
John.2.24 | Maga Jézus azonban nem bízta magát rájuk, mivel ismerte mindnyájukat,
John.2.25 | és nem volt szüksége arra, hogy bárki bizonyságot tegyen az emberről. Mert ő maga tudta, mi van az emberben.

John.3.1 | Volt pedig egy ember a farizeusok között, neve Nikodémus, a zsidók főembere.
John.3.2 | Ez elment Jézushoz éjjel és így szólt hozzá: Mester, tudjuk, hogy te Istentől jöttél tanítóul, mert senki sem teheti e jeleket, amelyeket te teszel, csak ha az Isten van vele.
John.3.3 | Ekkor Jézus így felelt neki: Bizony, bizony mondom neked: ha valaki újonnan nem születik, nem láthatja meg az Isten országát.
John.3.4 | Megkérdezte tőle Nikodémus: Mi módon születhetik az ember, ha vén? vajjon bemehet-e másodszor az anyja méhébe és születhetik-e?
John.3.5 | Jézus így válaszolt: Bizony, bizony mondom neked: ha valaki nem születik víztől és Lélektől, nem mehet be az Isten országába.
John.3.6 | Ami testtől született, test az és ami Lélektől született, lélek az.
John.3.7 | Ne csodáld, hogy azt mondtam neked: Szükséges nektek újonnan születnetek.
John.3.8 | A szél fú, ahova akar: és annak zúgását hallod, de nem tudod, honnét jön és hová megy így van mindenki, aki Lélektől született.
John.3.9 | Felelt Nikodémus és azt mondta neki: Mimódon lehetnek ezek?
John.3.10 | Jézus így válaszolt neki: Te Izrael tanítója vagy és mégsem tudod ezeket?
John.3.11 | "Bizony, bizony mondom neked: azt hirdetjük, amit tudunk, és arról teszünk bizonyságot, amit láttunk; de a mi bizonyságtételünket nem fogadjátok el."
John.3.12 | Ha földi dolgokról szóltam nektek és nem hisztek, mimódon hisztek, ha a mennyeiekről szólok nektek?
John.3.13 | És senki sem ment fel a mennybe, csak az, aki a mennyből szállott alá: az Ember Fia, aki a mennyben van.
John.3.14 | És amint Mózes felemelte a kígyót a pusztában, úgy kell az Ember Fiának felemeltetnie,
John.3.15 | hogy mindenkinek, aki hisz, örök élete legyen őbenne.
John.3.16 | Mert úgy szerette Isten a világot, hogy az ő egy szülött Fiát adta, hogy aki hisz őbenne, el ne vesszen hanem örök életet vegyen.
John.3.17 | Mert nem azért küldte Isten az ő Fiát a világba hogy elkárhoztassa a világot, hanem, hogy megtartassák a világ ő általa.
John.3.18 | "Aki hisz őbenne, nem kárhozik el; aki pedig nem hisz, az már elkárhozott, mivel nem hitt az Isten egyszülött Fiának nevében."
John.3.19 | "Az ítélet pedig ez, hogy a világosság eljött a világba, de az emberek inkább szerették a sötétséget, mint a világosságot; mert cselekedeteik gonoszak voltak."
John.3.20 | Mert mindenki, aki gonoszul cselekszik, gyűlöli a világosságot, és nem megy a világosságra, hogy az ő cselekedetei rá ne bizonyuljanak.
John.3.21 | Aki pedig az igazságot cselekszi az a világosságra megy, hogy az ő cselekedetei nyilvánvalókká legyenek, mert azokat Istenben végezte el.
John.3.22 | "Ezután Jézus elment a tanítványaival Júdea földére; ott időzött velük és keresztelt."
John.3.23 | János pedig szintén keresztelt Énonban, Sálimhez közel, mert ott sok volt a víz, és az emberek odamentek és megkeresztelkedtek.
John.3.24 | Mert János még nem volt tömlöcbe vetve.
John.3.25 | Ekkor vitatkozás támadt János tanítványai és a zsidók között a megtisztulás felől.
John.3.26 | És odamentek Jánoshoz és így szóltak neki: Mester! Aki veled volt a Jordánon túl, akiről te bizonyságot tettél, íme, az keresztel és hozzámegy mindenki.
John.3.27 | János így felelt: Az ember semmit sem szerezhet meg, csak ha a mennyből adatott neki.
John.3.28 | Ti magatok vagytok a tanúim, hogy megmondtam: Én nem vagyok a Krisztus, hanem: ő előtte küldettem el.
John.3.29 | Akinek menyasszonya van, vőlegény az. A vőlegény barátja pedig, aki ott áll és hallja őt, örvendezve Örül a vőlegény hangjának. Ez az én örömöm immár betelt.
John.3.30 | Annak növekednie kell, nekem pedig alászállanom.
John.3.31 | Aki felülről jött, mindenkinél feljebb való. Aki a földről való, földi az és földi dolgokat beszél. Aki a mennyből jött, mindenkinél feljebb való.
John.3.32 | És arról tesz bizonyságot, amit látott és hallott, de az ő bizonyságtételét senki sem fogadja el.
John.3.33 | Aki az ő bizonyságtételét elfogadja, az megpecsételte, hogy az Isten igaz.
John.3.34 | Mert akit az Isten küldött, az Isten beszédeit szólja: mivel az Isten nem mérték szerint adja a Lelket.
John.3.35 | Az Atya szereti a Fiút és az ő kezébe adott mindent.
John.3.36 | "Aki hisz a Fiúban, örök élete van; aki pedig nem engedelmeskedik a Fiúnak, nem lát majd életet, hanem az Isten haragja marad rajta."

John.4.1 | Amint megtudta az Úr, hogy a farizeusok meghallották, hogy Jézus több tanítványt szerez és keresztel, mint János,
John.4.2 | (bár Jézus maga nem keresztelt, hanem csak a tanítványai),
John.4.3 | elhagyta Júdeát és elment ismét Galileába.
John.4.4 | Samárián kellett pedig átmennie.
John.4.5 | Így érkezett Samáriának Sikár nevű városához, annak a teleknek szomszédságába, amelyet még Jákob adott volt fiának, Józsefnek.
John.4.6 | Ott volt pedig a Jákob forrása. Jézus az utazástól elfáradva, azon módon leült a forráshoz. Mintegy hat óra volt.
John.4.7 | Egy samáriai asszony jött vizet meríteni. Jézus így szólt hozzá: Adj innom!
John.4.8 | Tanítványai ugyanis bementek a városba, hogy ennivalót vegyenek.
John.4.9 | A samáriai asszony ekkor ezt mondta neki: Hogyan kérhetsz tőlem inni zsidó létedre, hiszen én samáriai asszony vagyok? Mert a zsidók nem érintkeznek a samáriabeliekkel.
John.4.10 | Felelt Jézus és azt mondta neki: Ha ismernéd az Isten ajándékát, és hogy ki az, aki ezt mondja neked: Adj innom! Te kérted volna őt és ő adott volna neked élő vizet.
John.4.11 | Szólt neki az asszony: Uram, nincs mivel merítened, a kút pedig mély: honnét vennéd tehát az élő vizet?
John.4.12 | Avagy te nagyobb vagy a mi atyánknál, Jákobnál, aki nekünk ezt . a kutat adta volt, és ebből, ivott ő maga, fiai is és jószága is?
John.4.13 | "Felelt Jézus, és így i szólt neki: Mindenki, aki ebből a vízből iszik, ismét megszomjazik;"
John.4.14 | de ha valaki , abból a vízből iszik, amelyet én adok neki, soha többé meg nem szomjúhozik, hanem az a víz, amelyet én adok neki, olyan víz forrásává lesz benne, amely örök életre buzog.
John.4.15 | Szólott neki az asszony: Uram, add nekem ezt a vizet hogy meg ne szomjazzam és ne kelljen ide járnom meríteni.
John.4.16 | Jézus azt mondta neki: Menj el, hívd a férjedet és jöjj ide!
John.4.17 | Felelt az asszony és ezt mondta: Nincs férjem. Jézus így folytatta: Jól mondtad, hogy: Nincs férjed!
John.4.18 | Mert öt férjed volt, és a mostani nem férjed: ezzel igazat mondtál.
John.4.19 | Szólt neki az asszony: Uram, látom, hogy te próféta vagy.
John.4.20 | A mi atyáink ezen a hegyen imádták az Istent és ti azt mondjátok, hogy Jeruzsálemben van az a hely, ahol Istent imádni kell.
John.4.21 | Szólt neki Jézus: Asszony, hidd el nekem, hogy eljön az óra, amikor sem nem ezen a hegyen, sem nem Jeruzsálemben imádjátok az Atyát.
John.4.22 | Ti azt imádjátok, amit nem ismertek, mi pedig azt imádjuk, amit ismerünk, mert az üdvösség a zsidók közül támad.
John.4.23 | De eljön az óra és az most van, amikor az igazi imádók lélekben és igazságban imádják az Atyát, mert az Atya is olyanokat keres, akik őt így imádják.
John.4.24 | Az Isten lélek és akik őt imádják szükség, hogy lélekben és igazságban imádják.
John.4.25 | "Szólt neki az asszony: Tudom, hogy Messiás jön (akit Krisztusnak mondanak); mikor ő eljön, mindent megjelent nekünk."
John.4.26 | Szólt neki Jézus: Én vagyok az, aki veled beszélek.
John.4.27 | Ekkor megjöttek tanítványai és csodálkoztak, hogy asszonnyal beszél, de azért egyik sem mondta: Mit kívánsz? vagy: Mit beszélsz vele?
John.4.28 | Ott hagyta tehát az asszony a vedrét, elment a városba és így szólt az embereknek:
John.4.29 | Jertek, lássatok egy embert, aki mindent megmondott nekem, amit cselekedtem. vajjon nem ez-e a Krisztus?
John.4.30 | Kimentek azért a városból és odamentek hozzá.
John.4.31 | Eközben pedig kérték őt tanítványai: Mester, egyél!
John.4.32 | De ő azt mondta nekik: Van nekem eledelem, amit egyem, amit ti nem tudtok.
John.4.33 | Tanítványai azért így szóltak egymásnak: vajjon hozott-e valaki neki eledelt?
