Acts.1.1 | Első könyvemet Teofilus, mindazokról a dolgokról írtam, amelyeket Jézus cselekedett és tanított
Acts.1.2 | mindama napig, amelyen felvitetett, miután parancsolatokat adott a Szentlélek által az apostoloknak, akiket kiválasztott,
Acts.1.3 | Ezeknek az ő szenvedése után sok jel által meg is mutatta, hogy él, mert negyven napon át megjelent nekik és szólt az Isten országára tartozó dolgokról.
Acts.1.4 | És mikor együtt volt velük, meghagyta nekik, hogy ne menjenek el Jeruzsálemből, hanem várják meg az Atya ígéretét: amelyet hallottatok tőlem,
Acts.1.5 | hogy János ugyan vízzel keresztelt, ti azonban nem sok idő múlva Szentlélekkel fogtok megkereszteltetni.
Acts.1.6 | Mikor tehát összegyűltek, megkérdezték: Uram, nemde ebben az időben állítod helyre a királyságot Izrael számárat
Acts.1.7 | Szólt pedig nekik: Nem a ti dolgotok tudni az időket és alkalmakat, amelyeket az Atya a maga hatalmába helyezett.
Acts.1.8 | Hanem amikor a Szentlélek eljön rátok, vesztek erőt és tanúim lesztek nekem, mind Jeruzsálemben, mind az egész Júdeában és Samáriában, egészen a föld végső határáig.
Acts.1.9 | És mikor ezeket mondta, szemük láttára felemeltetett és felhő fogta be őt szemük elől.
Acts.1.10 | És amint tekintetüket az égre függesztették a távozó után, íme két férfiú állott meg mellettük fehér ruhában,
Acts.1.11 | akik meg is szólaltak: Galileai férfiak, mit álltok itt a mennybe nézve? Ez a Jézus, aki tőletek felvitetett a mennybe, úgy jön el, amint őt a mennybe felmenni láttátok.
Acts.1.12 | Akkor visszatértek Jeruzsálembe az Olajfák hegyéről, amely Jeruzsálem mellett van egy szombatnapi járó földre.
Acts.1.13 | És mikor bementek, felmentek a felső szobába, ahol szállva voltak: Péter és János és Jakab és András, Fülöp és Tamás, Bertalan és Máté, Jakab, az Alfeus fia és Simon, a zélóta és Júdás, a Jakab fia.
Acts.1.14 | Ezek mindnyájan egy szívvel-lélekkel buzgólkodtak az imádkozásban az asszonyokkal és Máriával, Jézus anyjával, és az ő testvéreivel együtt.
Acts.1.15 | És azokban a napokban felállott Péter az atyafiak között, — mintegy százhúsz főnyi sokaság volt együtt — és így szólt:
Acts.1.16 | Atyámfiai, férfiak, be kellett teljesednie az Írásnak, amelyet a Szentlélek megjövendölt Dávid szája által Júdás felől, aki vezetőjük lett azoknak, akik Jézust elfogták.
Acts.1.17 | Mert közénk számláltatott és osztályosa volt ennek a szolgálatnak.
Acts.1.18 | Ez mezőt szerzett gonoszsága béréből és hanyatthomlok lezuhant, és úgy megszakadt középen, hogy minden belső része kifordult.
Acts.1.19 | És ez tudomására jutott mindazoknak, akik Jeruzsálemben laknak, úgy-hogy ezt a mezőt tulajdon nyelvükön Akeldamának, azaz Vérmezőnek nevezték el.
Acts.1.20 | Mert meg van írva a Zsoltárok könyvében: Legyen az ő lakóhelye puszta és ne legyen lakó abban! — és: Tisztét más vegye át.
Acts.1.21 | Szükséges tehát, hogy azok közül a férfiak közül, akik minden időben velünk voltak, míg az Úr Jézus köztünk járt,
Acts.1.22 | János keresztségétől kezdve addig a napig, amelyen ő felvitetett tőlünk, ezek közül egy velünk együtt az ő feltámadásának tanúja legyen.
Acts.1.23 | Kijelöltek kettőt: Józsefet, akit Barsabásnak hívtak akinek mellékneve Jusztus volt, és Mátyást.
Acts.1.24 | És így imádkoztak: Te, Uram, aki mindenkinek szívét ismered, mutasd meg e kettő közül az egyiket, akit kiválasztottál,
Acts.1.25 | hogy elnyerje ennek a szolgálatnak és apostolságnak osztályrészét, amelytől Júdás elpártolt, hogy az őt megillető helyre jusson.
Acts.1.26 | "Sorsot vetettek azért rájuk és a sors Mátyásra esett; és a tizenegy apostolhoz soroltatott."

Acts.2.1 | És mikor a pünkösd napja eljött, mindnyájan együtt voltak egy helyen.
Acts.2.2 | Ekkor nagy hirtelenséggel az égből mintegy sebesen zúgó szélnek zendülése támadt, és eltöltötte az egész házat, ahol ültek.
Acts.2.3 | És mintegy tüzes nyelvek jelentek meg előttük, melyek megoszlottak és közülök mindegyikre leszállott egy.
Acts.2.4 | Ekkor megteltek mindnyájan Szentlélekkel és kezdtek szólni más nyelveken, amint a Lélek adta nekik szólniuk.
Acts.2.5 | Tartózkodtak pedig Jeruzsálemben zsidók, istenfélő férfiak, minden nép közül, amelyek az ég alatt vannak.
