Rom.1.1 | Pál, Jézus Krisztus szolgája, elhívott apostol, kiválasztva az Isten evangéliumának hirdetésére,
Rom.1.2 | amelyet előre megígért az ő prófétái által a szentírásokban
Rom.1.3 | az ő Fia felől, aki Dávid magvából lett test szerint,
Rom.1.4 | aki Isten Fiának rendeltetett hatalommal a szentség Lelke szerint, a halálból való feltámadás által, a mi Urunk Jézus Krisztus felől,
Rom.1.5 | aki által vettük a kegyelmet és az apostolságot, a hitben való engedelmesség munkálására az összes pogányok között, az ő nevéért,
Rom.1.6 | akik között vagytok ti is, Jézus Krisztus elhívottai, —
Rom.1.7 | mind azoknak, akik Rómában vagytok, Isten szeretteinek, elhívott szenteknek: kegyelem nektek és békesség Istentől a mi Atyánktól és az Úr Jézus Krisztustól.
Rom.1.8 | Először is hálát adok az én Istenemnek Jézus Krisztus által mindnyájatokért, hogy a ti hiteteknek az egész világon híre van.
Rom.1.9 | Mert tanúm az Isten, akinek lelkem szerint szolgálok az ő Fiának evangéliomában, hogy szüntelen gondolok rátok,
Rom.1.10 | mindenkor azért könyörgök imádságaimban, vajha egyszer már sikerülne Isten akaratából eljutnom hozzátok.
Rom.1.11 | Mert kívánlak titeket látni, hogy valami lelki ajándékot közölhessek veletek a ti megerősítésetekre,
Rom.1.12 | azaz, hogy együtt buzduljunk fel tinálatok egymás hite által, a tiétek által meg az enyém által.
Rom.1.13 | Nem akarom pedig, hogy ne tudjátok, atyámfiai, hogy én gyakran elhatároztam magamban, hogy elmegyek hozzátok, - de mindez ideig akadályozva voltam, — hogy köztetek is nyerjek valami lelki gyümölcsöt, mint a többi pogányok között is.
Rom.1.14 | Mind a görögöknek, mind a barbároknak, mind a bölcseknek, mind a tudatlanoknak adósa vagyok,
Rom.1.15 | azért kész vagyok az evangéliumot nektek is hirdetni,, akik Rómában vagytok.
Rom.1.16 | "Mert nem szégyenlem a Krisztus evangéliomát; mivel Istennek hatalma az minden hivőnek üdvösségére, zsidónak először, azután görögnek,"
Rom.1.17 | Isten igazsága jelenteti ki ugyanis abban hitből hitbe, amint meg van írva: Az igaz ember pedig hitből él.
Rom.1.18 | Mert Isten kinyilvánítja az ő haragját a mennyből az emberek minden istentelensége és igazságtalansága ellen, akik igazságtalansággal nyomják el az igazságot.
Rom.1.19 | Mert ami az Isten felől tudható, világos előttük, mivel az Isten tette nekik nyilvánvalóvá.
Rom.1.20 | Hiszen ami benne láthatatlan, tudniillik az ő örökké való hatalma és istensége, a világ teremtésétől fogva az ő alkotásaiból megérthető és látható, hogy ne menthessék magukat.
Rom.1.21 | Mert bár az Istent megismerték, mégsem dicsőítették, mint Istent, sem neki hálát nem adtak, hanem okoskodásaikban hiábavalóságokra jutottak és balgatag szívük elsötétedett
Rom.1.22 | Bölcseknek vallva magukat, balgatagokká lettek,
Rom.1.23 | és az örökkévaló Isten dicsőségét fel cseréltek múlandó emberek, madarak, négylábú állatok és csúszó-mászó állatok képmásával.
Rom.1.24 | Ezért kiszolgáltatta őket az Isten szívük vágyaiban a tisztátalanságra, hogy egymás testét megszeplősítsék,
Rom.1.25 | mint akik az isteni igazságot hazugsággá változtatták és a teremtett dolgokat tisztelték és szolgálták a Teremtő helyett, aki mindörökké áldott. Ámen.
Rom.1.26 | "Ezért kiszolgáltatta őket az Isten tisztátalan szenvedélyekre; mert asszonyaik is a természet rendjét természetellenesre változtatták,"
Rom.1.27 | hasonlóképen a férfiak is, elhagyták az asszonynéppel való természetes élést, egymásra gerjedtek bujaságukban, férfiak férfiakkal förtelmeskedtek, de el is vették önmagukban tévelygésük méltó büntetését.
Rom.1.28 | És amint az Istent nem méltatták arra, hogy ismeretükben megtartsák, úgy az Isten is kiszolgáltatta őket elvetemült gondolkodásra, hogy éktelen dolgokat cselekedjenek.
Rom.1.29 | "Telve is vannak ezek minden igazságtalansággal, gonoszsággal, kapzsisággal, rosszasággal, rakva irigységgel, gyilkossággal, viszálykodással, álnoksággal, rossz erkölccsel;"
Rom.1.30 | besúgók, rágalmazók, istengyűlölők, dölyfösek, kevélyek, dicsekvők, rosszban mesterkedők, szüleiknek engedetlenek,
Rom.1.31 | oktalanok, hitszegők, szívtelenek, engesztelhetetlenek, irgalmatlanok.
Rom.1.32 | Ezek bár ismerik az Isten rendelését, hogy az ilyen dolgokat cselekvők méltók a halálra, mégis nemcsak cselekszik azokat, hanem helyeslik is, ha mások ilyeneket cselekesznek.

Rom.2.1 | Azért nem mentheted magadat, óh ember, bár ki légy, aki ítélsz: mert amiben mást megítélsz, önmagadat ítéled el, mivel ugyan azt műveled te, aki ítélsz.
Rom.2.2 | Tudjuk pedig, hogy az Isten ítélete igazság szerint van azokon, akik ilyeneket cselekesznek.
Rom.2.3 | Vagy azt gondolod, óh ember, aki megítéled azokat, akik ilyeneket cselekesznek, és te is azokat cselekszed, hogy te elkerülöd az Isten ítéletét?
Rom.2.4 | Avagy megveted az ő jóságának, elnézésének és hosszútűrésének gazdagságát, nem tudva, hogy az Isten jósága megtérésre akar indítani téged?
Rom.2.5 | De te konokságod és meg nem tért szived szerint gyűjtesz magadnak haragot a haragnak és Isten igazságos ítélete kijelentésének napjára,
Rom.2.6 | "aki megfizet mindenkinek az ő cselekedetei szerint;"
Rom.2.7 | "azoknak, akik a jó cselekvésben való állhatatossággal dicsőséget, tisztességet és romolhatatlanságot keresnek, megfizet örök élettel;"
