1Cor.1.1 | Pál, Krisztus Jézusnak Isten akaratából elhívott apostola, és Szósztenes atyafi,
1Cor.1.2 | az Isten gyülekezetének, amely Korinthusban van, a Krisztus Jézusban megszentelteknek, elhívott szenteknek mindazokkal együtt, akik a mi Urunk Jézus Krisztus nevét segítségül hívják bármely helyen, a magukén és a miénken:
1Cor.1.3 | kegyelem nektek és békesség Istentől, a mi Atyánktól és az Úr Jézus Krisztustól.
1Cor.1.4 | Hálát adok az én Istenemnek mindenkor érettetek Isten ama kegyelméért, amely nektek a Krisztus Jézusban adatott,
1Cor.1.5 | hogy őbenne mindenben meggazdagodtatok, minden beszédben és minden ismeretben,
1Cor.1.6 | amint a Krisztusról való bizonyságtétel megerősíttetett bennetek.
1Cor.1.7 | Ezért nem szűkölködtök semmi kegyelmi ajándékban, sőt várjátok is a mi Urunk Jézus Krisztus megjelenését,
1Cor.1.8 | aki meg is erősít majd titeket mindvégig feddhetetlenségben, a mi Urunk Jézus Krisztus napján.
1Cor.1.9 | Hű az Isten, aki elhívott titeket az ő Fiával, a mi Urunk Jézus Krisztussal való közösségre.
1Cor.1.10 | Kérlek pedig titeket, atyámfiai, a mi Urunk Jézus Krisztus nevére, hogy mindnyájan egyképen szóljatok, és ne legyenek köztetek szakadások, hanem legyetek ugyanazzal az érzülettel és ugyanazon a véleményen.
1Cor.1.11 | Mert Kloé embereitől megtudtam felőletek, atyámfiai, hogy viszálykodások vannak köztetek.
1Cor.1.12 | Úgy értem ezt, hogy mindegyitek ezt mondja: Én Pálé vagyok! Én meg Apollósé! Én meg Kéfásé! Én meg Krisztusé!
1Cor.1.13 | Vajjon részekre osztható-e Krisztus? Vajjon Pált feszítették-e meg érettetek, vagy Pál nevére keresztelkedtetek-é meg?
1Cor.1.14 | Hálát adok az Istenitek, hogy senkit sem kereszteltem meg közületek, csak Kriszpust és Gájust,
1Cor.1.15 | hogy valaki azt ne mondja, hogy az én nevemre kereszteltek meg titeket.
1Cor.1.16 | Megkereszteltem azonban Sztefanás házanépét is. Ezeken kívül nem tudom, hogy mást kereszteltem volna.
1Cor.1.17 | Mert nem azért küldött engem Krisztus, hogy kereszteljek, hanem hogy az evangéliomot hirdessem, de nem szólásban való bölcsességgel, hogy a Krisztus keresztje hiábavaló ne legyen.
1Cor.1.18 | "Mert a keresztről való beszéd bolondság ugyan azoknak, akik elvesznek; de nekünk, akik megtartatunk, Istennek hatalma."
1Cor.1.19 | Mert megíratott: Eltörlöm a bölcsek bölcsességét és az értelmesek értelmét elvetem.
1Cor.1.20 | Hol a bölcs? Hol az írástudó? Hol e világ vitázója? Nemde bolondsággá tette Isten e világ bölcsességét?
1Cor.1.21 | Mert miután az Isten bölcsességében a világ nem ismerte meg a bölcsesség által az Istent, az Isten jónak látta, hogy az igehirdetés bolondsága által tartsa meg a hívőket.
1Cor.1.22 | Mert egyfelől a zsidók jelt kívánnak, másfelől a görögök bölcsességét keresnek.
1Cor.1.23 | Mi pedig Krisztust prédikáljuk, a megfeszítettet, a zsidóknak ugyan botránkozást, a görögöknek pedig bolondságot,
1Cor.1.24 | ámde maguknak az elhívottaknak, mind zsidóknak, mind görögöknek Krisztust, Isten hatalmát és Isten bölcsességét.
1Cor.1.25 | Mert az Isten bolondsága bölcsebb az embereknél, és az Isten erőtlensége erősebb az embereknél.
1Cor.1.26 | Mert nézzétek csak a ti elhívásotokat, atyámfiai: hogy nem sokan vagytok bölcsek test szerint, nem sokan vagytok hatalmasok, nem sokan vagytok nemesek,
1Cor.1.27 | "sőt a világ szerint bolondokat választotta ki az Isten, hogy megszégyenítse a bölcseket, és a világ szerint erőtleneket választotta ki magának az Isten, hogy megszégyenítse az erőseket;"
1Cor.1.28 | és a világ szerint alacsonyrendűeket és lenézetteket választotta ki az Isten és a semmiket, hogy megsemmisítse a valamiket,
1Cor.1.29 | hogy Isten előtt ne dicsekedjék senki.
1Cor.1.30 | Az ő munkája, hogy ti a Krisztus Jézusban vagytok, aki bölcsességül lett nekünk Istentől és igazságul, szentségül és váltságul,
1Cor.1.31 | hogy amint meg van írva: Aki dicsekedik, az Úrban dicsekedjék

1Cor.2.1 | Én is, mikor hozzátok mentem, atyámfiai, nem úgy mentem, hogy nagy ékesszólással vagy bölcsességgel hirdessem nektek az Isten titkát.
1Cor.2.2 | Mert elhatároztam, hogy egyébről ne tudjak ti közöttetek, mint a Jézus Krisztusról, még pedig a megfeszítettről.
1Cor.2.3 | És én gyengeség, félelem és nagy rettegés között jelentem meg közöttetek.
1Cor.2.4 | Az én beszédem és igehirdetésem pedig nem emberi bölcsesség megtévesztő szavaiban állott, hanem Léleknek és erőnek megmutatásában,
1Cor.2.5 | hogy hitetek ne emberi bölcsességen, hanem Istennek erején nyugodjék.
1Cor.2.6 | Bölcsességét pedig az érettek között hirdetünk, ámde nem e világnak, sem e világ veszendő fejedelmeinek bölcsességét,
1Cor.2.7 | hanem isten titkos, elrejtett bölcsességét prédikáljuk, amelyet Isten öröktől fogva elrendelt a mi dicsőségünkre.
1Cor.2.8 | Ezt e világ fejedelmei közül senki sem ismerte, mert ha ismerték volna, nem feszítették volna meg a dicsőség Urát.
1Cor.2.9 | Ha nem amint meg van írva: Amiket szem nem látott, fül nem hallott és emberi szív meg sem gondolt, amiket Isten készített az őt szeretőknek,
1Cor.2.10 | "azokat az Isten nekünk kinyilatkoztatta a Lélek által; mert a Leiek mindent megvizsgál, még az Isten mélységeit is."
1Cor.2.11 | Mert ki ismeri az emberek közül az ember gondolatait, hacsak az ember lelke nem, amely őbenne van? Így az Isten gondolatait sem ismeri senki, csak az Isten Lelke.
1Cor.2.12 | Mert nem e világ lelkét vettük, hanem az Istenből való Lelket, hogy megismerjük azokat, amiket Isten ajándékozott nekünk.
1Cor.2.13 | Ezeket prédikáljuk is, nem olyan beszédekkel, amelyekre emberi bölcsesség tanít, hanem amelyekre a Lélek tanít, lelkieknek lelkieket adva.
1Cor.2.14 | "Testi ember pedig nem fogadja el az Isten Lelkének gondolatát, mert bolondság az neki; nem is értheti meg, mivel azt Lélek szerint kell megítélni."
1Cor.2.15 | A lelki ember ellenben mindent megítél, de Őt magát nem ítéli meg senki.
1Cor.2.16 | Mert ki ismerte meg az Úr gondolatát, aki oktathatná őt? Bennünk pedig Krisztus értelme van.

1Cor.3.1 | Én sem szólhattam nektek, atyámfiai, mint lelkieknek, hanem csak mint testieknek, mint a Krisztusban kisdedeknek.
1Cor.3.2 | Tejnek italával tápláltalak titeket és nem kemény eledellel, mert azt még nem birtátok volna el, sőt még most sem bírjátok el.
1Cor.3.3 | Mert még testiek vagytok. Mert mikor irigység és viszály van köztetek, nem testiek vagytok-e és nem emberi módon viselkedtek-e?
1Cor.3.4 | "Mert mikor valaki azt mondja: Én Pálé vagyok; a másik meg: Én Apollósé, — nem nagyon is emberek vagytok-e?"
1Cor.3.5 | Hát kicsoda Apollós és kicsoda Pál? Szolgák, akik által hivőkké lettetek, még pedig úgy, amint kinek-kinek az Úr adta.
1Cor.3.6 | Én plántáltam, Apollós öntözött, de Isten adta a növekedést.
1Cor.3.7 | Azért az sem valaki, aki plántál, az sem, aki öntöz, hanem csak a növekedést adó Isten.
1Cor.3.8 | "A plántáló és az öntöző pedig egy; de mindegyik a maga jutalmát veszi a maga munkája szerint."
1Cor.3.9 | Mert Istennek vagyunk munkatársai: Istennek vagytok szántóföldje, Istennek épülete.
1Cor.3.10 | Az Isten nekem adott kegyelme szerint, mint bölcs építőmester, fundámentomot vetettem, de más épít rá. Kiki azonban vegye fontolóra, mimódon épít rá.
1Cor.3.11 | Mert más fundámentomot senki sem vethet azon kívül, amely vettetett, amely a Jézus Krisztus.
1Cor.3.12 | Ha pedig valaki aranyat, ezüstöt, drágaköveket, fát, szénát, pozdorját épít erre a fundámentomra,
1Cor.3.13 | "kinek-kinek munkája nyilvánvalóvá lesz; mert ama nap meg fogja mutatni, mivel tűzben jelenik meg. És hogy kinek-kinek munkája milyen, az a tűz próbálja meg."
1Cor.3.14 | Ha valakinek munkája, amelyet ráépített, megmarad, jutalmát veszi.
1Cor.3.15 | Ha valakinek munkája megég, kárt vall. Ő maga azonban megtartatik, de úgy, mint aki tűzön ment keresztül.
1Cor.3.16 | Nem tudjátok, hogy ti az Isten temploma vagytok és az Isten Lelke lakik bennetek?
