Col.1.1 | Pál, Krisztus Jézus apostola Isten akaratából és Timótkeus atyánkfia,
Col.1.2 | a Kolosséban levő szenteknek és hívő atyafiaknak a Krisztusban: kegyelem nektek és békesség Istentől, a mi Atyánktól és az Úr Jézus Krisztustól.
Col.1.3 | Hálát adunk mindenkor az Istennek, a mi Urunk Jézus Krisztus Atyjának, amikor érettetek imádkozunk,
Col.1.4 | mivel hallottunk a ti Krisztus Jézusba vetett hitetekről és a szeretetről, amelyet minden szentek iránt tanúsítotok,
Col.1.5 | mégpedig azért a reménységért, amely nektek a mennyekben eltétetett. Erről már előbb hallottatok az igazság beszédében, az evagéliomban,
Col.1.6 | "amely eljutott hozzátok, mint az egész világra is, és gyümölcsöt terem és növekedik úgy, mint közöttetek is attól a naptól fogva, amikor meghallottátok és igazán megismertétek az Isten kegyelmét;"
Col.1.7 | úgy ahogy tanultátok Epafrástól, a mi szeretett szolgatársunktól, aki Krisztusnak hű szolgája érettetek,
Col.1.8 | aki hírül is hozta nekünk a ti Lélekben való szereteteteket
Col.1.9 | Ezért mi sem szűnünk meg — attól a naptól fogva amikor ezt meghallottuk, érettetek imádkozni és Istent kérni, hogy az ő akaratának megismerése által teljesedjetek be a Lélektől adott minden bölcsességgel és értelemmel.
Col.1.10 | Így járjatok az Úrhoz méltóan, az ő teljes tetszésére, hogy minden jócselekedettel gyümölcsöt teremjetek és növekedjetek az Isten megismerésében,
Col.1.11 | és hogy minden erővel erősödjetek meg az ő dicsőségének ereje szerint minden állhatatosságra és hosszútűrésre.
Col.1.12 | örömmel adjunk hálát az Atyának, aki alkalmasakká tett minket a szentek örökségében való részesedésre a világosságban.
Col.1.13 | Ő szabadított meg minket a sötétség hatalmából és vitt át az ő szeretett Fiának országába,
Col.1.14 | akiben van a mi váltságunk, bűneinknek bocsánata.
Col.1.15 | Ő a láthatatlan Isten képe, minden teremtménynél előbb született,
Col.1.16 | mert őbenne teremtetett minden az égen és a földön, a láthatók és a láthatatlanok, akár királyi székek, akár uralmak, akár fejedelemségek, akár hatalmasságok: minden ő általa és ő érette teremtetett.
Col.1.17 | És ő előbb volt mindennél és minden őbenne áll fenn.
Col.1.18 | "És ő feje a testnek, az egyháznak; ő a kezdet, az elsőszülött a halottak közül, hogy mindenben ő legyen az első."
Col.1.19 | Mert tetszett az Atyának, hogy az ő egész teljessége őbenne lakozzék
Col.1.20 | és hogy ő általa békítsen meg magával mindent, akár a földieket, akár a mennyeieket, hogy békességet szerezzen a keresztfán kiontott vére által.
Col.1.21 | Titeket is, akik egykor elidegenültek és gonosz cselekedeteitek miatt ellenséges érzületűek voltatok,
Col.1.22 | most mégis megbékéltetett az ő emberi testében a halál által, hogy mint szenteket, tisztákat és feddhetetleneket állítson titeket maga elé,
Col.1.23 | ha ugyan megmaradtok a hitnek a fundamentumán rendületlenül és nem mozdultok el az evangéliom reménységétől, amelyet hallottatok, amely hirdettetett az ég alatt minden teremtménynek. Ennek az evangéliumnak lettem én, Pál, szolgájává.
Col.1.24 | Most örülök az érettetek hordozott szenvedéseimben és betöltöm az én testemben, ami híja van a Krisztus szenvedéseinek, az ö testéért, amely az egyház.
Col.1.25 | Ennek lettem én szolgájává ama sáfárság szerint, amelyet Isten nekem adott számotokra, hogy teljesen ismertté tegyem az Isten igéjét,
Col.1.26 | azt a titkot, amely elrejtetett öröktől fogva és nemzedékek óta, most pedig kijelentetett az ő szentjeinek.
Col.1.27 | Ezeknek akarta Isten tudtukra adni, hogy mily nagy e titok dicsőségének gazdagsága a pogányok között. Ez a titok a Krisztus tibennetek, a dicsőségnek az a reménysége,
Col.1.28 | akit mi hirdetünk, mikor intünk minden . embert és tanítunk minden embert minden bölcsességgel, hogy minden embert úgy állítsunk az Isten elé, mint aki Jézus Krisztusban tökéletes.
Col.1.29 | Ezért fáradozom én is, és tusakodom az ő ereje szerint, amely bennem hatalmasan munkálkodik.

Col.2.1 | Mert tudomásotokra akarom hozni, mily nagy küzdelmem van érettetek és a laodiceabeliekért és mindazokért, akik engem nem láttak személy szerint testben,
Col.2.2 | hogy megvigasztalódjék az ő szívük, egybe köttetve a szeretetben, és hogy eljussanak a teljes megértés egész gazdagságára, az Isten ama titkának megismerésére, aki a Krisztus,
Col.2.3 | akiben elrejtetett a bölcsességnek és ismeretnek minden kincse.
Col.2.4 | Ezt pedig azért mondom, hogy valaki titeket rá ne szedjen hitető beszédekkel.
Col.2.5 | Mert jóllehet testben távol vagyok, mindazáltal lélekben veletek vagyok, és örömmel látom köztetek a jó rendet, és Krisztusba vetett hiteteknek erősségét.
Col.2.6 | Azért amint befogadtátok a Krisztus Jézust, az Urat, úgy járjatok őbenne.
Col.2.7 | Gyökerezzetek meg és épüljetek fel őbenne és erősödjetek meg a hit által, amint arra tanítottak titeket, bővelkedve hálaadásban.
Col.2.8 | Vigyázzatok, hogy ne legyen senki, aki titeket foglyul ejt a bölcselkedéssel és üres csalással, amely emberi hagyomány szerint, a világ természeti erői szerint, de nem Krisztus szerint való.
Col.2.9 | Mert őbenne lakozik az istenségnek egész teljessége valósággal.
Col.2.10 | Ti is őbenne jutottatok el az élet teljességére, aki feje minden fejedelemségnek és hatalmasságnak.
Col.2.11 | Őbenne körül is metéltettetek nem kézzel való körülmetéléssel, amikor levetettétek a bűnös testet a Krisztus körülmetélésében,
Col.2.12 | és ővele együtt eltemettettetek a keresztségben, amelyben vele együtt fel is támadtatok az Isten erejébe vetett hit által, aki feltámasztotta őt a halálból.
Col.2.13 | És titeket, akik halottak voltatok a bűnök miatt, és testetek körülmetéletlensége miatt, ővele együtt megelevenített, és megbocsátotta nekünk minden bűnünket
Col.2.14 | "azáltal, hogy érvénytelenítette az ellenünk szóló rendelkezéseivel minket terhelő adóslevelet és eltette azt az útból, odaszögezve a keresztfára;"
Col.2.15 | a fejedelemségeket és hatalmasságokat lefegyverezte, őket nyilvánosan megszégyenítette, mert diadalmaskodott rajtuk a keresztfa által.
Col.2.16 | "Senki azért titeket meg ne ítéljen az étel és ital miatt vagy ünnep vagy újhold vagy szombat dolgában;"
Col.2.17 | mindezek csak árnyékai az eljövendőknek, de a valóság a Krisztusé.
Col.2.18 | Senki tőletek a győzelmi pálmát el ne vegye, aki alázatoskodásban és angyalok tisztelésében tetszeleg, aki látomásokra hivatkozik, és ok nélkül felfuvalkodik az ő testi gondolkozásával,
Col.2.19 | "és nem ragaszkodik a Főhöz; pedig belőle növekedik Istennek tetsző növekedéssel az egész test, amelyet inakkal és kötelékekkel támogatva egybeszerkeszt."
Col.2.20 | Ha meghaltatok Krisztussal és megszabadultatok e világ elemeitől, miért terheltetitek magatokat, — mintha még e világhoz tartoznátok, — ilyen rendelésekkel:
Col.2.21 | Ezt ne fogd meg! Azt meg se ízleld! Amazt még csak ne is érintsd!
Col.2.22 | Ezek tudniillik a velük való élés által a megsemmisülésre rendeltettek. Emberek parancsai és tanításai ezek csupán.
Col.2.23 | Mindezek ugyan bölcsességnek látszanak mint maguk választotta vallás és alázatoskodás és a test sanyargatása, de semmi értékük nincsen, mivel csak a testi gőgöt növelik.

Col.3.1 | Ennélfogva, ha feltámadtatok a Krisztussal, az odafennvalókat keressétek, ahol Krisztus van, és az Isten jobbján ül.
Col.3.2 | Az odafennvalókkal törődjetek, ne a földiekkel.
Col.3.3 | Mert meghaltatok és a ti életetek el van rejtve Krisztussal együtt az Istenben.
Col.3.4 | Mikor a Krisztus, a mi életünk megjelenik, akkor majd ti is megjelentek ővele együtt dicsőségben.
Col.3.5 | Öldököljétek meg azért tagjaitokban, ami földi: a paráznaságot, tisztátalanságot, bűnös szenvedélyt, gonosz kívánságot és a kapzsiságot, ami bálványimádás,
