2Tim.1.1 | Pál, Krisztus Jézus apostola, Isten akaratából, a Krisztus Jézusban való élet ígérete szerint,
2Tim.1.2 | Timótheusnak, szeretett gyermekemnek: kegyelem, irgalom, békesség az Atya Istentől és a Krisztus Jézustól, a mi Urunktól.
2Tim.1.3 | Hálát adok az Istennek, akinek szolgálok őseimtől fogva tiszta lelkiismerettel, amikor szüntelen gondolok rád könyörgéseimben éjjel és nappal,
2Tim.1.4 | mivel kívánlak téged látni és megemlékezem könnyhullatásodról, hogy beteljesedjem örömmel.
2Tim.1.5 | Eszembe jutott ugyanis a te képmutatás nélkül való hited, amely először nagyanyádban, Lóisban lakozott, majd anyádban, Eunikében, és meg vagyok győződve arról, hogy megvan benned is.
2Tim.1.6 | Ezért emlékeztetlek téged, hogy gerjeszd fel az Isten kegyelmi ajándékát, amely kezem rádtétele által van meg benned.
2Tim.1.7 | Mert nem félénkség lelkét adta nekünk az Isten, hanem erőnek, szeretetnek és józanságnak Lelkét.
2Tim.1.8 | Ne szégyeld azért a mi Urunkról való bizonyságtevést, sem engem, az ő foglyát, hanem szenvedj velem együtt az evangéliomért az Isten által adott erővel,
2Tim.1.9 | aki megtartott minket és szent hívással hívott, nem a mi cselekedeteink alapján, hanem az ő saját végzése és kegyelme szerint, amely nekünk Krisztus Jézusban adatott örök időknek előtte,
2Tim.1.10 | de nyilvánvalóvá most lett, a mi megtartónknak, Krisztus Jézusnak megjelenése által, aki a halált eltörölte, az életet és romolhatatlanságot pedig világosságra hozta az evangéliom által.
2Tim.1.11 | Ennek tétettem én hirdetőjévé, apostolává és tanítójává.
2Tim.1.12 | "Emiatt szenvedem ezeket is, de nem szégyenlem; mert tudom, kinek hittem, és bizonyos vagyok benne, hogy ő a rám bízott kincset meg tudja őrizni ama napra."
2Tim.1.13 | Az egészséges beszédek példájának azokat tartsd, amiket éntőlem hallottál a Krisztus Jézusban való hitben és szeretetben.
2Tim.1.14 | A rádbízott drága kincset őrizd meg a bennünk lakozó Szentlélek által.
2Tim.1.15 | Azt tudod, hogy az Ázsiában levők mindnyájan elfordultak tőlem, akik közül való Figelus és Hermogenes.
2Tim.1.16 | Az Úr legyen irgalmas Onéziforus házanépéhez, mert gyakorta megvidámított engem és bilincseimet nem szégyelte,
2Tim.1.17 | sőt mikor Rómában volt, buzgón keresett engem, meg is talált.
2Tim.1.18 | Az Úr engedje meg neki, hogy irgalmat találjon az Úrnál ama napon! — És hogy milyen nagy szolgálatot tett Efezusban, te tudod legjobban.

2Tim.2.1 | "Te azért, fiam, erősödjél meg a Krisztus Jézusban való kegyelemben;"
2Tim.2.2 | és amiket tőlem hallottál sok tanú jelenlétében, azokat bízd hű emberekre, akik mások tanítására is alkalmasak lesznek.
2Tim.2.3 | Hordozd velem együtt küzdelmes szolgálatunk terhét, mint Krisztus Jézus jó vitéze,
2Tim.2.4 | Egy harcoló katona sem elegyedik bele a mindennapi élet dolgaiba, hogy tessék annak, aki zsoldjába fogadta.
2Tim.2.5 | Mert ha valaki versenypályán küzd is, nem nyer koszorút, csak ha szabályszerűen küzd.
2Tim.2.6 | A dolgozó földművesnek kell először a termésből részesülnie.
2Tim.2.7 | "Fontold meg, amit mondok; mert az Úr mindenben értelmet ad majd neked."
2Tim.2.8 | Emlékezzél meg a halálból feltámadott Jézus Krisztusról, aki Dávid magvából való az én evangéliomom szerint,
2Tim.2.9 | "amelyért még fogságot is szenvedek, mint valami gonosztevő; de az Isten beszédét nem lehet bilincsbe verni."
