Heb.1.1 | Az Isten hajdan sokszor és sokféleképen szólott az atyáknak a próféták által,
Heb.1.2 | ezekben az utolsó időkben pedig szólott nekünk a Fia által, akit mindennek örökösévé tett, s aki által a világot is teremtette.
Heb.1.3 | Ő, aki az Isten dicsőségének visszatükröződése és az ő személyének képmása, aki hatalmas szavával fenntartja a mindenséget, aki minket bűneinkből megtisztított, és a magasságbeli Felségnek jobbjára ült,
Heb.1.4 | annyival kiválóbb az angyaloknál, amennyivel különb nevet örökölt náluk.
Heb.1.5 | Mert ugyan melyik angyalnak mondta valaha ezt: Fiam vagy te, ma szültelek téged? és ismét: Én neki Atyja leszek és ő nekem Fiam?
Heb.1.6 | Továbbá amikor behozza az ő elsőszülöttét a világba, így szól: Imádja őt az Isten minden angyala!
Heb.1.7 | És bár az angyalokról így szól: Az ő angyalait szelekké teszi és szolgáit tűz lángjává,
Heb.1.8 | — ámde a Fiúról így: A te királyi széked, óh Isten, örökkévaló és: Az ő királyságának pálcája az igazság pálcája.
Heb.1.9 | Szeretted az igazságot és gyűlölted a gonoszságot: azért az Isten, a te Istened felkent téged társaid fölé az öröm olajával,
Heb.1.10 | "És: Te vetetted meg kezdetben a földnek fundámentomát, Uram, és a te kezed művei az egek;"
Heb.1.11 | azok elpusztulnak, de te megmaradsz, és mindazok mint a ruha, megavulnak,
Heb.1.12 | és összehajtod azokat, mint köntöst, mint ruhát és elváltoznak, te pedig ugyanaz vagy és a te esztendeid nem fogynak el soha.
Heb.1.13 | Melyik angyalnak mondta valaha: Ülj az én jobbom felől míg ellenségeidet lábad alá vetem zsámolyul!
Heb.1.14 | Vajjon nem szolgáló lelkek-e valamennyien, akik szolgálatra küldettek azokért, akik az üdvösséget örökölni fogják?

Heb.2.1 | Ezért a hallottakra még jobban kell figyelnünk, hogy a céltól valamiképen el ne sodortassunk.
Heb.2.2 | Mert ha az angyalok által hirdetett beszédnek megvolt az ereje, és minden törvényszegés és engedetlenség elvette igazságos büntetését,
Heb.2.3 | "hogyan menekülünk meg mi, ha nem törődünk ilyen nagy üdvösséggel? Ez az Úr igehirdetésével kezdődött, és mindazok, akik hallották, megerősítették számunkra;"
Heb.2.4 | emellett tett bizonyságot, Isten jelekkel és csodákkal, sokféle erővel és a Szentléleknek az ő akarata szerint kiosztott ajándékaival.
Heb.2.5 | Mert nem angyaloknak vetette alá a jövendő világot, amelyről beszélünk.
Heb.2.6 | "Sőt valaki valahol így tett bizonyságot: Micsoda az ember, hogy megemlékezel róla; vagy az ember fia, hogy gondod van rá?"
Heb.2.7 | Rövid időre kisebbé tetted őt az angyaloknál, dicsőséggel és tisztességgel megkoronáztad őt, (A. 7. vers végén egyes kéziratokban a 8. zsoltárból vett idézetként még ez olvasható: és úrrá tetted kezed munkáin.)
Heb.2.8 | "mindent lába alá vetettél. Azzal ugyanis, hogy neki mindent alávetett, semmit sem hagyott ki az alája rendelésből; de most még nem látjuk, hogy minden alája rendeltetett."
Heb.2.9 | Azt azonban látjuk, hogy Jézus, aki egy kevés időre kisebbé tétetett az angyaloknál, a halál elszenvedéséért dicsőséggel és tisztességgel koronáztatott meg, hogy az Isten kegyelméből mindenkiért megízlelje a halált.
Heb.2.10 | Mert úgy volt méltó Istenhez, akiért van a mindenség és aki által van a mindenség, hogy őt, aki sok fiat vezet dicsőségre, az ő üdvösségük fejedelmét szenvedések által juttassa tökéletességre.
Heb.2.11 | "Mert az is, aki megszentel és az is, akiket megszentelt, egytől származnak mindnyájan; ezért nem szégyenli őket atyjafiainak nevezni,"
Heb.2.12 | mikor ezt mondja: Hirdetem a te nevedet atyámfiainak, a gyülekezetnek közepette dicséretet mondok neked.
Heb.2.13 | "És ismét: Bizalmamat őbenne vetem; és ismét: Íme, itt vagyok én és a gyermekek, akiket az Isten nekem adott."
Heb.2.14 | Mivel pedig a gyermekek test és vér részesei, ő is hasonlóképen részese lett ezeknek, hogy halála által megsemmisítse azt, akinek hatalma van a halálon, tudniillik az ördögöt,
Heb.2.15 | és megszabadítsa azokat, akik a haláltól való félelem miatt rabok voltak teljes életükben.
Heb.2.16 | Mert nyilván nem angyalokra van gondja, hanem Ábrahám magvára van gondja.
Heb.2.17 | Ezért mindenestül hasonlónak kellett lennie az atyafiakhoz, hogy könyörülő legyen és hű főpap az Isten előtt való szolgálatban, hogy engesztelést szerezzen a nép bűneiért.
Heb.2.18 | Mivel maga is megkísértetett, szenvedett, segíthet azokon, akik megkísértetnek.

Heb.3.1 | Ezért, szent atyámfiai, mennyei elhívás részesei, tekintsetek vallásunk apostolára és főpapjára, Jézusra,
Heb.3.2 | aki hű volt ahhoz, aki őt rendelte, mint Mózes is az ő egész házában.
Heb.3.3 | Mert ő nagyobb dicsőségre méltattatott, mint Mózes, ahogy a ház építőjének is nagyobb a tisztessége, mint a háznak.
Heb.3.4 | Mert minden házat épít valaki, aki pedig mindent felépített, az Isten az.
Heb.3.5 | "Mózes is hű volt ugyan az ő egész házában, mint szolga, hogy bizonysága legyen a prédikálandó dolgoknak;"
Heb.3.6 | Krisztus ellenben, mint Fiú, hű a maga háza felett: az ő háza mi vagyunk, ha a bizodalmat és a reménység dicsekedését mindvégig erősen megtartjuk.
Heb.3.7 | Azért, mint a Szentlélek mondja: Ma, ha az ő szavát halljátok,
Heb.3.8 | ne keményítsétek meg szíveteket, mint a megkeseredéskor, a kísértés ama napján a pusztában,
Heb.3.9 | ahol atyáitok megkísértettek és megpróbáltak engem és látták az én cselekedeteimet negyven esztendeig.
Heb.3.10 | Azért megharagudtam erre a nemzedékre és így szóltam: Mindig tévelyegnek szívükben. De ők nem ismerték meg az én útaimat,
Heb.3.11 | úgyhogy megesküdtem haragomban, hogy nem fognak bemenni az én nyugodalmamba.
Heb.3.12 | "Vigyázzatok, atyámfiai, hogy ne legyen közületek valakinek hitetlen, gonosz szíve, hogy az élő Istentől elszakadjon;"
Heb.3.13 | hanem intsétek egymást minden nap, míg tart a „ma”, hogy a bűn csalárdsága közületek senkit meg ne keményítsen.
Heb.3.14 | Mert részeseivé lettünk Krisztusnak, ha ugyan a bizodalmat, amely kezdetben élt bennünk, mindvégig erősen megtartjuk
Heb.3.15 | e mondás szerint: Ma, ha az ő szavát halljátok, meg ne keményítsétek szíveteket, mint a megkeseredéskor.
Heb.3.16 | Mert kik keseredtek meg, mikor ezt hallották? Nemde mindazok, akik Mózes vezetésével kijöttek Egyiptomból?
Heb.3.17 | Kikre haragudott pedig negyven esztendeig? Nem azokra-e, akik vétkeztek, akiknek teste elhullott a pusztában?
Heb.3.18 | És kiknek esküdött meg, hogy nem mennek be az ő nyugodalmába, ha nem az engedetleneknek?
Heb.3.19 | Látjuk is, hogy nem mehettek be hitetlenségük miatt.

