3John.1.1 | A presbiter a szeretett Gájusnak, akit én igazán szeretek.
3John.1.2 | Szeretett atyámfia, imádkozom, hogy mindenben jól legyen dolgod és légy jó egészségben, amint a te lelkednek jól van dolga.
3John.1.3 | Mert nagyon örültem, amikor atyafiak jöttek és bizonyságot tettek a te igazságodról úgy, amint te az igazságban jársz.
3John.1.4 | Nincs annál nagyobb örömöm, mint amikor azt hallom, hogy az én gyermekeim az igazságban járnak.
3John.1.5 | Szeretett atyámfia, hűségesen cselekszel mindenben, amit az atyafiakért, mégpedig az idegenekért teszel,
3John.1.6 | akik bizonyságot tettek a te szeretetedről a gyülekezet előtt. Jól teszed, ha ezeket Istenhez méltóan bocsátod útjukra.
3John.1.7 | Mert az ő nevéért mentek ki, semmit sem fogadva el a pogányoktól.
3John.1.8 | Nekünk azért be kell fogadnunk az ilyeneket, hogy munkatársaikká lehessünk az igazságban.
3John.1.9 | "Írtam a gyülekezetnek; de Diotrefes, aki elsőséget kíván köztük, nem hallgat reánk."
3John.1.10 | Ezért ha odamegyek, majd megemlékezem dolgairól, amelyeket cselekszik, gonosz szavakkal fecsegve ellenünk, sőt ezzel sem éri be, hanem maga sem fogadja be az atyafiakat és akik ezt akarnák, azokat is akadályozza és a gyülekezetből kiveti.
3John.1.11 | "Szeretett atyámfia, ne a rosszat kövesd, hanem a jót. Aki a jót cselekszi, Istentől van; aki pedig rosszat cselekszik, nem látta az Istent."
3John.1.12 | "Demeter mellett mindenki bizonyságot tett, maga az igazság is; sőt mi is bizonyságot teszünk és tudjátok, hogy a mi bizonyság tételünk igaz."
3John.1.13 | Sok írnivalóm volna, de nem akarok tintával és tollal írni neked,
3John.1.14 | remélem azonban, hogy hamarosan meglátlak és szemtől-szembe beszélhetünk. (15) Békesség neked! Köszöntenek barátaid. Köszöntsd barátainkat név szerint.
